Date,Workday Inc
2012-02-01,0
2012-02-02,0
2012-02-03,0
2012-02-04,0
2012-02-05,0
2012-02-06,0
2012-02-07,0
2012-02-08,0
2012-02-09,0
2012-02-10,0
2012-02-11,0
2012-02-12,0
2012-02-13,0
2012-02-14,0
2012-02-15,0
2012-02-16,0
2012-02-17,0
2012-02-18,0
2012-02-19,0
2012-02-20,0
2012-02-21,0
2012-02-22,0
2012-02-23,0
2012-02-24,0
2012-02-25,0
2012-02-26,0
2012-02-27,0
2012-02-28,0
2012-02-29,0
2012-03-01,0
2012-03-02,0
2012-03-03,0
2012-03-04,1
2012-03-05,1
2012-03-06,2
2012-03-07,2
2012-03-08,2
2012-03-09,3
2012-03-10,3
2012-03-11,4
2012-03-12,4
2012-03-13,5
2012-03-14,5
2012-03-15,5
2012-03-16,6
2012-03-17,6
2012-03-18,7
2012-03-19,7
2012-03-20,7
2012-03-21,8
2012-03-22,8
2012-03-23,9
2012-03-24,9
2012-03-25,10
2012-03-26,10
2012-03-27,10
2012-03-28,11
2012-03-29,11
2012-03-30,12
2012-03-31,12
2012-04-01,13
2012-04-02,12
2012-04-03,12
2012-04-04,12
2012-04-05,12
2012-04-06,12
2012-04-07,12
2012-04-08,12
2012-04-09,12
2012-04-10,12
2012-04-11,12
2012-04-12,12
2012-04-13,12
2012-04-14,12
2012-04-15,12
2012-04-16,12
2012-04-17,11
2012-04-18,11
2012-04-19,11
2012-04-20,11
2012-04-21,11
2012-04-22,11
2012-04-23,11
2012-04-24,11
2012-04-25,11
2012-04-26,11
2012-04-27,11
2012-04-28,11
2012-04-29,11
2012-04-30,11
2012-05-01,11
2012-05-02,11
2012-05-03,11
2012-05-04,11
2012-05-05,11
2012-05-06,11
2012-05-07,11
2012-05-08,11
2012-05-09,11
2012-05-10,11
2012-05-11,11
2012-05-12,11
2012-05-13,11
2012-05-14,11
2012-05-15,11
2012-05-16,11
2012-05-17,11
2012-05-18,11
2012-05-19,11
2012-05-20,11
2012-05-21,11
2012-05-22,11
2012-05-23,11
2012-05-24,11
2012-05-25,11
2012-05-26,11
2012-05-27,11
2012-05-28,11
2012-05-29,11
2012-05-30,11
2012-05-31,11
2012-06-01,11
2012-06-02,11
2012-06-03,11
2012-06-04,11
2012-06-05,11
2012-06-06,11
2012-06-07,11
2012-06-08,11
2012-06-09,12
2012-06-10,12
2012-06-11,12
