Date,Diamond Resorts
2013-05-16,0
2013-05-17,0
2013-05-18,0
2013-05-19,0
2013-05-20,0
2013-05-21,0
2013-05-22,0
2013-05-23,0
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,0
2013-05-29,0
2013-05-30,0
2013-05-31,0
2013-06-01,0
2013-06-02,1
2013-06-03,2
2013-06-04,4
2013-06-05,5
2013-06-06,7
2013-06-07,8
2013-06-08,10
2013-06-09,11
2013-06-10,12
2013-06-11,14
2013-06-12,15
2013-06-13,17
2013-06-14,18
2013-06-15,20
2013-06-16,21
2013-06-17,22
2013-06-18,24
2013-06-19,25
2013-06-20,27
2013-06-21,28
2013-06-22,30
2013-06-23,31
2013-06-24,32
2013-06-25,34
2013-06-26,35
2013-06-27,37
2013-06-28,38
2013-06-29,40
2013-06-30,41
2013-07-01,43
2013-07-02,42
2013-07-03,42
2013-07-04,41
2013-07-05,41
2013-07-06,41
2013-07-07,40
2013-07-08,40
2013-07-09,39
2013-07-10,39
2013-07-11,39
2013-07-12,38
2013-07-13,38
2013-07-14,37
2013-07-15,37
2013-07-16,37
2013-07-17,36
2013-07-18,36
2013-07-19,36
2013-07-20,35
2013-07-21,35
2013-07-22,34
2013-07-23,34
2013-07-24,34
2013-07-25,33
2013-07-26,33
2013-07-27,32
2013-07-28,32
2013-07-29,32
2013-07-30,31
2013-07-31,31
2013-08-01,31
2013-08-02,31
2013-08-03,31
2013-08-04,31
2013-08-05,31
2013-08-06,31
2013-08-07,31
2013-08-08,31
2013-08-09,31
2013-08-10,31
2013-08-11,31
2013-08-12,31
2013-08-13,31
2013-08-14,31
2013-08-15,31
2013-08-16,31
2013-08-17,31
2013-08-18,31
2013-08-19,31
2013-08-20,31
2013-08-21,31
2013-08-22,31
2013-08-23,31
2013-08-24,31
2013-08-25,31
2013-08-26,31
2013-08-27,31
2013-08-28,31
2013-08-29,31
2013-08-30,31
2013-08-31,31
2013-09-01,31
2013-09-02,30
2013-09-03,30
2013-09-04,30
2013-09-05,29
2013-09-06,29
2013-09-07,29
2013-09-08,28
2013-09-09,28
2013-09-10,28
2013-09-11,27
2013-09-12,27
2013-09-13,27
2013-09-14,26
2013-09-15,26
2013-09-16,26
2013-09-17,25
2013-09-18,25
2013-09-19,25
2013-09-20,24
2013-09-21,24
2013-09-22,24
2013-09-23,23
2013-09-24,23
2013-09-25,23
2013-09-26,22
2013-09-27,22
2013-09-28,22
2013-09-29,21
2013-09-30,21
2013-10-01,21
2013-10-02,21
2013-10-03,21
2013-10-04,21
2013-10-05,21
2013-10-06,21
2013-10-07,21
2013-10-08,21
2013-10-09,21
2013-10-10,21
2013-10-11,21
2013-10-12,21
2013-10-13,21
2013-10-14,21
2013-10-15,21
2013-10-16,21
2013-10-17,21
2013-10-18,21
2013-10-19,21
2013-10-20,21
2013-10-21,21
2013-10-22,21
2013-10-23,21
2013-10-24,21
2013-10-25,21
2013-10-26,21
2013-10-27,21
2013-10-28,21
2013-10-29,21
2013-10-30,21
2013-10-31,21
2013-11-01,21
2013-11-02,21
2013-11-03,21
2013-11-04,22
2013-11-05,22
2013-11-06,23
2013-11-07,23
2013-11-08,23
2013-11-09,24
2013-11-10,24
2013-11-11,25
2013-11-12,25
2013-11-13,25
2013-11-14,26
2013-11-15,26
2013-11-16,27
2013-11-17,27
2013-11-18,27
2013-11-19,28
2013-11-20,28
2013-11-21,29
2013-11-22,29
2013-11-23,29
2013-11-24,30
2013-11-25,30
2013-11-26,31
2013-11-27,31
2013-11-28,31
2013-11-29,32
2013-11-30,32
2013-12-01,33
2013-12-02,33
2013-12-03,33
2013-12-04,34
2013-12-05,34
2013-12-06,34
2013-12-07,35
2013-12-08,35
2013-12-09,35
2013-12-10,36
2013-12-11,36
2013-12-12,36
2013-12-13,37
2013-12-14,37
2013-12-15,37
2013-12-16,38
2013-12-17,38
2013-12-18,39
2013-12-19,39
2013-12-20,39
2013-12-21,40
2013-12-22,40
2013-12-23,40
2013-12-24,41
2013-12-25,41
2013-12-26,41
2013-12-27,42
2013-12-28,42
2013-12-29,42
2013-12-30,43
2013-12-31,43
2014-01-01,44
