Date,Motricity
2010-03-23,0
2010-03-24,0
2010-03-25,0
2010-03-26,0
2010-03-27,0
2010-03-28,0
2010-03-29,0
2010-03-30,0
2010-03-31,0
2010-04-04,0
2010-04-05,0
2010-04-06,0
2010-04-07,0
2010-04-08,0
2010-04-09,0
2010-04-10,0
2010-04-11,0
2010-04-12,0
2010-04-13,0
2010-04-14,0
2010-04-15,0
2010-04-16,0
2010-04-17,0
2010-04-18,0
2010-04-19,0
2010-04-20,0
2010-04-21,0
2010-04-22,0
2010-04-23,0
2010-04-24,0
2010-04-25,0
2010-04-26,0
2010-04-27,0
2010-04-28,0
2010-04-29,0
2010-04-30,0
2010-05-01,0
2010-05-02,0
2010-05-03,0
2010-05-04,0
2010-05-05,0
2010-05-06,0
2010-05-07,0
2010-05-08,0
2010-05-09,0
2010-05-10,0
2010-05-11,0
2010-05-12,0
2010-05-13,0
2010-05-14,0
2010-05-15,0
2010-05-16,0
2010-05-17,0
2010-05-18,0
2010-05-19,0
2010-05-20,0
2010-05-21,0
2010-05-22,0
2010-05-23,0
2010-05-24,0
2010-05-25,0
2010-05-26,0
2010-05-27,0
2010-05-28,0
2010-05-29,0
2010-05-30,4
2010-05-31,8
2010-06-01,13
2010-06-02,17
2010-06-03,22
2010-06-04,26
2010-06-05,31
2010-06-06,36
2010-06-07,41
2010-06-08,45
2010-06-09,50
2010-06-10,55
2010-06-11,60
2010-06-12,65
2010-06-13,70
2010-06-14,77
2010-06-15,82
2010-06-16,87
2010-06-17,92
2010-06-18,98
2010-06-19,104
2010-06-20,95
2010-06-21,83
2010-06-22,74
2010-06-23,65
2010-06-24,56
2010-06-25,48
2010-06-26,39
2010-06-27,30
2010-07-01,10
2010-07-02,5
2010-07-03,0
2010-07-04,0
2010-07-05,0
2010-07-06,0
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,0
2010-07-11,0
2010-07-12,0
2010-07-13,0
2010-07-14,0
2010-07-15,0
2010-07-16,0
2010-07-17,0
2010-07-18,0
2010-07-19,0
2010-07-20,0
2010-07-21,0
2010-07-22,0
2010-07-23,0
2010-07-24,0
2010-07-25,0
2010-07-26,0
2010-07-27,0
2010-07-28,0
2010-07-29,0
2010-07-30,0
2010-07-31,0
2010-08-01,0
2010-08-02,0
2010-08-03,0
2010-08-04,0
2010-08-05,0
2010-08-06,0
2010-08-07,0
2010-08-08,0
2010-08-09,0
2010-08-10,0
2010-08-11,0
2010-08-12,0
2010-08-13,0
2010-08-14,0
2010-08-15,0
2010-08-16,0
2010-08-17,0
2010-08-18,0
2010-08-19,0
2010-08-20,0
2010-08-21,0
2010-08-22,0
2010-08-23,0
2010-08-24,0
2010-08-25,0
2010-08-26,0
2010-08-27,0
2010-08-28,0
2010-08-29,0
2010-08-30,0
2010-08-31,0
2010-09-01,0
2010-09-02,0
2010-09-03,0
2010-09-04,0
2010-09-05,0
2010-09-06,0
2010-09-07,0
2010-09-08,0
2010-09-09,0
2010-09-10,0
2010-09-11,0
2010-09-12,0
2010-09-13,0
2010-09-14,0
2010-09-15,0
2010-09-16,0
2010-09-17,0
2010-09-18,0
2010-09-19,0
2010-09-20,0
2010-09-21,0
2010-09-22,0
2010-09-23,0
2010-09-24,0
2010-09-25,0
2010-09-26,2
2010-09-27,5
2010-09-28,8
2010-09-29,10
2010-09-30,13
2010-10-03,19
2010-10-04,24
2010-10-05,16
2010-10-06,17
2010-10-07,17
2010-10-08,18
2010-10-09,18
2010-10-10,18
2010-10-11,18
2010-10-12,18
2010-10-13,18
2010-10-14,18
2010-10-15,18
2010-10-16,18
2010-10-17,20
2010-10-18,22
2010-10-19,23
2010-10-20,25
2010-10-21,27
2010-10-22,29
2010-10-23,30
2010-10-24,32
2010-10-25,34
2010-10-26,36
2010-10-27,38
2010-10-28,40
2010-10-29,41
2010-10-30,43
2010-10-31,41
2010-11-01,38
2010-11-02,35
2010-11-03,33
2010-11-04,31
2010-11-05,29
2010-11-06,26
2010-11-07,26
2010-11-08,26
2010-11-09,26
2010-11-10,26
2010-11-11,25
2010-11-12,25
2010-11-13,25
2010-11-14,24
2010-11-15,23
2010-11-16,22
2010-11-17,22
2010-11-18,21
2010-11-19,20
2010-11-20,19
2010-11-21,20
2010-11-22,20
2010-11-23,20
2010-11-24,21
2010-11-25,21
2010-11-26,21
2010-11-27,21
2010-11-28,22
2010-11-29,22
2010-11-30,22
2010-12-01,22
2010-12-02,22
2010-12-03,23
2010-12-04,23
2010-12-05,22
2010-12-06,21
2010-12-07,21
2010-12-08,20
2010-12-09,20
2010-12-10,19
2010-12-11,19
2010-12-12,19
2010-12-13,19
2010-12-14,19
2010-12-15,19
2010-12-16,19
2010-12-17,19
2010-12-18,19
2010-12-19,19
2010-12-20,19
2010-12-21,19
2010-12-22,19
2010-12-23,19
2010-12-24,20
2010-12-25,21
2010-12-26,19
2011-01-02,19
2011-01-03,19
2011-01-04,19
2011-01-05,19
2011-01-06,19
2011-01-07,20
2011-01-08,20
2011-01-09,20
2011-01-10,21
2011-01-11,21
2011-01-12,22
2011-01-13,22
2011-01-14,23
2011-01-15,23
2011-01-16,23
2011-01-17,23
2011-01-18,23
2011-01-19,23
2011-01-20,23
2011-01-21,23
2011-01-22,23
2011-01-23,22
2011-01-24,21
2011-01-25,20
2011-01-26,19
2011-01-27,18
2011-01-28,17
2011-01-29,16
2011-01-30,17
2011-01-31,17
2011-02-01,19
2011-02-02,20
2011-02-03,21
2011-02-04,23
2011-02-05,24
2011-02-06,28
2011-02-07,33
2011-02-08,36
2011-02-09,40
2011-02-10,44
2011-02-11,48
2011-02-12,52
2011-02-13,48
2011-02-14,42
2011-02-15,38
2011-02-16,33
2011-02-17,29
2011-02-18,25
2011-02-19,20
2011-02-20,20
2011-02-21,19
2011-02-22,19
2011-02-23,18
2011-02-24,18
2011-02-25,17
2011-02-26,16
2011-02-27,18
2011-02-28,19
2011-03-01,20
2011-03-02,21
2011-03-03,23
2011-03-04,24
2011-03-05,25
2011-03-06,26
2011-03-07,27
2011-03-08,28
2011-03-09,28
2011-03-10,29
2011-03-11,29
2011-03-12,30
2011-03-13,31
2011-03-14,29
2011-03-15,30
2011-03-16,31
2011-03-17,32
2011-03-18,32
2011-03-19,33
2011-03-20,33
2011-03-21,36
2011-03-22,36
2011-03-23,37
2011-03-24,38
2011-03-25,39
2011-03-26,42
2011-03-27,34
2011-04-03,15
2011-04-04,14
2011-04-05,14
2011-04-06,14
2011-04-07,14
2011-04-08,14
2011-04-09,14
2011-04-10,15
2011-04-11,15
2011-04-12,15
2011-04-13,16
2011-04-14,16
2011-04-15,16
2011-04-16,17
2011-04-17,17
2011-04-18,17
2011-04-19,18
2011-04-20,19
2011-04-21,19
2011-04-22,20
2011-04-23,20
2011-04-24,20
2011-04-25,21
2011-04-26,21
2011-04-27,21
2011-04-28,21
2011-04-29,21
2011-04-30,21
2011-05-01,21
2011-05-02,21
2011-05-03,21
2011-05-04,20
2011-05-05,20
2011-05-06,20
2011-05-07,20
2011-05-08,22
2011-05-09,24
2011-05-10,26
2011-05-11,28
2011-05-12,31
2011-05-13,33
2011-05-14,35
2011-05-15,34
2011-05-16,32
2011-05-17,31
2011-05-18,30
2011-05-19,29
2011-05-20,28
2011-05-21,26
2011-05-22,27
2011-05-23,27
2011-05-24,27
2011-05-25,27
2011-05-26,27
2011-05-27,27
2011-05-28,27
2011-05-29,27
2011-05-30,27
2011-05-31,27
2011-06-01,27
2011-06-02,27
2011-06-03,27
2011-06-04,27
2011-06-05,28
2011-06-06,29
2011-06-07,29
2011-06-08,30
2011-06-09,31
2011-06-10,31
2011-06-11,32
2011-06-12,31
2011-06-13,30
2011-06-14,29
2011-06-15,27
2011-06-16,26
2011-06-17,25
2011-06-18,25
2011-06-19,22
2011-06-20,22
2011-06-21,22
2011-06-22,21
2011-06-23,21
2011-06-24,21
2011-06-25,21
2011-06-26,21
