Date,Jive Software
2011-02-01,0
2011-02-02,0
2011-02-03,0
2011-02-04,0
2011-02-05,0
2011-02-06,0
2011-02-07,0
2011-02-08,0
2011-02-09,0
2011-02-10,0
2011-02-11,0
2011-02-12,0
2011-02-13,0
2011-02-14,0
2011-02-15,0
2011-02-16,0
2011-02-17,0
2011-02-18,0
2011-02-19,0
2011-02-20,0
2011-02-21,0
2011-02-22,0
2011-02-23,0
2011-02-24,0
2011-02-25,0
2011-02-26,0
2011-02-27,0
2011-02-28,0
2011-03-01,0
2011-03-02,0
2011-03-03,0
2011-03-04,0
2011-03-05,0
2011-03-06,0
2011-03-07,0
2011-03-08,0
2011-03-09,0
2011-03-10,0
2011-03-11,0
2011-03-12,0
2011-03-13,0
2011-03-14,0
2011-03-15,0
2011-03-16,0
2011-03-17,0
2011-03-18,0
2011-03-19,0
2011-03-20,0
2011-03-21,0
2011-03-22,0
2011-03-23,0
2011-03-24,0
2011-03-25,0
2011-03-26,0
2011-03-27,0
2011-03-28,0
2011-03-29,0
2011-03-30,0
2011-03-31,0
2011-04-01,0
2011-04-02,0
2011-04-03,0
2011-04-04,0
2011-04-05,0
2011-04-06,0
2011-04-07,0
2011-04-08,0
2011-04-09,0
2011-04-10,0
2011-04-11,0
2011-04-12,0
2011-04-13,0
2011-04-14,0
2011-04-15,0
2011-04-16,0
2011-04-17,0
2011-04-18,0
2011-04-19,0
2011-04-20,0
2011-04-21,0
2011-04-22,0
2011-04-23,0
2011-04-24,0
2011-04-25,0
2011-04-26,0
2011-04-27,0
2011-04-28,0
2011-04-29,0
2011-04-30,0
2011-05-01,0
2011-05-02,0
2011-05-03,0
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,0
2011-05-19,0
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,0
2011-05-25,0
2011-05-26,0
2011-05-27,0
2011-05-28,0
2011-05-29,0
2011-05-30,0
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-11,0
2011-06-12,0
2011-06-13,0
2011-06-14,0
2011-06-15,0
2011-06-16,0
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,0
2011-06-22,0
2011-06-23,0
2011-06-24,0
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,0
2011-06-29,0
2011-06-30,0
2011-07-01,0
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,0
2011-07-13,0
2011-07-14,0
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,0
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,0
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,0
2011-08-03,0
2011-08-04,0
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,0
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,0
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,0
2011-08-24,0
2011-08-25,0
2011-08-26,0
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,0
2011-08-31,0
2011-09-01,0
2011-09-02,0
2011-09-03,0
2011-09-04,0
2011-09-05,0
2011-09-06,0
2011-09-07,0
2011-09-08,0
2011-09-09,0
2011-09-10,0
2011-09-11,0
2011-09-12,0
2011-09-13,0
2011-09-14,0
2011-09-15,0
2011-09-16,0
2011-09-17,0
2011-09-18,0
2011-09-19,0
2011-09-20,0
2011-09-21,0
2011-09-22,0
2011-09-23,0
2011-09-24,0
2011-09-25,0
2011-09-26,0
2011-09-27,0
2011-09-28,0
2011-09-29,0
2011-09-30,0
2011-10-01,0
2011-10-02,0
2011-10-03,0
2011-10-04,0
2011-10-05,0
2011-10-06,0
2011-10-07,0
2011-10-08,0
2011-10-09,0
2011-10-10,0
2011-10-11,0
2011-10-12,0
2011-10-13,0
2011-10-14,0
2011-10-15,0
2011-10-16,0
2011-10-17,0
2011-10-18,0
2011-10-19,0
2011-10-20,0
2011-10-21,0
2011-10-22,0
2011-10-23,0
2011-10-24,0
2011-10-25,0
2011-10-26,0
2011-10-27,0
2011-10-28,0
2011-10-29,0
2011-10-30,0
2011-10-31,0
2011-11-01,0
2011-11-02,3
2011-11-03,6
2011-11-04,10
2011-11-05,13
2011-11-06,16
2011-11-07,20
2011-11-08,23
2011-11-09,26
2011-11-10,30
2011-11-11,33
2011-11-12,36
2011-11-13,40
2011-11-14,43
2011-11-15,46
2011-11-16,50
2011-11-17,53
2011-11-18,56
2011-11-19,60
2011-11-20,63
2011-11-21,66
2011-11-22,70
2011-11-23,73
2011-11-24,76
2011-11-25,80
2011-11-26,83
2011-11-27,86
2011-11-28,90
2011-11-29,93
2011-11-30,96
2011-12-01,100
2011-12-02,98
2011-12-03,97
2011-12-04,95
2011-12-05,94
2011-12-06,93
2011-12-07,91
2011-12-08,90
2011-12-09,88
2011-12-10,87
2011-12-11,86
2011-12-12,84
2011-12-13,83
2011-12-14,81
2011-12-15,80
2011-12-16,79
2011-12-17,77
2011-12-18,76
2011-12-19,75
2011-12-20,73
2011-12-21,72
2011-12-22,70
2011-12-23,69
2011-12-24,68
2011-12-25,66
2011-12-26,65
2011-12-27,63
2011-12-28,62
2011-12-29,61
2011-12-30,59
2011-12-31,58
2012-01-01,57
2012-01-02,57
2012-01-03,57
2012-01-04,57
2012-01-05,57
2012-01-06,57
2012-01-07,57
2012-01-08,57
2012-01-09,57
2012-01-10,57
2012-01-11,57
2012-01-12,57
2012-01-13,57
2012-01-14,57
2012-01-15,57
2012-01-16,57
2012-01-17,57
2012-01-18,57
2012-01-19,57
2012-01-20,57
2012-01-21,57
2012-01-22,57
2012-01-23,57
2012-01-24,57
2012-01-25,57
2012-01-26,57
2012-01-27,57
2012-01-28,57
2012-01-29,57
2012-01-30,57
2012-01-31,57
2012-02-01,57
2012-02-02,56
2012-02-03,56
2012-02-04,56
2012-02-05,56
2012-02-06,56
2012-02-07,56
2012-02-08,56
2012-02-09,55
2012-02-10,55
2012-02-11,55
2012-02-12,55
2012-02-13,55
2012-02-14,55
2012-02-15,55
2012-02-16,54
2012-02-17,54
2012-02-18,54
2012-02-19,54
2012-02-20,54
2012-02-21,54
2012-02-22,54
2012-02-23,53
2012-02-24,53
2012-02-25,53
2012-02-26,53
2012-02-27,53
2012-02-28,53
2012-02-29,53
2012-03-01,53
2012-03-02,53
2012-03-03,53
2012-03-04,53
2012-03-05,53
2012-03-06,53
2012-03-07,53
2012-03-08,53
2012-03-09,53
2012-03-10,53
2012-03-11,53
2012-03-12,53
2012-03-13,53
2012-03-14,53
2012-03-15,53
2012-03-16,53
2012-03-17,53
2012-03-18,53
2012-03-19,53
2012-03-20,53
2012-03-21,53
2012-03-22,53
2012-03-23,53
2012-03-24,53
2012-03-25,53
2012-03-26,53
2012-03-27,53
2012-03-28,53
2012-03-29,53
2012-03-30,53
2012-03-31,53
2012-04-01,53
2012-04-02,53
2012-04-03,53
2012-04-04,53
2012-04-05,53
2012-04-06,53
2012-04-07,53
2012-04-08,53
2012-04-09,53
2012-04-10,53
2012-04-11,53
2012-04-12,53
2012-04-13,53
2012-04-14,53
2012-04-15,53
2012-04-16,53
2012-04-17,53
2012-04-18,53
2012-04-19,53
2012-04-20,53
2012-04-21,53
2012-04-22,53
2012-04-23,53
2012-04-24,53
2012-04-25,53
2012-04-26,53
2012-04-27,53
2012-04-28,53
2012-04-29,53
2012-04-30,53
2012-05-01,53
2012-05-02,51
2012-05-03,49
2012-05-04,47
