Date,Chegg
2013-02-01,22
2013-02-02,22
2013-02-03,22
2013-02-04,22
2013-02-05,22
2013-02-06,22
2013-02-07,22
2013-02-08,22
2013-02-09,22
2013-02-10,22
2013-02-11,22
2013-02-12,22
2013-02-13,22
2013-02-14,22
2013-02-15,22
2013-02-16,22
2013-02-17,22
2013-02-18,22
2013-02-19,22
2013-02-20,22
2013-02-21,22
2013-02-22,22
2013-02-23,22
2013-02-24,22
2013-02-25,22
2013-02-26,22
2013-02-27,22
2013-02-28,22
2013-03-01,22
2013-03-02,22
2013-03-03,22
2013-03-04,22
2013-03-05,22
2013-03-06,22
2013-03-07,22
2013-03-08,22
2013-03-09,22
2013-03-10,22
2013-03-11,22
2013-03-12,22
2013-03-13,22
2013-03-14,22
2013-03-15,22
2013-03-16,22
2013-03-17,22
2013-03-18,22
2013-03-19,22
2013-03-20,22
2013-03-21,22
2013-03-22,22
2013-03-23,22
2013-03-24,22
2013-03-25,22
2013-03-26,22
2013-03-27,22
2013-03-28,22
2013-03-29,22
2013-03-30,22
2013-03-31,22
2013-04-01,22
2013-04-02,22
2013-04-03,22
2013-04-04,22
2013-04-05,22
2013-04-06,22
2013-04-07,22
2013-04-08,22
2013-04-09,22
2013-04-10,22
2013-04-11,22
2013-04-12,22
2013-04-13,22
2013-04-14,22
2013-04-15,22
2013-04-16,22
2013-04-17,22
2013-04-18,22
2013-04-19,22
2013-04-20,22
2013-04-21,22
2013-04-22,22
2013-04-23,22
2013-04-24,22
2013-04-25,22
2013-04-26,22
2013-04-27,22
2013-04-28,22
2013-04-29,22
2013-04-30,22
2013-05-01,22
2013-05-02,21
2013-05-03,21
2013-05-04,21
2013-05-05,21
2013-05-06,21
2013-05-07,21
2013-05-08,21
2013-05-09,21
2013-05-10,21
2013-05-11,21
2013-05-12,21
2013-05-13,21
2013-05-14,21
2013-05-15,21
2013-05-16,21
2013-05-17,20
2013-05-18,20
2013-05-19,20
2013-05-20,20
2013-05-21,20
2013-05-22,20
2013-05-23,20
2013-05-24,20
