Date,Hyatt Hotels
2009-02-01,0
2009-02-02,0
2009-02-03,0
2009-02-04,0
2009-02-05,0
2009-02-06,0
2009-02-07,0
2009-02-08,0
2009-02-09,0
2009-02-10,0
2009-02-11,0
2009-02-12,0
2009-02-13,0
2009-02-14,0
2009-02-15,0
2009-02-16,0
2009-02-17,0
2009-02-18,0
2009-02-19,0
2009-02-20,0
2009-02-21,0
2009-02-22,0
2009-02-23,0
2009-02-24,0
2009-02-25,0
2009-02-26,0
2009-02-27,0
2009-02-28,0
2009-03-01,0
2009-03-02,0
2009-03-03,0
2009-03-04,0
2009-03-05,0
2009-03-06,0
2009-03-07,0
2009-03-08,0
2009-03-09,0
2009-03-10,0
2009-03-11,0
2009-03-12,0
2009-03-13,0
2009-03-14,0
2009-03-15,0
2009-03-16,0
2009-03-17,0
2009-03-18,0
2009-03-19,0
2009-03-20,0
2009-03-21,0
2009-03-22,0
2009-03-23,0
2009-03-24,0
2009-03-25,0
2009-03-26,0
2009-03-27,0
2009-03-28,0
2009-03-29,0
2009-03-30,0
2009-03-31,0
2009-04-01,0
2009-04-02,0
2009-04-03,0
2009-04-04,0
2009-04-05,0
2009-04-06,0
2009-04-07,0
2009-04-08,0
2009-04-09,0
2009-04-10,0
2009-04-11,0
2009-04-12,0
2009-04-13,0
2009-04-14,0
2009-04-15,0
2009-04-16,0
2009-04-17,0
2009-04-18,0
2009-04-19,0
2009-04-20,0
2009-04-21,0
2009-04-22,0
2009-04-23,0
2009-04-24,0
2009-04-25,0
2009-04-26,0
2009-04-27,0
2009-04-28,0
2009-04-29,0
2009-04-30,0
2009-05-01,0
2009-05-02,0
2009-05-03,0
2009-05-04,0
2009-05-05,0
2009-05-06,0
2009-05-07,0
2009-05-08,0
2009-05-09,0
2009-05-10,0
2009-05-11,0
2009-05-12,0
2009-05-13,0
2009-05-14,0
2009-05-15,0
2009-05-16,0
2009-05-17,0
2009-05-18,0
2009-05-19,0
2009-05-20,0
2009-05-21,0
2009-05-22,0
2009-05-23,0
2009-05-24,0
2009-05-25,0
2009-05-26,0
2009-05-27,0
2009-05-28,0
2009-05-29,0
2009-05-30,0
2009-05-31,0
2009-06-01,0
2009-06-02,0
2009-06-03,0
2009-06-04,0
2009-06-05,0
2009-06-06,0
2009-06-07,0
2009-06-08,0
2009-06-09,0
2009-06-10,0
2009-06-11,0
2009-06-12,0
2009-06-13,0
2009-06-14,0
2009-06-15,0
2009-06-16,0
2009-06-17,0
2009-06-18,0
2009-06-19,0
2009-06-20,0
2009-06-21,0
2009-06-22,0
2009-06-23,0
2009-06-24,0
2009-06-25,0
2009-06-26,0
2009-06-27,0
2009-06-28,0
2009-06-29,0
2009-06-30,0
2009-07-01,0
2009-07-02,0
2009-07-03,0
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,0
2009-07-21,0
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-25,0
2009-07-26,0
2009-07-27,0
2009-07-28,0
2009-07-29,0
2009-07-30,0
2009-07-31,0
2009-08-01,0
2009-08-02,0
2009-08-03,0
2009-08-04,0
2009-08-05,0
2009-08-06,0
2009-08-07,0
2009-08-08,0
2009-08-09,0
2009-08-10,0
2009-08-11,0
2009-08-12,0
2009-08-13,0
2009-08-14,0
2009-08-15,0
2009-08-16,0
2009-08-17,0
2009-08-18,0
2009-08-19,0
2009-08-20,0
2009-08-21,0
2009-08-22,0
2009-08-23,0
2009-08-24,0
2009-08-25,0
2009-08-26,0
2009-08-27,0
2009-08-28,0
2009-08-29,0
2009-08-30,0
2009-08-31,0
2009-09-01,0
2009-09-02,0
2009-09-03,0
2009-09-04,0
2009-09-05,0
2009-09-06,0
2009-09-07,0
2009-09-08,0
2009-09-09,0
2009-09-10,0
2009-09-11,0
2009-09-12,0
2009-09-13,0
2009-09-14,0
2009-09-15,0
2009-09-16,0
2009-09-17,0
2009-09-18,0
2009-09-19,0
2009-09-20,0
2009-09-21,0
2009-09-22,0
2009-09-23,0
2009-09-24,0
2009-09-25,0
2009-09-26,0
2009-09-27,0
2009-09-28,0
2009-09-29,0
2009-09-30,0
2009-10-01,0
2009-10-02,3
2009-10-03,6
2009-10-04,9
2009-10-05,12
2009-10-06,16
2009-10-07,19
2009-10-08,22
2009-10-09,25
2009-10-10,29
2009-10-11,32
2009-10-12,35
2009-10-13,38
2009-10-14,41
2009-10-15,45
2009-10-16,48
2009-10-17,51
2009-10-18,54
2009-10-19,58
2009-10-20,61
2009-10-21,64
2009-10-22,67
2009-10-23,70
2009-10-24,74
2009-10-25,77
2009-10-26,80
2009-10-27,83
2009-10-28,87
2009-10-29,90
2009-10-30,93
2009-10-31,96
2009-11-01,100
2009-11-02,98
2009-11-03,97
2009-11-04,96
2009-11-05,94
2009-11-06,93
2009-11-07,92
2009-11-08,90
2009-11-09,89
2009-11-10,88
2009-11-11,87
2009-11-12,85
2009-11-13,84
2009-11-14,83
2009-11-15,81
2009-11-16,80
2009-11-17,79
2009-11-18,77
2009-11-19,76
2009-11-20,75
2009-11-21,74
2009-11-22,72
2009-11-23,71
2009-11-24,70
2009-11-25,68
2009-11-26,67
2009-11-27,66
2009-11-28,64
2009-11-29,63
2009-11-30,62
2009-12-01,61
2009-12-02,60
2009-12-03,60
2009-12-04,59
2009-12-05,59
2009-12-06,58
2009-12-07,58
2009-12-08,58
2009-12-09,57
2009-12-10,57
2009-12-11,56
2009-12-12,56
2009-12-13,55
2009-12-14,55
2009-12-15,55
2009-12-16,54
2009-12-17,54
2009-12-18,53
2009-12-19,53
2009-12-20,53
2009-12-21,52
2009-12-22,52
2009-12-23,51
2009-12-24,51
2009-12-25,50
2009-12-26,50
2009-12-27,50
2009-12-28,49
2009-12-29,49
2009-12-30,48
2009-12-31,48
2010-01-01,48
2010-01-02,48
2010-01-03,48
2010-01-04,48
2010-01-05,48
2010-01-06,48
2010-01-07,48
2010-01-08,48
2010-01-09,48
2010-01-10,48
2010-01-11,48
2010-01-12,48
2010-01-13,48
2010-01-14,48
2010-01-15,48
2010-01-16,48
2010-01-17,48
2010-01-18,48
2010-01-19,48
2010-01-20,48
2010-01-21,48
2010-01-22,48
2010-01-23,48
2010-01-24,48
2010-01-25,48
2010-01-26,48
2010-01-27,48
2010-01-28,48
2010-01-29,48
2010-01-30,48
2010-01-31,48
2010-02-01,48
2010-02-02,48
2010-02-03,48
2010-02-04,48
2010-02-05,48
2010-02-06,48
2010-02-07,48
2010-02-08,48
2010-02-09,48
2010-02-10,48
2010-02-11,48
2010-02-12,48
2010-02-13,48
