Date,Rocket Fuel
2013-11-06,75
2013-11-07,74
2013-11-08,73
2013-11-09,72
2013-11-10,72
2013-11-11,71
2013-11-12,70
2013-11-13,69
2013-11-14,69
2013-11-15,68
2013-11-16,67
2013-11-17,66
2013-11-18,65
2013-11-19,65
2013-11-20,64
2013-11-21,63
2013-11-22,62
2013-11-23,62
2013-11-24,61
2013-11-25,60
2013-11-26,59
2013-11-27,59
2013-11-28,58
2013-11-29,57
2013-11-30,56
2013-12-01,56
2013-12-02,56
2013-12-03,56
2013-12-04,56
2013-12-05,56
2013-12-06,56
2013-12-07,56
2013-12-08,56
2013-12-09,56
2013-12-10,56
2013-12-11,56
2013-12-12,56
2013-12-13,56
2013-12-14,56
2013-12-15,56
2013-12-16,56
2013-12-17,56
2013-12-18,56
2013-12-19,56
2013-12-20,56
2013-12-21,56
2013-12-22,56
2013-12-23,56
2013-12-24,56
2013-12-25,56
2013-12-26,56
2013-12-27,56
2013-12-28,56
2013-12-29,56
2013-12-30,56
2013-12-31,56
2014-01-01,56
2014-01-02,56
2014-01-03,56
2014-01-04,57
2014-01-05,57
2014-01-06,58
2014-01-07,58
2014-01-08,58
2014-01-09,59
2014-01-10,59
2014-01-11,60
2014-01-12,60
2014-01-13,61
2014-01-14,61
2014-01-15,61
2014-01-16,62
2014-01-17,62
2014-01-18,63
2014-01-19,63
2014-01-20,63
2014-01-21,64
2014-01-22,64
2014-01-23,65
2014-01-24,65
2014-01-25,66
2014-01-26,66
2014-01-27,66
2014-01-28,67
2014-01-29,67
2014-01-30,68
2014-01-31,68
2014-02-01,69
