Date,Quintiles Transnational
2013-07-12,30
2013-07-13,30
2013-07-14,30
2013-07-15,30
2013-07-16,30
2013-07-17,30
2013-07-18,30
2013-07-19,30
2013-07-20,30
2013-07-21,30
2013-07-22,30
2013-07-23,30
2013-07-24,30
2013-07-25,30
2013-07-26,30
2013-07-27,30
2013-07-28,30
2013-07-29,30
2013-07-30,30
2013-07-31,30
2013-08-01,30
2013-08-02,29
2013-08-03,29
2013-08-04,29
2013-08-05,29
2013-08-06,29
2013-08-07,29
2013-08-08,29
2013-08-09,29
2013-08-10,29
2013-08-11,29
2013-08-12,29
2013-08-13,29
2013-08-14,29
2013-08-15,29
2013-08-16,29
2013-08-17,29
2013-08-18,29
2013-08-19,29
2013-08-20,29
2013-08-21,29
2013-08-22,29
2013-08-23,29
2013-08-24,29
2013-08-25,29
2013-08-26,29
2013-08-27,29
2013-08-28,29
2013-08-29,29
2013-08-30,29
2013-08-31,29
2013-09-01,29
2013-09-02,29
2013-09-03,29
2013-09-04,29
2013-09-05,29
2013-09-06,29
2013-09-07,29
2013-09-08,29
2013-09-09,29
2013-09-10,29
2013-09-11,29
2013-09-12,29
2013-09-13,29
2013-09-14,29
2013-09-15,29
2013-09-16,29
2013-09-17,29
2013-09-18,29
2013-09-19,29
2013-09-20,29
2013-09-21,29
2013-09-22,29
2013-09-23,29
2013-09-24,29
2013-09-25,29
2013-09-26,29
2013-09-27,29
2013-09-28,29
2013-09-29,29
2013-09-30,29
2013-10-01,29
2013-10-02,29
2013-10-03,29
2013-10-04,29
2013-10-05,29
2013-10-06,29
2013-10-07,29
2013-10-08,29
2013-10-09,29
2013-10-10,29
2013-10-11,29
2013-10-12,29
2013-10-13,29
2013-10-14,29
2013-10-15,29
2013-10-16,29
2013-10-17,29
2013-10-18,29
2013-10-19,29
2013-10-20,29
2013-10-21,29
2013-10-22,29
2013-10-23,29
2013-10-24,29
2013-10-25,29
2013-10-26,29
2013-10-27,29
2013-10-28,29
2013-10-29,29
2013-10-30,29
2013-10-31,29
2013-11-01,29
2013-11-02,29
2013-11-03,29
2013-11-04,30
2013-11-05,30
2013-11-06,30
2013-11-07,31
2013-11-08,31
2013-11-09,31
2013-11-10,32
2013-11-11,32
2013-11-12,32
2013-11-13,33
2013-11-14,33
2013-11-15,33
2013-11-16,34
2013-11-17,34
2013-11-18,34
2013-11-19,35
2013-11-20,35
2013-11-21,35
2013-11-22,36
2013-11-23,36
2013-11-24,36
2013-11-25,37
2013-11-26,37
2013-11-27,37
2013-11-28,38
2013-11-29,38
2013-11-30,38
2013-12-01,39
2013-12-02,39
2013-12-03,39
2013-12-04,39
2013-12-05,40
2013-12-06,40
2013-12-07,40
2013-12-08,41
2013-12-09,41
2013-12-10,41
2013-12-11,42
2013-12-12,42
2013-12-13,42
2013-12-14,43
2013-12-15,43
2013-12-16,43
2013-12-17,44
2013-12-18,44
2013-12-19,44
2013-12-20,45
2013-12-21,45
2013-12-22,45
2013-12-23,46
2013-12-24,46
2013-12-25,46
2013-12-26,47
2013-12-27,47
2013-12-28,47
2013-12-29,48
2013-12-30,48
2013-12-31,48
2014-01-01,49
2014-01-02,47
2014-01-03,45
2014-01-04,44
2014-01-05,42
2014-01-06,41
2014-01-07,39
2014-01-08,37
2014-01-09,36
2014-01-10,34
2014-01-11,33
2014-01-12,31
2014-01-13,30
2014-01-14,28
2014-01-15,26
2014-01-16,25
2014-01-17,23
2014-01-18,22
2014-01-19,20
2014-01-20,18
2014-01-21,17
2014-01-22,15
2014-01-23,14
2014-01-24,12
2014-01-25,11
2014-01-26,9
2014-01-27,7
2014-01-28,6
2014-01-29,4
2014-01-30,3
2014-01-31,1
