Date,Toys R Us
2012-09-02,40
2012-09-03,40
2012-09-04,40
2012-09-05,40
2012-09-06,41
2012-09-07,41
2012-09-08,41
2012-09-09,41
2012-09-10,41
2012-09-11,42
2012-09-12,42
2012-09-13,42
2012-09-14,42
2012-09-15,42
2012-09-16,43
2012-09-17,52
2012-09-18,43
2012-09-19,43
2012-09-20,43
2012-09-21,44
2012-09-22,44
2012-09-23,44
2012-09-24,44
2012-09-25,45
2012-09-26,45
2012-09-27,45
2012-09-28,45
2012-09-29,45
2012-09-30,46
2012-10-01,46
2012-10-02,47
2012-10-03,48
2012-10-04,50
2012-10-05,51
2012-10-06,53
2012-10-07,54
2012-10-08,55
2012-10-09,57
2012-10-10,58
2012-10-11,60
2012-10-12,61
2012-10-13,63
2012-10-14,64
2012-10-15,65
2012-10-16,67
2012-10-17,68
2012-10-18,70
2012-10-19,71
2012-10-20,72
2012-10-21,74
2012-10-22,75
2012-10-23,77
2012-10-24,78
2012-10-25,80
2012-10-26,81
2012-10-27,82
2012-10-28,84
2012-10-29,85
2012-10-30,87
2012-10-31,88
2012-11-01,90
2012-11-02,89
2012-11-03,88
2012-11-04,87
2012-11-05,86
2012-11-06,85
2012-11-07,84
2012-11-08,83
2012-11-09,82
2012-11-10,81
2012-11-11,80
2012-11-12,79
2012-11-13,78
2012-11-14,77
2012-11-15,76
2012-11-16,76
2012-11-17,75
2012-11-18,74
2012-11-19,73
2012-11-20,72
2012-11-21,71
2012-11-22,70
2012-11-23,69
2012-11-24,68
2012-11-25,67
2012-12-01,62
2012-12-02,61
2012-12-03,60
2012-12-04,59
2012-12-05,58
2012-12-06,57
2012-12-07,56
2012-12-08,55
2012-12-09,55
2012-12-10,54
2012-12-11,53
2012-12-12,52
2012-12-13,51
2012-12-14,50
2012-12-15,49
2012-12-16,48
2012-12-17,48
2012-12-18,47
2012-12-19,46
2012-12-20,45
2012-12-21,44
2012-12-22,43
2012-12-23,42
2012-12-24,41
2012-12-25,41
2012-12-26,40
2012-12-27,39
2012-12-28,38
2012-12-29,37
2012-12-30,36
2012-12-31,35
2013-01-01,35
2013-01-02,34
2013-01-03,34
2013-01-04,34
2013-01-05,34
2013-01-06,34
2013-01-07,34
2013-01-08,34
2013-01-09,34
2013-01-10,34
2013-01-11,34
2013-01-12,34
2013-01-13,34
2013-01-14,34
2013-01-15,34
2013-01-16,34
2013-01-17,33
2013-01-18,33
2013-01-19,33
2013-01-20,33
2013-01-21,33
2013-01-22,33
2013-01-23,33
2013-01-24,33
2013-01-25,33
2013-01-26,33
2013-01-27,33
2013-01-28,33
2013-01-29,33
2013-01-30,33
2013-01-31,33
2013-02-01,33
2013-02-02,33
2013-02-03,33
2013-02-04,33
2013-02-05,33
2013-02-06,33
2013-02-07,33
2013-02-08,33
2013-02-09,33
2013-02-10,33
2013-02-11,33
2013-02-12,33
2013-02-13,33
2013-02-14,33
2013-02-15,34
2013-02-16,34
2013-02-17,34
2013-02-18,34
2013-02-19,34
2013-02-20,34
2013-02-21,34
2013-02-22,34
2013-02-23,34
2013-02-24,34
2013-02-25,34
2013-02-26,34
2013-02-27,34
2013-02-28,34
2013-03-01,35
2013-03-02,34
2013-03-03,34
2013-03-04,34
2013-03-05,34
2013-03-06,34
2013-03-07,34
2013-03-08,34
2013-03-09,34
2013-03-10,34
2013-03-11,34
2013-03-12,34
2013-03-13,34
2013-03-14,34
2013-03-15,34
2013-03-16,34
2013-03-17,33
2013-03-18,33
2013-03-19,33
2013-03-20,33
2013-03-21,33
2013-03-22,33
2013-03-23,33
2013-03-24,33
2013-03-25,33
2013-03-26,33
2013-03-27,33
2013-03-28,33
2013-03-29,33
