1561743|Kindred Biosciences|2013-11-08
1499912|FXCM|2010-09-03
1497770|Walker & Dunlop|2010-08-04
1492426|Horizon Pharma|2010-08-03
1389002|Marin Software|2013-02-13
1361103|Complete Genomics|2010-07-30
1533526|Global Brass and Copper|2011-10-28
1520006|Matador Resources|2011-08-12
1392380|Gevo|2010-08-12
1555492|Fairway Group|2012-09-24
1294016|Ruckus Wireless|2012-10-05
1439199|CTPartners|2010-09-03
890264|Exa Corporation|2011-08-03
1373707|Tetraphase|2013-02-11
1524931|Chuys|2011-08-05
1293310|KaloBios|2012-10-05
1467858|General Motors Company|2010-08-18
1408356|SolarCity|2012-10-05
1235007|Endocyte|2010-08-17
1299130|Pacific Biosciences|2010-08-16
1547063|Taminco|2012-12-03
1533932|Vantiv|2011-11-10
1437578|Bright Horizons Family|2012-10-24
1517302|Artisan Partners|2012-11-01
1490281|Groupon|2011-06-02
1368514|ADMA Biologics|2013-02-11
1177648|Enanta|2012-11-06
1129260|Vocera Communications|2011-08-01
1549756|Linn Co|2012-06-25
1436304|Kythera Biopharmaceuticals|2012-05-17
1546296|Professional Diversity Network|2012-05-23
1396814|Pacira|2010-11-01
1533924|Midstates Petroleum|2011-11-14
1107843|Qualys|2012-06-08
1443669|Proto Labs|2011-07-25
1547459|Vitamin Cottage Natural Grocers|2012-06-18
1436549|Methes Energies|2012-06-22
1327811|Workday|2012-08-30
1478242|Quintiles Transnational|2013-02-15
1562476|Taylor Morrison Home|2012-12-05
1532961|NV5|2013-01-28
1561387|Health Insurance Innovations|2012-12-20
1561680|TRI Pointe Homes|2012-12-21
1564902|SeaWorld Entertainment|2012-12-27
1526119|Verastem|2011-11-03
1333822|SemiLeds|2010-08-06
1561627|ExOne Company|2013-01-08
1315657|XOOM Corporation|2013-01-11
1462694|ConnectOne Bancorp|2013-01-11
1559865|EVERTEC|2013-02-06
1498021|ExamWorks|2010-08-13
1494448|Imperial|2010-08-12
1345016|Yelp!|2011-11-17
1463101|Enphase Energy|2011-06-15
1419852|Mattress Firm Holding|2011-06-10
1536035|Roundys Parent|2011-12-05
1533454|Northern Tier Energy|2011-12-13
767884|Cutanea Life Sciences|2011-05-23
1519401|Regional Management Corp|2011-05-16
1490930|Digital Domain Media|2011-05-16
1509589|Bonanza Creek Energy|2011-06-07
1535031|Tumi Inc|2011-12-13
1340127|Carbonite|2011-05-12
1280263|Ambarella|2011-06-10
1518715|HomeStreet|2011-05-06
1537054|Gogo Inflight Internet|2011-12-23
1212458|Proofpoint|2011-12-14
1357204|Dunkin Brands|2011-05-04
1352010|EPAM Systems|2011-06-10
1510326|Digital Cinema Destinations|2011-12-20
1314592|Teavana|2011-04-28
1158863|WageWorks|2011-04-25
1117733|CafePress|2011-06-10
1514705|SunCoke Energy|2011-03-23
1353283|Splunk Inc|2012-01-12
1411207|Allison Transmission|2011-03-18
1327567|Palo Alto Networks|2012-04-06
1364962|Imperva|2011-06-17
1535929|ING U.S|2012-11-09
1349929|Cancer Genetics|2011-12-30
1328581|Boise Cascade|2012-11-15
1506307|Kinder Morgan|2010-11-23
1525769|Dave & Buster’s|2011-07-15
1546417|Bloomin Brands|2012-04-06
1372375|Millennial Media|2012-01-05
1421525|China Intelligent Lighting & Electronics|2010-02-16
1399935|Francescas|2011-04-19
1334814|Zillow|2011-04-18
1518222|Bankrate|2011-04-15
1174266|Envivio|2011-04-15
1045829|Vanguard Health Systems|2011-04-15
1509273|C&J Energy|2011-03-30
1511737|Ubiquiti Networks|2011-06-17
1431897|Angies List|2011-12-01
1537951|Edgen|2011-12-29
1466301|Clovis Oncology|2011-06-23
1517175|Chefs Warehouse|2011-04-12
1418862|Kior|2011-04-11
1378718|Wesco Aircraft|2011-04-08
1168197|LipoScience|2011-06-23
1516479|Insys Therapeutics|2011-03-30
1223862|Infoblox|2012-01-06
1549346|Shutterstock|2012-05-14
1177609|Five Below|2012-04-18
1386858|Hyperion Therapeutics|2012-04-13
1323630|Directed Electronics|2005-08-24
1337899|FortuNet|2005-09-16
1141391|MasterCard|2005-09-15
1009667|AmComp|2005-09-13
1336983|American Railcar Industries|2005-09-08
1125603|SGX Pharmaceuticals|2005-09-02
1336920|SAIC Inc (Leidos)|2005-09-01
1097503|Traffic.com|2005-08-31
1071625|Dover Saddlery|2005-08-26
1336917|Under Armour|2005-08-26
867773|SunPower|2005-08-25
1051251|J. Crew|2005-08-17
1338949|CRM Holdings|2005-09-19
1326973|SMART Modular|2005-10-19
1058090|Chipotle Mexican Grill|2005-10-25
1178711|Novacea|2006-02-10
1344413|Alexza|2005-12-22
1239819|Luna Innovations|2006-02-10
1138400|BioMimetic|2006-02-10
1351541|Delek US|2006-02-08
1272830|Vonage|2006-02-08
1314655|Goodman Global|2006-02-06
1350653|Alphatec|2006-02-06
1340354|Thomas Weisel Partners|2005-10-19
1338916|DynCorp|2005-09-28
1463258|Renewable Energy Group|2011-07-18
1352045|Basin Water|2006-02-13
1364100|Cal Dive|2006-05-31
929186|First Mercury Financial|2006-05-30
