Date,Raymond James
2013-02-01,63
2013-02-02,62
2013-02-03,61
2013-02-04,60
2013-02-05,60
2013-02-06,59
2013-02-07,58
2013-02-08,57
2013-02-09,57
2013-02-10,56
2013-02-11,55
2013-02-12,54
2013-02-13,54
2013-02-14,53
2013-02-15,52
2013-02-16,51
2013-02-17,51
2013-02-18,50
2013-02-19,49
2013-02-20,48
2013-02-21,48
2013-02-22,47
2013-02-23,46
2013-02-24,45
2013-02-25,45
2013-02-26,44
2013-02-27,43
2013-02-28,42
2013-03-01,42
2013-03-02,41
2013-03-03,41
2013-03-04,41
2013-03-05,40
2013-03-06,40
2013-03-07,40
2013-03-08,39
2013-03-09,39
2013-03-10,39
2013-03-11,39
2013-03-12,38
2013-03-13,38
2013-03-14,38
2013-03-15,37
2013-03-16,37
2013-03-17,37
2013-03-18,37
2013-03-19,36
2013-03-20,36
2013-03-21,36
2013-03-22,35
2013-03-23,35
2013-03-24,35
2013-03-25,35
2013-03-26,34
2013-03-27,34
2013-03-28,34
2013-03-29,33
2013-03-30,33
2013-03-31,33
2013-04-01,33
2013-04-02,32
2013-04-03,32
2013-04-04,32
2013-04-05,31
2013-04-06,31
2013-04-07,31
2013-04-08,31
2013-04-09,30
2013-04-10,30
2013-04-11,30
2013-04-12,30
2013-04-13,29
2013-04-14,29
2013-04-15,29
2013-04-16,29
2013-04-17,28
2013-04-18,28
2013-04-19,28
2013-04-20,27
2013-04-21,27
2013-04-22,27
2013-04-23,27
2013-04-24,26
2013-04-25,26
2013-04-26,26
2013-04-27,26
2013-04-28,25
2013-04-29,25
2013-04-30,25
2013-05-01,25
2013-05-02,25
2013-05-03,25
2013-05-04,25
2013-05-05,25
2013-05-06,25
2013-05-07,25
2013-05-08,25
2013-05-09,25
2013-05-10,25
2013-05-11,25
2013-05-12,25
2013-05-13,25
2013-05-14,25
2013-05-15,25
2013-05-16,25
2013-05-17,25
2013-05-18,25
2013-05-19,25
2013-05-20,25
2013-05-21,25
2013-05-22,25
2013-05-23,25
2013-05-24,25
2013-05-25,25
2013-05-26,25
2013-05-27,25
2013-05-28,25
2013-05-29,25
2013-05-30,25
2013-05-31,25
2013-06-01,25
2013-06-02,25
2013-06-03,25
2013-06-04,25
2013-06-05,26
2013-06-06,26
2013-06-07,26
2013-06-08,26
2013-06-09,27
2013-06-10,27
2013-06-11,27
2013-06-12,27
2013-06-13,28
2013-06-14,28
2013-06-15,28
2013-06-16,29
2013-06-17,29
2013-06-18,29
2013-06-19,29
2013-06-20,30
2013-06-21,30
2013-06-22,30
2013-06-23,30
2013-06-24,31
2013-06-25,31
2013-06-26,31
2013-06-27,31
2013-06-28,32
2013-06-29,32
2013-06-30,32
2013-07-01,33
2013-07-02,32
2013-07-03,32
2013-07-04,32
2013-07-05,32
2013-07-06,32
2013-07-07,32
2013-07-08,31
2013-07-09,31
2013-07-10,31
2013-07-11,31
2013-07-12,31
2013-07-13,31
2013-07-14,30
2013-07-15,30
2013-07-16,30
2013-07-17,30
2013-07-18,30
2013-07-19,30
2013-07-20,29
2013-07-21,29
2013-07-22,29
2013-07-23,29
2013-07-24,29
2013-07-25,29
2013-07-26,28
2013-07-27,28
2013-07-28,28
2013-07-29,28
2013-07-30,28
2013-07-31,28
2013-08-01,28
2013-08-02,27
2013-08-03,26
2013-08-04,25
2013-08-05,24
2013-08-06,23
2013-08-07,22
2013-08-08,21
2013-08-09,20
2013-08-10,19
2013-08-11,18
2013-08-12,18
2013-08-13,17
2013-08-14,16
2013-08-15,15
2013-08-16,14
2013-08-17,13
2013-08-18,12
2013-08-19,11
2013-08-20,10
2013-08-21,9
2013-08-22,9
2013-08-23,8
2013-08-24,7
2013-08-25,6
2013-08-26,5
2013-08-27,4
2013-08-28,3
2013-08-29,2
2013-08-30,1
2013-08-31,0
2013-09-01,0
2013-09-02,0
2013-09-03,0
2013-09-04,0
2013-09-05,0
2013-09-06,0
2013-09-07,0
2013-09-08,0
2013-09-09,0
2013-09-10,0
2013-09-11,0
2013-09-12,0
2013-09-13,0
2013-09-14,0
2013-09-15,0
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,0
2013-09-20,0
2013-09-21,0
2013-09-22,0
2013-09-23,0
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-28,0
2013-09-29,0
2013-09-30,0
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-05,0
2013-10-06,0
2013-10-07,0
2013-10-08,0
2013-10-09,0
2013-10-10,0
2013-10-11,0
2013-10-12,0
2013-10-13,0
2013-10-14,0
2013-10-15,0
2013-10-16,0
2013-10-17,0
2013-10-18,0
2013-10-19,0
2013-10-20,0
2013-10-21,0
2013-10-22,0
2013-10-23,0
2013-10-24,0
2013-10-25,0
2013-10-26,0
2013-10-27,0
2013-10-28,0
2013-10-29,0
2013-10-30,0
2013-10-31,0
2013-11-01,0
2013-11-02,0
2013-11-03,0
2013-11-04,0
2013-11-05,0
2013-11-06,0
2013-11-07,0
2013-11-08,0
2013-11-09,0
2013-11-10,0
2013-11-11,0
2013-11-12,0
2013-11-13,0
2013-11-14,0
2013-11-15,0
2013-11-16,0
2013-11-17,0
2013-11-18,0
2013-11-19,0
2013-11-20,0
2013-11-21,0
2013-11-22,0
2013-11-23,0
2013-11-24,0
2013-11-25,0
2013-11-26,0
2013-11-27,0
2013-11-28,0
2013-11-29,0
2013-11-30,0
2013-12-01,0
2013-12-02,0
2013-12-03,0
2013-12-04,0
2013-12-05,0
2013-12-06,0
2013-12-07,0
2013-12-08,0
2013-12-09,0
2013-12-10,0
2013-12-11,0
2013-12-12,0
2013-12-13,0
2013-12-14,0
2013-12-15,0
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,0
2013-12-20,0
2013-12-21,0
2013-12-22,0
2013-12-23,0
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,0
2013-12-28,0
2013-12-29,0
2013-12-30,0
2013-12-31,0
