Date,Ophthotech
2013-11-06,41
2013-11-07,41
2013-11-08,42
2013-11-09,42
2013-11-10,42
2013-11-11,43
2013-11-12,43
2013-11-13,44
2013-11-14,44
2013-11-15,45
2013-11-16,45
2013-11-17,45
2013-11-18,46
2013-11-19,46
2013-11-20,47
2013-11-21,47
2013-11-22,48
2013-11-23,48
2013-11-24,48
2013-11-25,49
2013-11-26,49
2013-11-27,50
2013-11-28,50
2013-11-29,51
2013-11-30,51
2013-12-01,52
2013-12-02,52
2013-12-03,52
2013-12-04,53
2013-12-05,53
2013-12-06,54
2013-12-07,54
2013-12-08,54
2013-12-09,55
2013-12-10,55
2013-12-11,56
2013-12-12,56
2013-12-13,57
2013-12-14,57
2013-12-15,57
2013-12-16,58
2013-12-17,58
2013-12-18,59
2013-12-19,59
2013-12-20,59
2013-12-21,60
2013-12-22,60
2013-12-23,61
2013-12-24,61
2013-12-25,62
2013-12-26,62
2013-12-27,62
2013-12-28,63
2013-12-29,63
2013-12-30,64
2013-12-31,64
2014-01-01,65
2014-01-02,65
2014-01-03,66
2014-01-04,67
2014-01-05,67
2014-01-06,68
2014-01-07,69
2014-01-08,70
2014-01-09,70
2014-01-10,71
2014-01-11,72
2014-01-12,73
2014-01-13,73
2014-01-14,74
2014-01-15,75
2014-01-16,76
2014-01-17,76
2014-01-18,77
2014-01-19,78
2014-01-20,79
2014-01-21,79
2014-01-22,80
2014-01-23,81
2014-01-24,82
2014-01-25,82
2014-01-26,83
2014-01-27,84
2014-01-28,85
2014-01-29,85
2014-01-30,86
2014-01-31,87
2014-02-01,88
2014-02-02,87
2014-02-03,86
2014-02-04,85
2014-02-05,85
2014-02-06,84
2014-02-07,83
2014-02-08,82
2014-02-09,82
2014-02-10,81
2014-02-11,80
2014-02-12,79
2014-02-13,79
2014-02-14,78
2014-02-15,77
2014-02-16,76
2014-02-17,76
2014-02-18,75
2014-02-19,74
2014-02-20,73
2014-02-21,73
2014-02-22,72
2014-02-23,71
2014-02-24,70
2014-02-25,70
2014-02-26,69
2014-02-27,68
2014-02-28,67
2014-03-01,67
