Date,Tesla Motors
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,0
2009-07-21,0
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-25,0
2009-07-26,0
2009-07-27,0
2009-07-28,0
2009-07-29,0
2009-07-30,0
2009-07-31,0
2009-08-01,0
2009-08-02,0
2009-08-03,0
2009-08-04,0
2009-08-05,0
2009-08-06,0
2009-08-07,0
2009-08-08,0
2009-08-09,3
2009-08-10,6
2009-08-11,9
2009-08-12,12
2009-08-13,15
2009-08-14,18
2009-08-15,22
2009-08-16,18
2009-08-17,15
2009-08-18,12
2009-08-19,9
2009-08-20,6
2009-08-21,3
2009-08-22,0
2009-08-23,0
2009-08-24,0
2009-08-25,0
2009-08-26,0
2009-08-27,0
2009-08-28,0
2009-08-29,0
2009-08-30,0
2009-08-31,0
2009-09-01,0
2009-09-02,0
2009-09-03,0
2009-09-04,0
2009-09-05,0
2009-09-06,0
2009-09-07,0
2009-09-08,0
2009-09-09,0
2009-09-10,0
2009-09-11,0
2009-09-12,0
2009-09-13,0
2009-09-14,0
2009-09-15,0
2009-09-16,0
2009-09-17,0
2009-09-18,0
2009-09-19,0
2009-09-20,0
2009-09-21,0
2009-09-22,0
2009-09-23,0
2009-09-24,0
2009-09-25,0
2009-09-26,0
2009-09-27,0
2009-09-28,0
2009-09-29,0
2009-09-30,0
2009-10-01,0
2009-10-02,0
2009-10-03,0
2009-10-04,0
2009-10-05,0
2009-10-06,0
2009-10-07,0
2009-10-08,0
2009-10-09,0
2009-10-10,0
2009-10-11,0
2009-10-12,0
2009-10-13,0
2009-10-14,0
2009-10-15,0
2009-10-16,0
2009-10-17,0
2009-10-18,0
2009-10-19,0
2009-10-20,0
2009-10-21,0
2009-10-22,0
2009-10-23,0
2009-10-24,0
2009-10-25,0
2009-10-26,0
2009-10-27,0
2009-10-28,0
2009-10-29,0
2009-10-30,0
2009-10-31,0
2009-11-01,0
2009-11-02,0
2009-11-03,0
2009-11-04,0
2009-11-05,0
2009-11-06,0
2009-11-07,0
2009-11-08,0
2009-11-09,0
2009-11-10,0
2009-11-11,0
2009-11-12,0
2009-11-13,0
2009-11-14,0
2009-11-15,0
2009-11-16,0
2009-11-17,0
2009-11-18,0
2009-11-19,0
2009-11-20,0
2009-11-21,0
2009-11-22,3
2009-11-23,6
2009-11-24,9
2009-11-25,12
2009-11-26,15
2009-11-27,18
2009-11-28,21
2009-11-29,18
2009-11-30,15
2009-12-01,12
2009-12-02,9
2009-12-03,6
2009-12-04,3
2009-12-05,0
2009-12-06,0
2009-12-07,0
2009-12-08,0
2009-12-09,0
2009-12-10,0
2009-12-11,0
2009-12-12,0
2009-12-13,0
2009-12-14,0
2009-12-15,0
2009-12-16,0
2009-12-17,0
2009-12-18,0
2009-12-19,0
2009-12-20,0
2009-12-21,0
2009-12-22,0
2009-12-23,0
2009-12-24,0
2009-12-25,0
2009-12-26,0
2009-12-27,0
2009-12-28,0
2009-12-29,0
2009-12-30,0
2009-12-31,0
2010-01-03,0
2010-01-04,0
2010-01-05,0
2010-01-06,0
2010-01-07,0
2010-01-08,0
2010-01-09,0
2010-01-10,0
2010-01-11,0
2010-01-12,0
2010-01-13,0
2010-01-14,0
2010-01-15,0
2010-01-16,0
2010-01-17,0
2010-01-18,0
2010-01-19,0
2010-01-20,0
2010-01-21,0
2010-01-22,0
2010-01-23,0
2010-01-24,3
2010-01-25,6
2010-01-26,9
2010-01-27,12
2010-01-28,15
2010-01-29,18
2010-01-30,22
2010-01-31,23
2010-02-01,24
2010-02-02,25
2010-02-03,26
2010-02-04,27
2010-02-05,28
2010-02-06,30
2010-02-07,28
2010-02-08,26
2010-02-09,24
2010-02-10,22
2010-02-11,20
2010-02-12,18
2010-02-13,17
2010-02-14,19
2010-02-15,21
2010-02-16,24
2010-02-17,26
2010-02-18,28
2010-02-19,31
2010-02-20,33
2010-02-21,31
2010-02-22,28
2010-02-23,26
2010-02-24,23
2010-02-25,21
2010-02-26,19
2010-02-27,17
2010-02-28,17
2010-03-01,17
2010-03-02,17
2010-03-03,17
2010-03-04,17
2010-03-05,17
2010-03-06,17
2010-03-07,17
2010-03-08,17
2010-03-09,17
2010-03-10,17
2010-03-11,17
2010-03-12,17
2010-03-13,17
2010-03-14,17
2010-03-15,17
2010-03-16,17
2010-03-17,17
2010-03-18,17
2010-03-19,17
2010-03-20,17
2010-03-21,17
2010-03-22,17
2010-03-23,17
2010-03-24,17
