Date,Workday
2012-02-11,9
2012-02-12,9
2012-02-13,10
2012-02-14,10
2012-02-15,11
2012-02-16,11
2012-02-17,12
2012-02-18,13
2012-02-19,12
2012-02-20,12
2012-02-21,12
2012-02-22,12
2012-02-23,12
2012-02-24,12
2012-02-25,12
2012-02-26,12
2012-02-27,12
2012-02-28,12
2012-02-29,12
2012-03-01,12
2012-03-02,12
2012-03-03,12
2012-03-04,11
2012-03-05,10
2012-03-06,10
2012-03-07,9
2012-03-08,9
2012-03-09,8
2012-03-10,8
2012-03-11,8
2012-03-12,8
2012-03-13,8
2012-03-14,9
2012-03-15,9
2012-03-16,9
2012-03-17,10
2012-03-18,9
2012-03-19,9
2012-03-20,9
2012-03-21,9
2012-03-22,9
2012-03-23,9
2012-03-24,9
2012-03-25,9
2012-03-26,9
2012-03-27,9
2012-03-28,9
2012-03-29,9
2012-03-30,9
2012-03-31,10
2012-04-01,10
2012-04-02,10
2012-04-03,10
2012-04-04,10
2012-04-05,10
2012-04-06,10
2012-04-07,11
2012-04-08,11
2012-04-09,11
2012-04-10,11
2012-04-11,11
2012-04-12,11
2012-04-13,11
2012-04-14,11
2012-04-15,11
2012-04-16,11
2012-04-17,11
2012-04-18,11
2012-04-19,11
2012-04-20,12
2012-04-21,12
2012-04-22,12
2012-04-23,11
2012-04-24,11
2012-04-25,11
2012-04-26,11
2012-04-27,11
2012-04-28,11
2012-04-29,11
2012-05-06,15
2012-05-07,14
2012-05-08,14
2012-05-09,13
2012-05-10,13
2012-05-11,12
2012-05-12,12
2012-05-13,11
2012-05-14,11
2012-05-15,11
2012-05-16,11
2012-05-17,11
2012-05-18,11
2012-05-19,11
2012-05-20,11
2012-05-21,11
2012-05-22,11
2012-05-23,12
2012-05-24,12
2012-05-25,12
2012-05-26,13
2012-05-27,12
2012-05-28,11
2012-05-29,11
2012-05-30,10
2012-05-31,10
2012-06-01,9
2012-06-02,9
2012-06-03,9
2012-06-04,9
2012-06-05,9
2012-06-06,9
2012-06-07,9
2012-06-08,9
2012-06-09,10
2012-06-10,10
2012-06-11,11
2012-06-12,12
2012-06-13,13
2012-06-14,14
2012-06-15,15
2012-06-16,16
2012-06-17,15
2012-06-18,15
2012-06-19,14
2012-06-20,14
2012-06-21,13
2012-06-22,13
2012-06-23,13
2012-06-24,12
2012-06-25,12
2012-06-26,12
2012-06-27,12
2012-06-28,12
2012-06-29,12
2012-06-30,12
2012-07-01,11
2012-07-02,10
2012-07-03,9
2012-07-04,9
2012-07-05,8
2012-07-06,7
2012-07-07,7
2012-07-08,8
2012-07-09,9
2012-07-10,10
2012-07-11,11
2012-07-12,12
2012-07-13,13
2012-07-14,15
2012-07-15,15
2012-07-16,15
2012-07-17,15
2012-07-18,15
2012-07-19,15
2012-07-20,16
2012-07-21,16
2012-07-22,15
2012-07-23,14
2012-07-24,13
2012-07-25,12
2012-07-26,11
2012-07-27,10
2012-07-28,10
2012-07-29,9
2012-08-01,9
2012-08-02,9
2012-08-03,9
2012-08-04,9
2012-08-05,9
2012-08-06,9
2012-08-07,9
2012-08-08,9
2012-08-09,9
2012-08-10,10
2012-08-11,10
2012-08-12,10
2012-08-13,10
2012-08-14,10
2012-08-15,11
2012-08-16,11
2012-08-17,11
2012-08-18,12
2012-08-19,12
2012-08-20,12
2012-08-21,13
2012-08-22,13
2012-08-23,14
2012-08-24,14
2012-08-25,15
2012-08-26,15
2012-08-27,15
2012-08-28,16
2012-08-29,16
2012-08-30,18
2012-08-31,17
2012-09-01,19
2012-09-02,18
2012-09-03,18
2012-09-04,18
2012-09-05,18
2012-09-06,18
2012-09-07,18
2012-09-08,19
2012-09-09,19
2012-09-10,19
2012-09-11,19
2012-09-12,19
2012-09-13,19
2012-09-14,19
2012-09-15,19
2012-09-16,19
2012-09-17,19
2012-09-18,20
2012-09-19,19
2012-09-20,20
2012-09-21,19
2012-09-22,20
2012-09-23,19
2012-09-24,19
2012-09-25,19
2012-09-26,18
2012-09-27,18
2012-09-28,19
2012-09-29,18
2012-09-30,20
2012-10-01,22
2012-10-02,24
2012-10-03,27
2012-10-04,31
