Date,Team Health
2009-08-23,0
2009-08-24,0
2009-08-25,0
2009-08-26,0
2009-08-27,0
2009-08-28,0
2009-08-29,0
2009-08-30,0
2009-08-31,0
2009-09-01,0
2009-09-02,0
2009-09-03,0
2009-09-04,0
2009-09-05,0
2009-09-06,0
2009-09-07,0
2009-09-08,0
2009-09-09,0
2009-09-10,0
2009-09-11,0
2009-09-12,0
2009-09-13,8
2009-09-14,16
2009-09-15,24
2009-09-16,32
2009-09-17,40
2009-09-18,48
2009-09-19,56
2009-09-20,56
2009-09-21,56
2009-09-22,56
2009-09-23,56
2009-09-24,56
2009-09-25,56
2009-09-26,57
2009-09-27,57
2009-09-28,57
2009-09-29,57
2009-09-30,57
2009-10-04,58
2009-10-05,60
2009-10-06,60
2009-10-07,61
2009-10-08,62
2009-10-09,63
2009-10-10,66
2009-10-11,58
2009-10-12,56
2009-10-13,54
2009-10-14,52
2009-10-15,50
2009-10-16,48
2009-10-17,47
2009-10-18,47
2009-10-19,47
2009-10-20,47
2009-10-21,47
2009-10-22,47
2009-10-23,47
2009-10-24,47
2009-10-25,47
2009-10-26,47
2009-10-27,47
2009-10-28,47
2009-10-29,47
2009-10-30,47
2009-10-31,47
2009-11-01,47
2009-11-02,47
2009-11-03,47
2009-11-04,47
2009-11-05,47
2009-11-06,47
2009-11-07,47
2009-11-08,47
2009-11-09,47
2009-11-10,47
2009-11-11,47
2009-11-12,47
2009-11-13,47
2009-11-14,47
2009-11-15,47
2009-11-16,47
2009-11-17,48
2009-11-18,48
2009-11-19,49
2009-11-20,49
2009-11-21,50
2009-11-22,50
2009-11-23,53
2009-11-24,51
2009-11-25,51
2009-11-26,52
2009-11-27,52
2009-11-28,53
2009-11-29,53
2009-11-30,53
2009-12-01,54
2009-12-02,54
2009-12-03,55
2009-12-04,55
2009-12-05,56
2009-12-06,58
2009-12-07,61
2009-12-08,64
2009-12-09,66
2009-12-10,69
2009-12-11,72
2009-12-12,75
2009-12-13,78
2009-12-14,84
2009-12-15,88
2009-12-16,92
2009-12-17,97
2009-12-18,103
2009-12-19,110
2009-12-20,92
2009-12-21,84
2009-12-22,76
2009-12-23,68
2009-12-24,60
2009-12-25,52
2009-12-26,45
2009-12-27,45
2010-01-03,45
2010-01-04,45
2010-01-05,45
2010-01-06,45
2010-01-07,45
2010-01-08,45
2010-01-09,45
2010-01-10,45
2010-01-11,56
2010-01-12,45
2010-01-13,45
2010-01-14,45
2010-01-15,45
2010-01-16,45
2010-01-17,45
2010-01-18,45
2010-01-19,46
2010-01-20,46
2010-01-21,47
2010-01-22,47
2010-01-23,48
2010-01-24,47
2010-01-25,46
2010-01-26,45
2010-01-27,45
2010-01-28,44
2010-01-29,43
2010-01-30,43
2010-01-31,43
2010-02-01,43
2010-02-02,43
2010-02-03,43
2010-02-04,43
2010-02-05,43
2010-02-06,43
2010-02-07,42
2010-02-08,42
2010-02-09,42
2010-02-10,42
2010-02-11,42
2010-02-12,42
2010-02-13,42
2010-02-14,42
2010-02-15,42
2010-02-16,42
2010-02-17,42
2010-02-18,42
2010-02-19,42
2010-02-20,42
2010-02-21,42
2010-02-22,42
2010-02-23,42
2010-02-24,42
2010-02-25,42
2010-02-26,42
2010-02-27,42
2010-02-28,42
2010-03-01,42
2010-03-02,42
2010-03-03,42
2010-03-04,42
2010-03-05,42
2010-03-06,43
2010-03-07,43
2010-03-08,43
2010-03-09,43
2010-03-10,43
2010-03-11,43
2010-03-12,43
2010-03-13,43
2010-03-14,43
2010-03-15,44
2010-03-16,44
2010-03-17,45
2010-03-18,45
2010-03-19,46
2010-03-20,47
2010-03-21,46
2010-03-22,47
2010-03-23,46
2010-03-24,46
2010-03-25,46
2010-03-26,46
2010-03-27,47
2010-03-28,43
2010-04-04,43
2010-04-05,43
2010-04-06,43
2010-04-07,43
2010-04-08,43
2010-04-09,43
2010-04-10,43
2010-04-11,43
2010-04-12,53
2010-04-13,43
2010-04-14,43
2010-04-15,43
2010-04-16,43
2010-04-17,43
2010-04-18,43
2010-04-19,43
2010-04-20,43
2010-04-21,43
2010-04-22,43
2010-04-23,43
2010-04-24,43
2010-04-25,43
2010-04-26,43
2010-04-27,44
2010-04-28,44
2010-04-29,45
2010-04-30,45
2010-05-01,46
2010-05-02,46
2010-05-03,46
2010-05-04,47
2010-05-05,47
2010-05-06,48
2010-05-07,48
2010-05-08,49
2010-05-09,49
2010-05-10,50
2010-05-11,50
2010-05-12,51
2010-05-13,51
2010-05-14,52
2010-05-15,53
2010-05-16,56
2010-05-17,60
2010-05-18,64
2010-05-19,68
2010-05-20,72
2010-05-21,75
2010-05-22,79
2010-05-23,74
2010-05-24,69
2010-05-25,64
2010-05-26,59
2010-05-27,54
2010-05-28,49
2010-05-29,45
2010-05-30,45
2010-05-31,45
2010-06-01,45
2010-06-02,45
2010-06-03,45
2010-06-04,45
2010-06-05,45
2010-06-06,49
2010-06-07,55
2010-06-08,59
2010-06-09,64
2010-06-10,69
2010-06-11,75
2010-06-12,83
2010-06-13,64
2010-06-14,53
2010-06-15,42
2010-06-16,32
2010-06-17,21
2010-06-18,10
2010-06-19,0
2010-06-20,0
2010-06-21,0
2010-06-22,0
2010-06-23,0
2010-06-24,0
2010-06-25,0
2010-06-26,0
2010-06-27,0
2010-07-01,0
2010-07-02,0
2010-07-03,0
2010-07-04,0
2010-07-05,0
2010-07-06,0
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,0
2010-07-11,0
2010-07-12,0
2010-07-13,0
2010-07-14,0
2010-07-15,0
2010-07-16,0
2010-07-17,0
2010-07-18,0
2010-07-19,0
2010-07-20,0
2010-07-21,0
2010-07-22,0
2010-07-23,0
2010-07-24,0
2010-07-25,0
2010-07-26,0
2010-07-27,0
2010-07-28,0
2010-07-29,0
2010-07-30,0
2010-07-31,0
2010-08-01,0
2010-08-02,0
2010-08-03,0
2010-08-04,0
2010-08-05,0
2010-08-06,0
2010-08-07,0
2010-08-08,0
2010-08-09,0
2010-08-10,0
2010-08-11,0
2010-08-12,0
2010-08-13,0
2010-08-14,0
2010-08-15,0
2010-08-16,0
2010-08-17,0
2010-08-18,0
2010-08-19,0
2010-08-20,0
2010-08-21,0
2010-08-22,0
2010-08-23,0
2010-08-24,0
2010-08-25,0
2010-08-26,0
2010-08-27,0
2010-08-28,0
2010-08-29,0
2010-08-30,0
2010-08-31,0
2010-09-01,0
2010-09-02,0
2010-09-03,0
2010-09-04,0
2010-09-05,0
2010-09-06,0
2010-09-07,0
2010-09-08,0
2010-09-09,0
2010-09-10,0
2010-09-11,0
2010-09-12,7
2010-09-13,14
2010-09-14,21
2010-09-15,28
2010-09-16,35
2010-09-17,42
2010-09-18,50
2010-09-19,50
2010-09-20,50
2010-09-21,51
2010-09-22,51
2010-09-23,52
2010-09-24,52
2010-09-25,53
2010-09-26,51
2010-09-27,50
2010-09-28,49
2010-09-29,48
2010-09-30,47
2010-10-03,45
2010-10-04,46
2010-10-05,46
2010-10-06,46
2010-10-07,47
2010-10-08,48
2010-10-09,49
2010-10-10,43
2010-10-11,42
2010-10-12,41
2010-10-13,39
2010-10-14,38
2010-10-15,37
2010-10-16,36
2010-10-17,36
2010-10-18,36
2010-10-19,36
2010-10-20,36
2010-10-21,36
2010-10-22,36
2010-10-23,36
2010-10-24,36
2010-10-25,36
2010-10-26,36
2010-10-27,36
2010-10-28,36
2010-10-29,36
2010-10-30,36
2010-10-31,36
2010-11-01,36
2010-11-02,36
2010-11-03,37
2010-11-04,37
2010-11-05,37
2010-11-06,38
2010-11-07,38
2010-11-08,38
2010-11-09,38
2010-11-10,39
2010-11-11,39
2010-11-12,39
2010-11-13,40
2010-11-14,40
2010-11-15,40
2010-11-16,40
2010-11-17,40
2010-11-18,40
2010-11-19,40
2010-11-20,41
2010-11-21,41
2010-11-22,42
2010-11-23,43
2010-11-24,43
2010-11-25,44
2010-11-26,45
2010-11-27,47
2010-11-28,43
2010-11-29,43
2010-11-30,43
2010-12-01,43
2010-12-02,43
2010-12-03,43
2010-12-04,43
2010-12-05,43
2010-12-06,43
2010-12-07,43
2010-12-08,43
2010-12-09,43
2010-12-10,43
2010-12-11,43
2010-12-12,43
2010-12-13,43
2010-12-14,43
2010-12-15,43
2010-12-16,43
2010-12-17,43
2010-12-18,43
2010-12-19,43
2010-12-20,43
2010-12-21,43
2010-12-22,43
2010-12-23,43
2010-12-24,43
2010-12-25,43
2010-12-26,42
2011-01-02,40
2011-01-03,40
2011-01-04,40
2011-01-05,40
2011-01-06,40
2011-01-07,40
2011-01-08,40
2011-01-09,40
2011-01-10,50
2011-01-11,40
2011-01-12,40
2011-01-13,40
2011-01-14,40
2011-01-15,40
2011-01-16,40
2011-01-17,40
2011-01-18,40
2011-01-19,40
2011-01-20,40
2011-01-21,40
2011-01-22,40
2011-01-23,40
2011-01-24,41
2011-01-25,42
2011-01-26,43
2011-01-27,44
2011-01-28,45
2011-01-29,46
2011-01-30,44
2011-01-31,42
2011-02-01,40
2011-02-02,38
2011-02-03,36
2011-02-04,34
2011-02-05,33
2011-02-06,33
2011-02-07,33
2011-02-08,33
2011-02-09,33
2011-02-10,33
2011-02-11,33
2011-02-12,33
2011-02-13,33
2011-02-14,34
2011-02-15,35
2011-02-16,36
2011-02-17,37
2011-02-18,38
2011-02-19,39
2011-02-20,38
2011-02-21,37
2011-02-22,36
2011-02-23,35
2011-02-24,34
2011-02-25,33
2011-02-26,32
2011-02-27,32
2011-02-28,33
2011-03-01,34
2011-03-02,35
2011-03-03,36
2011-03-04,37
2011-03-05,38
2011-03-06,39
2011-03-07,40
2011-03-08,41
2011-03-09,42
2011-03-10,43
2011-03-11,44
2011-03-12,45
2011-03-13,44
2011-03-14,43
2011-03-15,43
2011-03-16,42
2011-03-17,42
2011-03-18,41
2011-03-19,41
2011-03-20,42
2011-03-21,45
2011-03-22,47
2011-03-23,49
2011-03-24,50
2011-03-25,52
2011-03-26,54
2011-03-27,52
