Date,Benefitfocus
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,0
2013-02-05,0
2013-02-06,0
2013-02-07,0
2013-02-08,0
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,0
2013-02-13,0
2013-02-14,0
2013-02-15,0
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-02,1
2013-03-03,2
2013-03-04,4
2013-03-05,5
2013-03-06,7
2013-03-07,8
2013-03-08,10
2013-03-09,11
2013-03-10,13
2013-03-11,14
2013-03-12,15
2013-03-13,17
2013-03-14,18
2013-03-15,20
2013-03-16,21
2013-03-17,23
2013-03-18,24
2013-03-19,26
2013-03-20,27
2013-03-21,29
2013-03-22,30
2013-03-23,31
2013-03-24,33
2013-03-25,34
2013-03-26,36
2013-03-27,37
2013-03-28,39
2013-03-29,40
2013-03-30,42
2013-03-31,43
2013-04-01,45
2013-04-02,44
2013-04-03,44
2013-04-04,44
2013-04-05,44
2013-04-06,44
2013-04-07,44
2013-04-08,44
2013-04-09,44
2013-04-10,44
2013-04-11,44
2013-04-12,44
2013-04-13,44
2013-04-14,44
2013-04-15,44
2013-04-16,44
2013-04-17,44
2013-04-18,44
2013-04-19,44
2013-04-20,44
2013-04-21,44
2013-04-22,44
2013-04-23,44
2013-04-24,44
2013-04-25,44
2013-04-26,44
2013-04-27,44
2013-04-28,44
2013-04-29,44
2013-04-30,44
2013-05-01,44
2013-05-02,44
2013-05-03,44
2013-05-04,44
2013-05-05,44
2013-05-06,44
2013-05-07,44
2013-05-08,44
2013-05-09,44
2013-05-10,44
2013-05-11,44
2013-05-12,44
2013-05-13,44
2013-05-14,44
2013-05-15,44
2013-05-16,44
2013-05-17,44
2013-05-18,44
2013-05-19,44
2013-05-20,44
2013-05-21,44
2013-05-22,44
2013-05-23,44
2013-05-24,44
2013-05-25,44
2013-05-26,44
2013-05-27,44
2013-05-28,44
2013-05-29,44
2013-05-30,44
2013-05-31,44
2013-06-01,44
2013-06-02,44
2013-06-03,44
2013-06-04,44
2013-06-05,44
2013-06-06,44
2013-06-07,44
2013-06-08,44
2013-06-09,44
2013-06-10,44
2013-06-11,44
2013-06-12,44
2013-06-13,44
2013-06-14,44
2013-06-15,44
2013-06-16,44
2013-06-17,44
2013-06-18,44
2013-06-19,44
2013-06-20,44
2013-06-21,44
2013-06-22,44
2013-06-23,44
2013-06-24,44
2013-06-25,44
2013-06-26,44
2013-06-27,44
2013-06-28,44
2013-06-29,44
2013-06-30,44
2013-07-01,44
2013-07-02,44
2013-07-03,44
2013-07-04,44
2013-07-05,44
2013-07-06,44
2013-07-07,44
2013-07-08,44
2013-07-09,44
2013-07-10,44
2013-07-11,44
2013-07-12,44
2013-07-13,44
2013-07-14,44
2013-07-15,44
2013-07-16,44
2013-07-17,44
2013-07-18,44
2013-07-19,44
2013-07-20,44
2013-07-21,44
2013-07-22,44
2013-07-23,44
2013-07-24,44
2013-07-25,44
2013-07-26,44
2013-07-27,44
2013-07-28,44
2013-07-29,44
2013-07-30,44
2013-07-31,44
2013-08-01,44
2013-08-02,45
2013-08-03,47
2013-08-04,49
2013-08-05,51
2013-08-06,53
2013-08-07,54
2013-08-08,56
2013-08-09,58
2013-08-10,60
2013-08-11,62
2013-08-12,63
2013-08-13,65
2013-08-14,67
2013-08-15,69
2013-08-16,71
2013-08-17,72
2013-08-18,74
2013-08-19,76
2013-08-20,78
2013-08-21,80
2013-08-22,81
2013-08-23,83
2013-08-24,85
2013-08-25,87
2013-08-26,89
2013-08-27,90
2013-08-28,92
2013-08-29,94
2013-08-30,96
2013-08-31,98
2013-09-01,100
2013-09-02,98
2013-09-03,97
2013-09-04,96
2013-09-05,94
2013-09-06,93
2013-09-07,92
2013-09-08,90
2013-09-09,89
2013-09-10,88
2013-09-11,86
2013-09-12,85
2013-09-13,84
2013-09-14,82
2013-09-15,81
2013-09-16,80
2013-09-17,78
2013-09-18,77
2013-09-19,76
2013-09-20,74
2013-09-21,73
2013-09-22,72
2013-09-23,70
2013-09-24,69
2013-09-25,68
2013-09-26,66
2013-09-27,65
2013-09-28,64
2013-09-29,62
2013-09-30,61
2013-10-01,60
2013-10-02,59
2013-10-03,58
2013-10-04,57
2013-10-05,57
2013-10-06,56
2013-10-07,55
2013-10-08,55
2013-10-09,54
2013-10-10,53
2013-10-11,52
2013-10-12,52
2013-10-13,51
2013-10-14,50
2013-10-15,50
2013-10-16,49
2013-10-17,48
2013-10-18,47
2013-10-19,47
2013-10-20,46
2013-10-21,45
2013-10-22,45
2013-10-23,44
2013-10-24,43
2013-10-25,42
2013-10-26,42
2013-10-27,41
2013-10-28,40
2013-10-29,40
2013-10-30,39
2013-10-31,38
2013-11-01,38
2013-11-02,38
2013-11-03,38
2013-11-04,38
2013-11-05,38
