Date,Dollar General
2009-02-07,74
2009-02-08,70
2009-02-09,65
2009-02-10,60
2009-02-11,56
2009-02-12,51
2009-02-13,47
2009-02-14,43
2009-02-15,45
2009-02-16,47
2009-02-17,49
2009-02-18,51
2009-02-19,53
2009-02-20,55
2009-02-21,57
2009-02-22,55
2009-02-23,53
2009-02-24,52
2009-02-25,50
2009-02-26,49
2009-02-27,47
2009-02-28,46
2009-03-01,47
2009-03-02,49
2009-03-03,51
2009-03-04,53
2009-03-05,55
2009-03-06,57
2009-03-07,59
2009-03-08,58
2009-03-09,57
2009-03-10,57
2009-03-11,56
2009-03-12,56
2009-03-13,55
2009-03-14,55
2009-03-15,55
2009-03-16,55
2009-03-17,55
2009-03-18,56
2009-03-19,56
2009-03-20,56
2009-03-21,56
2009-03-22,55
2009-03-23,54
2009-03-24,53
2009-03-25,53
2009-03-26,52
2009-03-27,51
2009-03-28,51
2009-03-29,51
2009-05-03,42
2009-05-04,42
2009-05-05,42
2009-05-06,42
2009-05-07,41
2009-05-08,41
2009-05-09,41
2009-05-10,39
2009-05-11,37
2009-05-12,35
2009-05-13,33
2009-05-14,31
2009-05-15,29
2009-05-16,27
2009-05-17,28
2009-05-18,28
2009-05-19,29
2009-05-20,29
2009-05-21,30
2009-05-22,31
2009-05-23,32
2009-05-24,31
2009-05-25,30
2009-05-26,29
2009-05-27,28
2009-05-28,27
2009-05-29,26
2009-05-30,25
2009-05-31,29
2009-06-01,33
2009-06-02,38
2009-06-03,42
2009-06-04,46
2009-06-05,51
2009-06-06,55
2009-06-07,53
2009-06-08,51
2009-06-09,49
2009-06-10,48
2009-06-11,46
2009-06-12,44
2009-06-13,43
2009-06-14,44
2009-06-15,46
2009-06-16,47
2009-06-17,49
2009-06-18,51
2009-06-19,52
2009-06-20,54
2009-06-21,53
2009-06-22,53
2009-06-23,53
2009-06-24,53
2009-06-25,52
2009-06-26,52
2009-06-27,52
2009-06-28,52
2009-06-29,52
2009-06-30,52
2009-07-01,52
2009-07-02,53
2009-07-03,53
2009-07-04,53
2009-07-05,51
2009-07-06,48
2009-07-07,46
2009-07-08,43
2009-07-09,41
2009-07-10,39
2009-07-11,37
2009-07-12,39
2009-07-13,41
2009-07-14,43
2009-07-15,45
2009-07-16,47
