Date,bluebird bio
2013-05-25,77
2013-05-26,80
2013-05-27,83
2013-05-28,87
2013-05-29,90
2013-05-30,93
2013-05-31,96
2013-06-01,100
2013-06-02,98
2013-06-03,97
2013-06-04,96
2013-06-05,95
2013-06-06,94
2013-06-07,93
2013-06-08,91
2013-06-09,90
2013-06-10,89
2013-06-11,88
2013-06-12,87
2013-06-13,86
2013-06-14,84
2013-06-15,83
2013-06-16,82
2013-06-17,81
2013-06-18,80
2013-06-19,79
2013-06-20,77
2013-06-21,76
2013-06-22,75
2013-06-23,74
2013-06-24,73
2013-06-25,72
2013-06-26,70
2013-06-27,69
2013-06-28,68
2013-06-29,67
2013-06-30,66
2013-07-01,65
2013-07-02,66
2013-07-03,67
2013-07-04,68
2013-07-05,69
2013-07-06,70
2013-07-07,71
2013-07-08,72
2013-07-09,73
2013-07-10,74
2013-07-11,75
2013-07-12,76
2013-07-13,77
2013-07-14,78
2013-07-15,79
2013-07-16,80
2013-07-17,81
2013-07-18,82
2013-07-19,83
2013-07-20,84
2013-07-21,85
2013-07-22,86
2013-07-23,87
2013-07-24,88
2013-07-25,89
2013-07-26,90
2013-07-27,91
2013-07-28,92
2013-07-29,93
2013-07-30,94
2013-07-31,95
2013-08-01,97
2013-08-02,93
2013-08-03,90
2013-08-04,87
2013-08-05,84
2013-08-06,81
2013-08-07,78
2013-08-08,75
2013-08-09,71
2013-08-10,68
2013-08-11,65
2013-08-12,62
2013-08-13,59
2013-08-14,56
2013-08-15,53
2013-08-16,50
2013-08-17,46
2013-08-18,43
2013-08-19,40
2013-08-20,37
2013-08-21,34
2013-08-22,31
2013-08-23,28
2013-08-24,25
2013-08-25,21
2013-08-26,18
2013-08-27,15
2013-08-28,12
2013-08-29,9
2013-08-30,6
2013-08-31,3
2013-09-01,0
2013-09-02,0
2013-09-03,0
2013-09-04,0
2013-09-05,0
2013-09-06,0
2013-09-07,0
2013-09-08,0
2013-09-09,0
2013-09-10,0
2013-09-11,0
2013-09-12,0
2013-09-13,0
2013-09-14,0
2013-09-15,0
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,0
2013-09-20,0
2013-09-21,0
2013-09-22,0
2013-09-23,0
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-28,0
2013-09-29,0
2013-09-30,0
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-05,0
2013-10-06,0
2013-10-07,0
2013-10-08,0
2013-10-09,0
2013-10-10,0
2013-10-11,0
2013-10-12,0
2013-10-13,0
2013-10-14,0
2013-10-15,0
2013-10-16,0
2013-10-17,0
2013-10-18,0
2013-10-19,0
2013-10-20,0
2013-10-21,0
2013-10-22,0
2013-10-23,0
2013-10-24,0
2013-10-25,0
2013-10-26,0
2013-10-27,0
2013-10-28,0
2013-10-29,0
2013-10-30,0
2013-10-31,0
2013-11-01,0
2013-11-02,0
2013-11-03,0
2013-11-04,0
2013-11-05,0
2013-11-06,0
2013-11-07,0
2013-11-08,0
2013-11-09,0
2013-11-10,0
2013-11-11,0
2013-11-12,0
2013-11-13,0
2013-11-14,0
2013-11-15,0
2013-11-16,0
2013-11-17,0
2013-11-18,0
2013-11-19,0
2013-11-20,0
2013-11-21,0
2013-11-22,0
2013-11-23,0
2013-11-24,0
2013-11-25,0
2013-11-26,0
2013-11-27,0
2013-11-28,0
2013-11-29,0
2013-11-30,0
2013-12-01,0
2013-12-02,0
2013-12-03,0
2013-12-04,0
2013-12-05,0
2013-12-06,0
2013-12-07,0
2013-12-08,0
2013-12-09,0
2013-12-10,0
2013-12-11,0
2013-12-12,0
2013-12-13,0
2013-12-14,0
2013-12-15,0
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,0
2013-12-20,0
2013-12-21,0
2013-12-22,0
2013-12-23,0
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,0
2013-12-28,0
2013-12-29,0
2013-12-30,0
2013-12-31,0
2014-01-01,0
2014-01-02,2
2014-01-03,4
2014-01-04,6
2014-01-05,8
2014-01-06,10
2014-01-07,13
2014-01-08,15
2014-01-09,17
2014-01-10,19
2014-01-11,21
2014-01-12,24
2014-01-13,26
2014-01-14,28
2014-01-15,30
2014-01-16,32
2014-01-17,35
2014-01-18,37
2014-01-19,39
2014-01-20,41
2014-01-21,43
2014-01-22,46
2014-01-23,48
2014-01-24,50
2014-01-25,52
2014-01-26,54
2014-01-27,57
2014-01-28,59
2014-01-29,61
2014-01-30,63
2014-01-31,65
2014-02-01,68
