Date,Stock Building Supply
2012-12-02,56
2012-12-03,54
2012-12-04,52
2012-12-05,50
2012-12-06,48
2012-12-07,46
2012-12-08,44
2012-12-09,42
2012-12-10,41
2012-12-11,40
2012-12-12,39
2012-12-13,38
2012-12-14,37
2012-12-15,36
2012-12-16,37
2012-12-17,38
2012-12-18,40
2012-12-19,41
2012-12-20,42
2012-12-21,43
2012-12-22,45
2012-12-23,43
2012-12-24,42
2012-12-25,40
2012-12-26,39
2012-12-27,37
2012-12-28,36
2012-12-29,35
2012-12-30,36
2012-12-31,37
2013-01-01,38
2013-01-02,39
2013-01-03,40
2013-01-04,41
2013-01-05,43
2013-01-06,45
2013-01-07,48
2013-01-08,51
2013-01-09,53
2013-01-10,56
2013-01-11,58
2013-01-12,61
2013-01-13,58
2013-01-14,54
2013-01-15,51
2013-01-16,47
2013-01-17,44
2013-01-18,41
2013-01-19,38
2013-01-20,39
2013-01-21,41
2013-01-22,42
2013-01-23,43
2013-01-24,45
2013-01-25,46
2013-01-26,48
2013-01-27,48
2013-01-28,48
2013-01-29,48
2013-01-30,48
2013-01-31,48
2013-02-01,48
2013-02-02,49
2013-02-03,46
2013-02-04,44
2013-02-05,42
2013-02-06,40
2013-02-07,38
2013-02-08,36
2013-02-09,34
2013-02-10,37
2013-02-11,40
2013-02-12,43
2013-02-13,46
2013-02-14,50
2013-02-15,53
2013-02-16,56
2013-02-17,54
2013-02-18,51
2013-02-19,49
2013-02-20,47
2013-02-21,45
2013-02-22,43
2013-02-23,41
2013-02-24,42
2013-03-03,52
2013-03-04,52
2013-03-05,52
2013-03-06,53
2013-03-07,53
2013-03-08,53
2013-03-09,54
2013-03-10,58
2013-03-11,62
2013-03-12,66
2013-03-13,70
2013-03-14,74
2013-03-15,78
2013-03-16,82
2013-03-17,80
2013-03-18,78
2013-03-19,77
2013-03-20,75
2013-03-21,74
2013-03-22,72
2013-03-23,71
2013-03-24,71
2013-03-25,71
2013-03-26,72
2013-03-27,72
2013-03-28,73
2013-03-29,73
2013-03-30,74
2013-03-31,74
2013-04-01,75
2013-04-02,75
2013-04-03,76
2013-04-04,76
2013-04-05,77
2013-04-06,78
2013-04-07,76
2013-04-08,74
2013-04-09,73
2013-04-10,71
2013-04-11,69
2013-04-12,68
2013-04-13,66
2013-04-14,64
2013-04-15,63
2013-04-16,61
2013-04-17,60
2013-04-18,58
2013-04-19,57
2013-04-20,56
2013-04-21,58
2013-04-22,60
2013-04-23,62
2013-04-24,64
2013-04-25,66
2013-04-26,68
2013-04-27,70
2013-04-28,67
2013-04-29,64
2013-04-30,61
2013-05-01,58
2013-05-02,55
2013-05-03,52
2013-05-04,49
2013-05-05,52
2013-05-06,55
2013-05-07,58
2013-05-08,61
2013-05-09,64
2013-05-10,67
2013-05-11,70
2013-05-12,67
2013-05-13,63
2013-05-14,60
2013-05-15,57
2013-05-16,54
2013-05-17,51
2013-05-18,48
2013-05-19,48
2013-05-20,49
2013-05-21,50
2013-05-22,51
2013-05-23,51
2013-05-24,52
2013-05-25,53
2013-05-26,53
2013-06-02,55
2013-06-03,59
2013-06-04,62
2013-06-05,66
2013-06-06,70
2013-06-07,73
2013-06-08,77
2013-06-09,75
2013-06-10,73
2013-06-11,71
2013-06-12,69
2013-06-13,67
2013-06-14,65
2013-06-15,64
2013-06-16,67
2013-06-17,72
2013-06-18,76
2013-06-19,80
2013-06-20,84
2013-06-21,88
2013-06-22,92
2013-06-23,87
2013-06-24,80
2013-06-25,75
2013-06-26,69
2013-06-27,64
2013-06-28,59
2013-06-29,54
2013-06-30,54
2013-07-01,54
2013-07-02,54
2013-07-03,55
2013-07-04,55
2013-07-05,55
2013-07-06,56
2013-07-07,57
2013-07-08,58
2013-07-09,60
2013-07-10,61
2013-07-11,62
2013-07-12,64
2013-07-13,65
2013-07-14,63
2013-07-15,61
2013-07-16,59
2013-07-17,57
2013-07-18,55
2013-07-19,53
2013-07-20,52
2013-07-21,55
2013-07-22,58
2013-07-23,62
2013-07-24,65
2013-07-25,68
2013-07-26,71
2013-07-27,75
2013-07-28,73
2013-07-29,72
2013-07-30,71
2013-07-31,69
2013-08-01,68
2013-08-02,67
2013-08-03,66
2013-08-04,69
2013-08-05,74
2013-08-06,78
2013-08-07,82
2013-08-08,86
2013-08-09,89
2013-08-10,93
2013-08-11,89
2013-08-12,84
2013-08-13,80
2013-08-14,76
2013-08-15,72
2013-08-16,68
2013-08-17,64
2013-08-18,65
2013-08-19,67
2013-08-20,69
2013-08-21,70
2013-08-22,72
2013-08-23,74
2013-08-24,76
2013-08-25,79
2013-09-01,94
2013-09-02,88
2013-09-03,82
2013-09-04,76
2013-09-05,70
2013-09-06,64
2013-09-07,58
2013-09-08,59
2013-09-09,61
2013-09-10,63
2013-09-11,65
2013-09-12,67
2013-09-13,69
2013-09-14,71
2013-09-15,71
2013-09-16,70
2013-09-17,70
2013-09-18,70
2013-09-19,69
2013-09-20,69
2013-09-21,69
2013-09-22,68
2013-09-23,67
2013-09-24,66
2013-09-25,65
2013-09-26,64
2013-09-27,63
2013-09-28,63
2013-09-29,64
2013-09-30,65
2013-10-01,66
2013-10-02,67
2013-10-03,68
2013-10-04,69
2013-10-05,71
2013-10-06,70
2013-10-07,70
2013-10-08,69
2013-10-09,69
2013-10-10,69
2013-10-11,68
2013-10-12,68
2013-10-13,65
2013-10-14,62
2013-10-15,60
2013-10-16,57
2013-10-17,55
2013-10-18,52
2013-10-19,50
2013-10-20,50
2013-10-21,51
2013-10-22,52
2013-10-23,52
2013-10-24,53
2013-10-25,54
2013-10-26,55
2013-10-27,56
2013-10-28,57
2013-10-29,58
2013-10-30,60
2013-10-31,61
2013-11-01,62
2013-11-02,64
2013-11-03,65
2013-11-04,67
2013-11-05,68
2013-11-06,69
2013-11-07,71
2013-11-08,72
2013-11-09,73
2013-11-10,72
2013-11-11,69
2013-11-12,67
2013-11-13,66
2013-11-14,64
2013-11-15,62
2013-11-16,61
2013-11-17,59
2013-11-18,58
2013-11-19,57
2013-11-20,55
2013-11-21,54
2013-11-22,52
2013-11-23,51
2013-11-24,51
2013-12-01,51
2013-12-02,52
2013-12-03,54
2013-12-04,55
2013-12-05,56
2013-12-06,57
2013-12-07,59
2013-12-08,58
2013-12-09,57
2013-12-10,56
2013-12-11,55
2013-12-12,54
2013-12-13,53
2013-12-14,52
2013-12-15,52
2013-12-16,52
2013-12-17,52
2013-12-18,53
2013-12-19,53
2013-12-20,53
2013-12-21,53
2013-12-22,50
2013-12-23,46
2013-12-24,43
2013-12-25,39
2013-12-26,36
2013-12-27,33
2013-12-28,30
2013-12-29,33
2013-12-30,37
2013-12-31,40
2014-01-01,43
2014-01-02,47
2014-01-03,50
2014-01-04,54
2014-01-05,53
2014-01-06,52
2014-01-07,52
2014-01-08,51
2014-01-09,51
2014-01-10,50
2014-01-11,50
2014-01-12,50
2014-01-13,51
2014-01-14,52
2014-01-15,53
2014-01-16,54
2014-01-17,55
2014-01-18,56
2014-01-19,57
2014-01-20,58
2014-01-21,59
2014-01-22,60
2014-01-23,61
2014-01-24,63
2014-01-25,64
2014-01-26,57
2014-01-27,50
2014-01-28,44
2014-01-29,37
2014-01-30,31
2014-01-31,25
2014-02-01,19
2014-02-02,23
2014-02-03,27
2014-02-04,31
2014-02-05,35
2014-02-06,39
2014-02-07,43
2014-02-08,47
2014-02-09,47
2014-02-10,48
2014-02-11,49
2014-02-12,49
2014-02-13,50
2014-02-14,51
2014-02-15,52
2014-02-16,53
2014-02-17,54
2014-02-18,56
2014-02-19,57
2014-02-20,59
2014-02-21,60
2014-02-22,62
2014-02-23,62
