Date,Capital Bank Financial
2011-12-10,57
2011-12-11,57
2011-12-12,57
2011-12-13,57
2011-12-14,57
2011-12-15,57
2011-12-16,57
2011-12-17,58
2011-12-18,58
2011-12-19,58
2011-12-20,58
2011-12-21,58
2011-12-22,58
2011-12-23,58
2011-12-24,58
2011-12-25,58
2011-12-26,58
2011-12-27,58
2011-12-28,58
2011-12-29,58
2011-12-30,58
2011-12-31,58
2012-01-01,58
2012-01-02,58
2012-01-03,58
2012-01-04,58
2012-01-05,58
2012-01-06,58
2012-01-07,58
2012-01-08,57
2012-01-09,57
2012-01-10,56
2012-01-11,55
2012-01-12,55
2012-01-13,54
2012-01-14,54
2012-01-15,54
2012-01-16,54
2012-01-17,54
2012-01-18,54
2012-01-19,54
2012-01-20,54
2012-01-21,54
2012-01-22,54
2012-01-23,54
2012-01-24,54
2012-01-25,54
2012-01-26,54
2012-01-27,54
2012-01-28,54
2012-01-29,54
2012-01-30,54
2012-01-31,54
2012-02-01,54
2012-02-02,54
2012-02-03,54
2012-02-04,54
2012-02-05,55
2012-02-06,56
2012-02-07,58
2012-02-08,59
2012-02-09,61
2012-02-10,62
2012-02-11,64
2012-02-12,65
2012-02-13,67
2012-02-14,68
2012-02-15,70
2012-02-16,71
2012-02-17,73
2012-02-18,75
2012-02-19,75
2012-02-20,75
2012-02-21,75
2012-02-22,75
2012-02-23,75
2012-02-24,75
2012-02-25,76
2012-02-26,76
2012-03-04,74
2012-03-05,91
2012-03-06,70
2012-03-07,69
2012-03-08,67
2012-03-09,65
2012-03-10,64
2012-03-11,64
2012-03-12,64
2012-03-13,64
2012-03-14,64
2012-03-15,64
2012-03-16,64
2012-03-17,64
2012-03-18,64
2012-03-19,64
2012-03-20,65
2012-03-21,65
2012-03-22,66
2012-03-23,66
2012-03-24,67
2012-03-25,67
2012-03-26,67
2012-03-27,67
2012-03-28,68
2012-03-29,68
2012-03-30,68
2012-03-31,69
2012-04-01,69
2012-04-02,70
2012-04-03,70
2012-04-04,70
2012-04-05,71
2012-04-06,71
2012-04-07,72
2012-04-08,72
2012-04-09,72
2012-04-10,72
2012-04-11,72
2012-04-12,72
2012-04-13,72
2012-04-14,72
2012-04-15,74
2012-04-16,76
2012-04-17,78
2012-04-18,80
2012-04-19,82
2012-04-20,84
2012-04-21,86
2012-04-22,88
2012-04-23,90
2012-04-24,92
2012-04-25,94
2012-04-26,96
2012-04-27,99
2012-04-28,101
2012-04-29,94
2012-04-30,86
2012-05-01,80
2012-05-02,73
2012-05-03,67
2012-05-04,60
2012-05-05,54
2012-05-06,55
2012-05-07,56
2012-05-08,57
2012-05-09,58
2012-05-10,59
2012-05-11,60
2012-05-12,62
2012-05-13,64
2012-05-14,66
2012-05-15,69
2012-05-16,71
2012-05-17,74
2012-05-18,76
2012-05-19,79
2012-05-20,79
2012-05-21,81
2012-05-22,82
2012-05-23,82
2012-05-24,83
2012-05-25,85
2012-05-26,88
2012-05-27,79
2012-06-03,79
2012-06-04,79
2012-06-05,79
2012-06-06,79
2012-06-07,79
2012-06-08,79
2012-06-09,79
2012-06-10,80
2012-06-11,81
2012-06-12,83
2012-06-13,84
2012-06-14,86
2012-06-15,87
2012-06-16,89
2012-06-17,88
2012-06-18,87
2012-06-19,87
2012-06-20,86
2012-06-21,86
2012-06-22,85
2012-06-23,85
2012-06-24,85
2012-06-25,86
2012-06-26,86
2012-06-27,86
2012-06-28,86
2012-06-29,86
2012-06-30,86
2012-07-01,82
2012-07-02,77
2012-07-03,73
2012-07-04,69
2012-07-05,65
2012-07-06,61
2012-07-07,58
2012-07-08,58
2012-07-09,58
2012-07-10,58
2012-07-11,58
2012-07-12,58
2012-07-13,58
2012-07-14,58
2012-07-15,61
2012-07-16,65
2012-07-17,69
2012-07-18,72
2012-07-19,76
2012-07-20,80
2012-07-21,84
2012-07-22,82
2012-07-23,80
2012-07-24,78
2012-07-25,76
2012-07-26,74
2012-07-27,72
2012-07-28,70
2012-07-29,70
2012-07-30,70
2012-07-31,70
2012-08-01,70
2012-08-02,70
2012-08-03,70
2012-08-04,70
2012-08-05,72
2012-08-06,74
2012-08-07,76
2012-08-08,79
2012-08-09,81
2012-08-10,83
2012-08-11,86
2012-08-12,82
2012-08-13,78
2012-08-14,74
2012-08-15,70
2012-08-16,66
2012-08-17,62
2012-08-18,59
2012-08-19,59
2012-08-20,60
2012-08-21,61
2012-08-22,61
2012-08-23,62
2012-08-24,63
2012-08-25,64
2012-08-26,64
2012-09-02,68
2012-09-03,69
2012-09-04,69
2012-09-05,70
2012-09-06,70
2012-09-07,71
2012-09-08,72
2012-09-09,72
2012-09-10,91
2012-09-11,73
2012-09-12,74
2012-09-13,74
2012-09-14,75
2012-09-15,76
2012-09-16,76
2012-09-17,77
2012-09-18,78
2012-09-19,78
2012-09-20,79
2012-09-21,80
2012-09-22,81
2012-09-23,80
2012-09-24,80
2012-09-25,80
2012-09-26,79
2012-09-27,79
2012-09-28,79
2012-09-29,79
2012-09-30,79
2012-10-01,79
2012-10-02,79
2012-10-03,79
2012-10-04,79
2012-10-05,79
2012-10-06,79
2012-10-07,76
2012-10-08,71
2012-10-09,68
2012-10-10,64
2012-10-11,61
2012-10-12,57
2012-10-13,54
2012-10-14,59
2012-10-15,64
2012-10-16,70
2012-10-17,75
2012-10-18,80
2012-10-19,86
2012-10-20,91
2012-10-21,88
2012-10-22,84
2012-10-23,81
2012-10-24,77
2012-10-25,74
2012-10-26,71
2012-10-27,68
2012-10-28,71
2012-10-29,75
2012-10-30,78
2012-10-31,81
2012-11-01,85
2012-11-02,88
2012-11-03,91
2012-11-04,87
2012-11-05,82
2012-11-06,78
2012-11-07,74
2012-11-08,70
2012-11-09,66
2012-11-10,62
2012-11-11,63
2012-11-12,64
2012-11-13,66
2012-11-14,67
2012-11-15,69
2012-11-16,70
2012-11-17,72
2012-11-18,73
2012-11-19,75
2012-11-20,76
2012-11-21,77
2012-11-22,79
2012-11-23,80
2012-11-24,81
2012-11-25,77
2012-12-02,51
2012-12-03,51
2012-12-04,51
2012-12-05,51
2012-12-06,51
2012-12-07,51
2012-12-08,51
2012-12-09,51
2012-12-10,63
2012-12-11,51
2012-12-12,51
2012-12-13,51
2012-12-14,51
2012-12-15,51
2012-12-16,51
2012-12-17,52
2012-12-18,53
2012-12-19,54
2012-12-20,55
2012-12-21,56
2012-12-22,57
2012-12-23,55
2012-12-24,53
2012-12-25,51
2012-12-26,50
2012-12-27,48
2012-12-28,46
2012-12-29,45
2012-12-30,45
2012-12-31,45
2013-01-01,45
2013-01-02,45
2013-01-03,45
2013-01-04,45
2013-01-05,45
2013-01-06,45
2013-01-07,45
2013-01-08,45
2013-01-09,45
2013-01-10,45
2013-01-11,45
2013-01-12,45
2013-01-13,48
2013-01-14,52
2013-01-15,55
2013-01-16,59
2013-01-17,62
2013-01-18,66
2013-01-19,70
2013-01-20,66
2013-01-21,62
2013-01-22,58
2013-01-23,55
2013-01-24,51
2013-01-25,47
2013-01-26,44
2013-01-27,47
2013-01-28,50
2013-01-29,53
2013-01-30,56
2013-01-31,59
2013-02-01,62
2013-02-02,66
2013-02-03,64
2013-02-04,62
2013-02-05,61
2013-02-06,60
2013-02-07,59
2013-02-08,58
2013-02-09,57
2013-02-10,57
2013-02-11,57
2013-02-12,57
2013-02-13,57
2013-02-14,57
2013-02-15,57
2013-02-16,57
2013-02-17,58
2013-02-18,61
2013-02-19,63
2013-02-20,65
2013-02-21,68
2013-02-22,70
2013-02-23,75
2013-02-24,66
2013-03-03,59
2013-03-04,74
2013-03-05,58
2013-03-06,57
2013-03-07,57
2013-03-08,56
2013-03-09,56
2013-03-10,55
2013-03-11,55
2013-03-12,55
2013-03-13,54
2013-03-14,54
2013-03-15,54
2013-03-16,54
2013-03-17,54
2013-03-18,54
2013-03-19,54
2013-03-20,54
2013-03-21,54
2013-03-22,54
2013-03-23,54
2013-03-24,54
2013-03-25,55
2013-03-26,56
2013-03-27,56
2013-03-28,57
2013-03-29,58
2013-03-30,59
2013-03-31,59
2013-04-01,61
2013-04-02,61
2013-04-03,62
2013-04-04,63
2013-04-05,64
2013-04-06,65
2013-04-07,63
2013-04-08,60
2013-04-09,58
2013-04-10,56
2013-04-11,54
2013-04-12,52
2013-04-13,51
2013-04-14,52
2013-04-15,53
2013-04-16,54
2013-04-17,56
2013-04-18,57
2013-04-19,58
2013-04-20,60
2013-04-21,61
2013-04-22,64
2013-04-23,66
2013-04-24,67
2013-04-25,69
2013-04-26,71
2013-04-27,73
2013-04-28,71
2013-04-29,68
2013-04-30,66
2013-05-01,65
2013-05-02,63
2013-05-03,61
2013-05-04,60
2013-05-05,60
2013-05-06,60
2013-05-07,60
2013-05-08,60
2013-05-09,60
2013-05-10,60
2013-05-11,60
2013-05-12,58
2013-05-13,59
2013-05-14,57
2013-05-15,57
2013-05-16,56
2013-05-17,55
2013-05-18,56
2013-05-19,51
2013-05-20,51
2013-05-21,51
2013-05-22,51
2013-05-23,51
2013-05-24,51
2013-05-25,51
2013-05-26,51
2013-06-02,55
2013-06-03,56
2013-06-04,57
2013-06-05,57
2013-06-06,58
2013-06-07,59
2013-06-08,60
2013-06-09,57
2013-06-10,54
2013-06-11,52
2013-06-12,49
2013-06-13,47
2013-06-14,44
2013-06-15,42
2013-06-16,43
2013-06-17,44
2013-06-18,46
2013-06-19,47
2013-06-20,48
2013-06-21,50
2013-06-22,51
2013-06-23,50
2013-06-24,49
2013-06-25,48
2013-06-26,47
2013-06-27,46
2013-06-28,45
2013-06-29,44
2013-06-30,44
2013-07-01,44
2013-07-02,44
2013-07-03,44
2013-07-04,44
2013-07-05,44
2013-07-06,44
2013-07-07,45
2013-07-08,47
2013-07-09,49
2013-07-10,50
2013-07-11,52
2013-07-12,54
2013-07-13,56
2013-07-14,54
2013-07-15,53
2013-07-16,52
2013-07-17,51
2013-07-18,50
2013-07-19,49
2013-07-20,48
2013-07-21,48
2013-07-22,48
2013-07-23,48
2013-07-24,48
2013-07-25,48
2013-07-26,48
2013-07-27,48
2013-07-28,50
2013-07-29,52
2013-07-30,55
2013-07-31,57
2013-08-01,60
2013-08-02,62
2013-08-03,65
2013-08-04,62
2013-08-05,60
2013-08-06,57
2013-08-07,55
2013-08-08,52
2013-08-09,50
2013-08-10,48
2013-08-11,48
2013-08-12,48
2013-08-13,48
2013-08-14,48
2013-08-15,48
2013-08-16,48
2013-08-17,48
2013-08-18,48
2013-08-19,50
2013-08-20,50
2013-08-21,51
2013-08-22,52
2013-08-23,54
2013-08-24,56
2013-08-25,51
2013-09-01,54
2013-09-02,55
2013-09-03,55
2013-09-04,56
2013-09-05,56
2013-09-06,57
2013-09-07,57
2013-09-08,58
2013-09-09,58
2013-09-10,58
2013-09-11,59
2013-09-12,59
2013-09-13,60
2013-09-14,61
2013-09-15,58
2013-09-16,56
2013-09-17,53
2013-09-18,51
2013-09-19,48
2013-09-20,46
2013-09-21,44
2013-09-22,48
2013-09-23,53
2013-09-24,58
2013-09-25,63
2013-09-26,68
2013-09-27,73
2013-09-28,78
2013-09-29,72
2013-09-30,67
2013-10-01,61
2013-10-02,56
2013-10-03,50
2013-10-04,45
2013-10-05,40
2013-10-06,43
2013-10-07,47
2013-10-08,51
2013-10-09,54
2013-10-10,58
2013-10-11,61
2013-10-12,65
2013-10-13,62
2013-10-14,59
2013-10-15,56
2013-10-16,53
2013-10-17,50
2013-10-18,47
2013-10-19,45
2013-10-20,47
2013-10-21,50
2013-10-22,52
2013-10-23,55
2013-10-24,57
2013-10-25,60
2013-10-26,63
2013-10-27,63
2013-10-28,64
2013-10-29,65
2013-10-30,65
2013-10-31,66
2013-11-01,67
2013-11-02,68
2013-11-03,67
2013-11-04,67
2013-11-05,67
2013-11-06,67
2013-11-07,67
2013-11-08,67
2013-11-09,67
2013-11-10,67
2013-11-11,67
2013-11-12,67
2013-11-13,67
2013-11-14,67
2013-11-15,67
2013-11-16,67
2013-11-17,64
2013-11-18,60
2013-11-19,56
2013-11-20,53
2013-11-21,49
2013-11-22,46
2013-11-23,43
2013-11-24,36
