Date,Frac Tech Services
2010-11-13,40
2010-11-14,43
2010-11-15,46
2010-11-16,50
2010-11-17,53
2010-11-18,56
2010-11-19,60
2010-11-20,63
2010-11-21,66
2010-11-22,70
2010-11-23,73
2010-11-24,76
2010-11-25,80
2010-11-26,83
2010-11-27,86
2010-11-28,90
2010-11-29,93
2010-11-30,96
2010-12-01,100
2010-12-02,99
2010-12-03,98
2010-12-04,97
2010-12-05,96
2010-12-06,95
2010-12-07,95
2010-12-08,94
2010-12-09,93
2010-12-10,92
2010-12-11,91
2010-12-12,91
2010-12-13,90
2010-12-14,89
2010-12-15,88
2010-12-16,87
2010-12-17,87
2010-12-18,86
2010-12-19,85
2010-12-20,84
2010-12-21,83
2010-12-22,83
2010-12-23,82
2010-12-24,81
2010-12-25,80
2010-12-26,79
2010-12-27,79
2010-12-28,78
2010-12-29,77
2010-12-30,76
2010-12-31,75
2011-01-01,75
2011-01-02,75
2011-01-03,75
2011-01-04,75
2011-01-05,75
2011-01-06,75
2011-01-07,75
2011-01-08,75
2011-01-09,75
2011-01-10,75
2011-01-11,75
2011-01-12,76
2011-01-13,76
2011-01-14,76
2011-01-15,76
2011-01-16,76
2011-01-17,76
2011-01-18,76
2011-01-19,76
2011-01-20,76
2011-01-21,76
2011-01-22,77
2011-01-23,77
2011-01-24,77
2011-01-25,77
2011-01-26,77
2011-01-27,77
2011-01-28,77
2011-01-29,77
2011-01-30,77
2011-01-31,77
2011-02-01,78
2011-02-02,77
2011-02-03,77
2011-02-04,77
2011-02-05,76
2011-02-06,76
2011-02-07,76
2011-02-08,76
2011-02-09,75
2011-02-10,75
2011-02-11,75
2011-02-12,74
2011-02-13,74
2011-02-14,74
2011-02-15,74
2011-02-16,73
2011-02-17,73
2011-02-18,73
2011-02-19,72
2011-02-20,72
2011-02-21,72
2011-02-22,72
2011-02-23,71
2011-02-24,71
2011-02-25,71
2011-02-26,70
2011-02-27,70
2011-02-28,70
2011-03-01,70
2011-03-02,70
2011-03-03,70
2011-03-04,70
2011-03-05,70
2011-03-06,70
2011-03-07,70
2011-03-08,70
2011-03-09,70
2011-03-10,70
2011-03-11,70
2011-03-12,70
2011-03-13,70
2011-03-14,70
2011-03-15,70
2011-03-16,70
2011-03-17,70
2011-03-18,70
2011-03-19,70
2011-03-20,70
2011-03-21,70
2011-03-22,70
2011-03-23,70
2011-03-24,70
2011-03-25,70
2011-03-26,70
2011-03-27,70
2011-03-28,70
2011-03-29,70
2011-03-30,70
2011-03-31,70
2011-04-01,70
2011-04-02,69
2011-04-03,69
2011-04-04,69
2011-04-05,69
2011-04-06,69
2011-04-07,69
2011-04-08,68
2011-04-09,68
2011-04-10,68
2011-04-11,68
2011-04-12,68
2011-04-13,68
2011-04-14,67
2011-04-15,67
2011-04-16,67
2011-04-17,67
2011-04-18,67
2011-04-19,67
2011-04-20,66
2011-04-21,66
2011-04-22,66
2011-04-23,66
2011-04-24,66
2011-04-25,66
2011-04-26,65
2011-04-27,65
2011-04-28,65
2011-04-29,65
2011-04-30,65
2011-05-01,65
2011-05-02,65
2011-05-03,65
2011-05-04,66
2011-05-05,66
2011-05-06,67
2011-05-07,67
2011-05-08,67
2011-05-09,68
2011-05-10,68
2011-05-11,69
2011-05-12,69
2011-05-13,70
2011-05-14,70
2011-05-15,70
2011-05-16,71
2011-05-17,71
2011-05-18,72
2011-05-19,72
2011-05-20,72
2011-05-21,73
2011-05-22,73
2011-05-23,74
2011-05-24,74
2011-05-25,75
2011-05-26,75
2011-05-27,75
2011-05-28,76
2011-05-29,76
2011-05-30,77
2011-05-31,77
2011-06-01,78
2011-06-02,77
2011-06-03,77
2011-06-04,77
2011-06-05,77
2011-06-06,77
2011-06-07,77
2011-06-08,77
2011-06-09,77
2011-06-10,77
2011-06-11,77
2011-06-12,77
2011-06-13,77
2011-06-14,77
2011-06-15,77
2011-06-16,77
2011-06-17,77
2011-06-18,77
2011-06-19,77
2011-06-20,77
2011-06-21,77
2011-06-22,77
2011-06-23,77
2011-06-24,77
2011-06-25,77
2011-06-26,77
2011-06-27,77
2011-06-28,77
2011-06-29,77
2011-06-30,77
2011-07-01,77
2011-07-02,77
2011-07-03,77
2011-07-04,77
2011-07-05,77
2011-07-06,77
2011-07-07,77
2011-07-08,77
2011-07-09,77
2011-07-10,77
2011-07-11,77
2011-07-12,77
2011-07-13,77
2011-07-14,77
2011-07-15,77
2011-07-16,77
2011-07-17,77
2011-07-18,77
2011-07-19,77
2011-07-20,77
2011-07-21,77
2011-07-22,77
2011-07-23,77
2011-07-24,77
2011-07-25,77
2011-07-26,77
2011-07-27,77
2011-07-28,77
2011-07-29,77
2011-07-30,77
2011-07-31,77
2011-08-01,78
2011-08-02,78
2011-08-03,78
2011-08-04,78
2011-08-05,78
2011-08-06,78
2011-08-07,78
2011-08-08,78
2011-08-09,78
2011-08-10,78
2011-08-11,78
2011-08-12,79
2011-08-13,79
2011-08-14,79
2011-08-15,79
2011-08-16,79
2011-08-17,79
2011-08-18,79
2011-08-19,79
2011-08-20,79
2011-08-21,79
2011-08-22,80
2011-08-23,80
2011-08-24,80
2011-08-25,80
2011-08-26,80
2011-08-27,80
2011-08-28,80
2011-08-29,80
2011-08-30,80
2011-08-31,80
2011-09-01,81
2011-09-02,81
2011-09-03,81
2011-09-04,82
2011-09-05,82
2011-09-06,82
2011-09-07,83
2011-09-08,83
2011-09-09,83
2011-09-10,84
2011-09-11,84
2011-09-12,84
2011-09-13,85
2011-09-14,85
2011-09-15,85
2011-09-16,86
2011-09-17,86
2011-09-18,86
2011-09-19,87
2011-09-20,87
2011-09-21,87
2011-09-22,88
2011-09-23,88
2011-09-24,88
2011-09-25,89
2011-09-26,89
2011-09-27,89
2011-09-28,90
2011-09-29,90
2011-09-30,90
2011-10-01,91
2011-10-02,90
2011-10-03,90
2011-10-04,90
2011-10-05,90
2011-10-06,90
2011-10-07,90
2011-10-08,90
2011-10-09,89
2011-10-10,89
2011-10-11,89
2011-10-12,89
2011-10-13,89
2011-10-14,89
2011-10-15,89
2011-10-16,89
2011-10-17,88
2011-10-18,88
2011-10-19,88
2011-10-20,88
2011-10-21,88
2011-10-22,88
2011-10-23,88
2011-10-24,88
2011-10-25,87
2011-10-26,87
2011-10-27,87
2011-10-28,87
2011-10-29,87
2011-10-30,87
2011-10-31,87
2011-11-01,87
2011-11-02,85
2011-11-03,84
2011-11-04,83
2011-11-05,82
2011-11-06,81
2011-11-07,80
2011-11-08,78
2011-11-09,77
2011-11-10,76
2011-11-11,75
2011-11-12,74
2011-11-13,73
2011-11-14,71
2011-11-15,70
2011-11-16,69
2011-11-17,68
2011-11-18,67
2011-11-19,66
2011-11-20,64
2011-11-21,63
2011-11-22,62
2011-11-23,61
2011-11-24,60
2011-11-25,59
2011-11-26,57
2011-11-27,56
2011-11-28,55
2011-11-29,54
2011-11-30,53
2011-12-01,52
2011-12-02,51
2011-12-03,51
2011-12-04,51
2011-12-05,51
2011-12-06,51
2011-12-07,51
2011-12-08,51
2011-12-09,50
2011-12-10,50
2011-12-11,50
2011-12-12,50
2011-12-13,50
2011-12-14,50
2011-12-15,50
2011-12-16,50
2011-12-17,49
2011-12-18,49
2011-12-19,49
2011-12-20,49
2011-12-21,49
2011-12-22,49
2011-12-23,49
2011-12-24,49
2011-12-25,48
2011-12-26,48
2011-12-27,48
2011-12-28,48
2011-12-29,48
2011-12-30,48
2011-12-31,48
2012-01-01,48
2012-01-02,48
2012-01-03,48
2012-01-04,48
2012-01-05,48
2012-01-06,49
2012-01-07,49
2012-01-08,49
2012-01-09,49
2012-01-10,50
2012-01-11,50
2012-01-12,50
2012-01-13,50
2012-01-14,50
2012-01-15,51
2012-01-16,51
2012-01-17,51
2012-01-18,51
2012-01-19,52
2012-01-20,52
2012-01-21,52
2012-01-22,52
2012-01-23,52
2012-01-24,53
2012-01-25,53
2012-01-26,53
2012-01-27,53
2012-01-28,54
2012-01-29,54
2012-01-30,54
2012-01-31,54
2012-02-01,55
2012-02-02,55
2012-02-03,56
2012-02-04,57
2012-02-05,58
2012-02-06,58
2012-02-07,59
2012-02-08,60
2012-02-09,61
2012-02-10,62
2012-02-11,62
2012-02-12,63
2012-02-13,64
2012-02-14,65
2012-02-15,66
2012-02-16,66
2012-02-17,67
2012-02-18,68
2012-02-19,69
2012-02-20,70
2012-02-21,70
2012-02-22,71
2012-02-23,72
2012-02-24,73
2012-02-25,74
2012-02-26,74
2012-02-27,75
2012-02-28,76
2012-02-29,77
2012-03-01,78
2012-03-02,78
2012-03-03,78
2012-03-04,78
2012-03-05,78
2012-03-06,78
2012-03-07,78
2012-03-08,78
2012-03-09,78
2012-03-10,78
2012-03-11,78
2012-03-12,79
2012-03-13,79
2012-03-14,79
2012-03-15,79
2012-03-16,79
2012-03-17,79
2012-03-18,79
2012-03-19,79
2012-03-20,79
2012-03-21,79
2012-03-22,80
2012-03-23,80
2012-03-24,80
2012-03-25,80
2012-03-26,80
2012-03-27,80
2012-03-28,80
2012-03-29,80
2012-03-30,80
2012-03-31,80
2012-04-01,81
2012-04-02,81
2012-04-03,81
2012-04-04,81
2012-04-05,82
2012-04-06,82
2012-04-07,82
2012-04-08,82
2012-04-09,83
2012-04-10,83
2012-04-11,83
2012-04-12,83
2012-04-13,84
2012-04-14,84
2012-04-15,84
2012-04-16,85
2012-04-17,85
2012-04-18,85
2012-04-19,85
2012-04-20,86
2012-04-21,86
2012-04-22,86
2012-04-23,86
2012-04-24,87
2012-04-25,87
2012-04-26,87
2012-04-27,87
2012-04-28,88
2012-04-29,88
2012-04-30,88
2012-05-01,89
2012-05-02,87
2012-05-03,86
2012-05-04,85
2012-05-05,83
2012-05-06,82
2012-05-07,81
2012-05-08,79
2012-05-09,78
2012-05-10,77
2012-05-11,75
2012-05-12,74
2012-05-13,73
2012-05-14,71
2012-05-15,70
2012-05-16,69
2012-05-17,67
2012-05-18,66
2012-05-19,65
2012-05-20,63
2012-05-21,62
2012-05-22,61
2012-05-23,59
2012-05-24,58
2012-05-25,57
2012-05-26,55
2012-05-27,54
2012-05-28,53
2012-05-29,51
2012-05-30,50
2012-05-31,49
