Date,SolarCity
2012-04-01,22
2012-04-02,22
2012-04-03,20
2012-04-04,19
2012-04-05,19
2012-04-06,17
2012-04-07,17
2012-04-08,17
2012-04-09,18
2012-04-10,19
2012-04-11,20
2012-04-12,21
2012-04-13,23
2012-04-14,23
2012-04-15,22
2012-04-16,21
2012-04-17,20
2012-04-18,21
2012-04-19,19
2012-04-20,18
2012-04-21,19
2012-04-22,18
2012-04-23,18
2012-04-24,18
2012-04-25,18
2012-04-26,18
2012-04-27,19
2012-04-28,19
2012-04-29,19
2012-04-30,20
2012-05-01,21
2012-05-02,23
2012-05-03,24
2012-05-04,24
2012-05-05,25
2012-05-06,25
2012-05-07,23
2012-05-08,22
2012-05-09,21
2012-05-10,20
2012-05-11,21
2012-05-12,18
2012-05-13,18
2012-05-14,19
2012-05-15,19
2012-05-16,21
2012-05-17,20
2012-05-18,24
2012-05-19,22
2012-05-20,22
2012-05-21,22
2012-05-22,22
2012-05-23,22
2012-05-24,24
2012-05-25,22
2012-05-26,24
2012-05-27,21
2012-05-28,20
2012-05-29,20
2012-05-30,19
2012-05-31,19
2012-06-01,18
2012-06-02,18
2012-06-03,17
2012-06-04,16
2012-06-05,17
2012-06-06,15
2012-06-07,15
2012-06-08,14
2012-06-09,14
2012-06-10,14
2012-06-11,15
2012-06-12,16
2012-06-13,17
2012-06-14,18
2012-06-15,20
2012-06-16,20
2012-06-17,19
2012-06-18,19
2012-06-19,19
2012-06-20,18
2012-06-21,18
2012-06-22,17
2012-06-23,17
2012-06-24,17
2012-06-25,17
2012-06-26,17
2012-06-27,18
2012-06-28,19
2012-06-29,19
2012-06-30,19
2012-07-01,18
2012-07-02,18
2012-07-03,16
2012-07-04,16
2012-07-05,15
2012-07-06,14
2012-07-07,14
2012-07-08,14
2012-07-09,14
2012-07-10,15
2012-07-11,15
2012-07-12,16
2012-07-13,16
2012-07-14,17
2012-07-15,17
2012-07-16,17
2012-07-17,17
2012-07-18,17
2012-07-19,17
2012-07-20,17
2012-07-21,17
2012-07-22,17
2012-07-23,17
2012-07-24,18
2012-07-25,20
2012-07-26,19
2012-07-27,19
2012-07-28,20
2012-07-29,20
2012-07-30,20
2012-07-31,20
2012-08-01,20
2012-08-02,20
2012-08-03,20
2012-08-04,20
2012-08-05,19
2012-08-06,19
2012-08-07,19
2012-08-08,19
2012-08-09,18
2012-08-10,19
2012-08-11,18
2012-08-12,18
2012-08-13,18
2012-08-14,18
2012-08-15,20
2012-08-16,19
2012-08-17,20
2012-08-18,20
2012-08-19,19
2012-08-20,18
2012-08-21,18
2012-08-22,18
2012-08-23,17
2012-08-24,16
2012-08-25,16
2012-08-26,16
2012-08-27,16
2012-08-28,17
2012-08-29,18
2012-08-30,18
2012-08-31,18
2012-09-01,19
2012-09-02,18
2012-09-03,19
2012-09-04,18
2012-09-05,18
2012-09-06,18
2012-09-07,19
2012-09-08,18
2012-09-09,18
2012-09-10,19
2012-09-11,19
2012-09-12,22
2012-09-13,20
2012-09-14,21
2012-09-15,22
2012-09-16,23
2012-09-17,22
2012-09-18,22
2012-09-19,22
2012-09-20,22
2012-09-21,22
2012-09-22,24
2012-09-23,21
2012-09-24,21
2012-09-25,21
2012-09-26,22
2012-09-27,23
2012-09-28,21
2012-09-29,21
2012-09-30,21
2012-10-01,21
2012-10-02,21
2012-10-03,22
2012-10-04,23
2012-10-05,22
2012-10-06,23
2012-10-07,24
2012-10-08,24
2012-10-09,28
2012-10-10,25
2012-10-11,26
2012-10-12,28
2012-10-13,27
2012-10-14,26
2012-10-15,26
2012-10-16,26
2012-10-17,25
2012-10-18,25
2012-10-19,24
2012-10-20,26
2012-10-21,24
2012-10-22,24
2012-10-23,25
2012-10-24,25
2012-10-25,25
2012-10-26,26
2012-10-27,26
2012-10-28,24
2012-10-29,23
2012-10-30,23
2012-10-31,20
2012-11-01,19
2012-11-02,18
2012-11-03,18
2012-11-04,17
2012-11-05,17
2012-11-06,18
2012-11-07,19
2012-11-08,19
2012-11-09,19
2012-11-10,20
2012-11-11,20
2012-11-12,20
2012-11-13,20
2012-11-14,20
2012-11-15,20
2012-11-16,21
2012-11-17,20
2012-11-18,18
2012-11-19,17
2012-11-20,16
2012-11-21,15
2012-11-22,14
2012-11-23,13
2012-11-24,12
2012-11-25,13
2012-11-26,15
2012-11-27,17
2012-11-28,19
2012-11-29,22
2012-11-30,22
2012-12-01,26
2012-12-02,24
2012-12-03,25
2012-12-04,25
2012-12-05,26
2012-12-06,27
2012-12-07,27
2012-12-08,28
2012-12-09,39
2012-12-10,48
2012-12-11,58
2012-12-12,69
2012-12-13,79
2012-12-14,99
2012-12-15,116
2012-12-16,99
2012-12-17,79
2012-12-18,68
2012-12-19,61
2012-12-20,47
2012-12-21,40
2012-12-22,27
2012-12-23,25
2012-12-24,24
2012-12-25,23
2012-12-26,21
2012-12-27,20
2012-12-28,19
2012-12-29,18
2012-12-30,19
2012-12-31,20
2013-01-01,21
2013-01-02,23
2013-01-03,24
2013-01-04,25
2013-01-05,28
2013-01-06,26
2013-01-07,26
2013-01-08,27
2013-01-09,26
2013-01-10,27
2013-01-11,25
2013-01-12,26
2013-01-13,25
2013-01-14,25
2013-01-15,25
2013-01-16,25
2013-01-17,25
2013-01-18,26
2013-01-19,28
2013-01-20,26
2013-01-21,26
2013-01-22,26
2013-01-23,26
2013-01-24,26
2013-01-25,26
2013-01-26,29
2013-01-27,26
2013-01-28,25
2013-01-29,24
2013-01-30,24
2013-01-31,24
2013-02-01,22
2013-02-02,22
2013-02-03,21
2013-02-04,21
2013-02-05,21
2013-02-06,20
2013-02-07,20
2013-02-08,22
2013-02-09,20
2013-02-10,21
2013-02-11,22
2013-02-12,23
2013-02-13,25
2013-02-14,26
2013-02-15,26
2013-02-16,29
2013-02-17,30
2013-02-18,28
2013-02-19,28
2013-02-20,28
2013-02-21,29
2013-02-22,31
2013-02-23,30
2013-02-24,30
2013-02-25,28
2013-02-26,29
2013-02-27,28
2013-02-28,28
2013-03-01,28
2013-03-02,28
2013-03-03,30
2013-03-04,32
2013-03-05,38
2013-03-06,37
2013-03-07,39
2013-03-08,41
2013-03-09,48
2013-03-10,41
2013-03-11,39
2013-03-12,37
2013-03-13,35
2013-03-14,31
2013-03-15,31
2013-03-16,27
2013-03-17,28
2013-03-18,28
2013-03-19,29
2013-03-20,31
2013-03-21,30
2013-03-22,33
2013-03-23,32
2013-03-24,33
2013-03-25,33
2013-03-26,33
2013-03-27,35
2013-03-28,35
2013-03-29,35
2013-03-30,38
2013-03-31,34
2013-04-01,33
2013-04-02,32
2013-04-03,32
2013-04-04,29
2013-04-05,27
2013-04-06,28
2013-04-07,27
2013-04-08,28
2013-04-09,29
2013-04-10,31
2013-04-11,31
2013-04-12,33
2013-04-13,33
2013-04-14,32
2013-04-15,31
2013-04-16,30
2013-04-17,29
2013-04-18,28
2013-04-19,27
2013-04-20,27
2013-04-21,26
2013-04-22,27
2013-04-23,28
2013-04-24,29
2013-04-25,29
2013-04-26,31
2013-04-27,34
2013-04-28,31
2013-04-29,32
2013-04-30,35
2013-05-01,33
2013-05-02,33
2013-05-03,35
2013-05-04,35
2013-05-05,38
2013-05-06,35
2013-05-07,36
2013-05-08,38
2013-05-09,37
2013-05-10,40
2013-05-11,39
2013-05-12,45
2013-05-13,48
2013-05-14,54
2013-05-15,62
2013-05-16,63
2013-05-17,72
2013-05-18,80
2013-05-19,70
2013-05-20,67
2013-05-21,64
2013-05-22,65
2013-05-23,58
2013-05-24,59
2013-05-25,52
2013-05-26,55
2013-05-27,50
2013-05-28,50
2013-05-29,53
2013-05-30,49
2013-05-31,50
2013-06-01,54
2013-06-02,47
2013-06-03,46
2013-06-04,46
2013-06-05,45
2013-06-06,47
2013-06-07,44
2013-06-08,45
2013-06-09,46
2013-06-10,43
2013-06-11,43
2013-06-12,45
2013-06-13,43
2013-06-14,42
2013-06-15,49
2013-06-16,41
2013-06-17,40
2013-06-18,40
2013-06-19,39
2013-06-20,38
2013-06-21,38
2013-06-22,39
2013-06-23,38
2013-06-24,37
2013-06-25,37
2013-06-26,37
2013-06-27,38
2013-06-28,37
2013-06-29,40
2013-06-30,37
2013-07-01,35
2013-07-02,34
2013-07-03,34
2013-07-04,37
2013-07-05,31
2013-07-06,31
2013-07-07,34
2013-07-08,32
2013-07-09,33
2013-07-10,36
2013-07-11,35
2013-07-12,36
2013-07-13,41
2013-07-14,39
2013-07-15,37
2013-07-16,38
2013-07-17,38
2013-07-18,41
2013-07-19,38
2013-07-20,42
2013-07-21,38
2013-07-22,37
2013-07-23,37
2013-07-24,37
2013-07-25,36
2013-07-26,37
2013-07-27,37
2013-07-28,35
2013-07-29,34
2013-07-30,34
2013-07-31,33
2013-08-01,35
2013-08-02,36
2013-08-03,33
2013-08-04,35
2013-08-05,37
2013-08-06,41
2013-08-07,41
2013-08-08,43
2013-08-09,49
2013-08-10,52
2013-08-11,49
2013-08-12,51
2013-08-13,53
2013-08-14,60
2013-08-15,58
2013-08-16,61
2013-08-17,68
2013-08-18,60
2013-08-19,57
2013-08-20,54
2013-08-21,52
2013-08-22,51
2013-08-23,47
2013-08-24,48
2013-08-25,44
2013-08-26,43
2013-08-27,42
2013-08-28,43
2013-08-29,40
2013-08-30,39
2013-08-31,38
2013-09-01,38
2013-09-02,42
2013-09-03,38
2013-09-04,38
2013-09-05,38
2013-09-06,40
2013-09-07,39
2013-09-08,44
2013-09-09,41
2013-09-10,42
2013-09-11,44
2013-09-12,44
2013-09-13,48
2013-09-14,49
2013-09-15,46
2013-09-16,45
2013-09-17,45
2013-09-18,47
2013-09-19,44
2013-09-20,45
2013-09-21,45
2013-09-22,45
2013-09-23,40
2013-09-24,39
2013-09-25,38
2013-09-26,38
2013-09-27,37
2013-09-28,38
2013-09-29,35
2013-09-30,35
2013-10-01,35
2013-10-02,37
2013-10-03,35
2013-10-04,37
2013-10-05,38
2013-10-06,37
2013-10-07,38
2013-10-08,39
2013-10-09,40
2013-10-10,42
2013-10-11,42
2013-10-12,47
2013-10-13,44
2013-10-14,45
2013-10-15,47
