Date,CyDex
2007-09-01,0
2007-09-02,0
2007-09-03,0
2007-09-04,0
2007-09-05,0
2007-09-06,0
2007-09-07,0
2007-09-08,0
2007-09-09,0
2007-09-10,0
2007-09-11,0
2007-09-12,0
2007-09-13,0
2007-09-14,0
2007-09-15,0
2007-09-16,0
2007-09-17,0
2007-09-18,0
2007-09-19,0
2007-09-20,0
2007-09-21,0
2007-09-22,0
2007-09-23,0
2007-09-24,0
2007-09-25,0
2007-09-26,0
2007-09-27,0
2007-09-28,0
2007-09-29,0
2007-09-30,0
2007-10-01,0
2007-10-02,0
2007-10-03,0
2007-10-04,0
2007-10-05,0
2007-10-06,0
2007-10-07,0
2007-10-08,0
2007-10-09,0
2007-10-10,0
2007-10-11,0
2007-10-12,0
2007-10-13,0
2007-10-14,0
2007-10-15,0
2007-10-16,0
2007-10-17,0
2007-10-18,0
2007-10-19,0
2007-10-20,0
2007-10-21,0
2007-10-22,0
2007-10-23,0
2007-10-24,0
2007-10-25,0
2007-10-26,0
2007-10-27,0
2007-10-28,0
2007-10-29,0
2007-10-30,0
2007-10-31,0
2007-11-01,0
2007-11-02,0
2007-11-03,0
2007-11-04,0
2007-11-05,0
2007-11-06,0
2007-11-07,0
2007-11-08,0
2007-11-09,0
2007-11-10,0
2007-11-11,0
2007-11-12,0
2007-11-13,0
2007-11-14,0
2007-11-15,0
2007-11-16,0
2007-11-17,0
2007-11-18,0
2007-11-19,0
2007-11-20,0
2007-11-21,0
2007-11-22,0
2007-11-23,0
2007-11-24,0
2007-11-25,0
2007-11-26,0
2007-11-27,0
2007-11-28,0
2007-11-29,0
2007-11-30,0
2007-12-01,0
2007-12-02,0
2007-12-03,0
2007-12-04,0
2007-12-05,0
2007-12-06,0
2007-12-07,0
2007-12-08,0
2007-12-09,0
2007-12-10,0
2007-12-11,0
2007-12-12,0
2007-12-13,0
2007-12-14,0
2007-12-15,0
2007-12-16,0
2007-12-17,0
2007-12-18,0
2007-12-19,0
2007-12-20,0
2007-12-21,0
2007-12-22,0
2007-12-23,0
2007-12-24,0
2007-12-25,0
2007-12-26,0
2007-12-27,0
2007-12-28,0
2007-12-29,0
2007-12-30,0
2007-12-31,0
2008-01-01,0
2008-01-02,0
2008-01-03,0
2008-01-04,0
2008-01-05,0
2008-01-06,0
2008-01-07,0
2008-01-08,0
2008-01-09,0
2008-01-10,0
2008-01-11,0
2008-01-12,0
2008-01-13,0
2008-01-14,0
2008-01-15,0
2008-01-16,0
2008-01-17,0
2008-01-18,0
2008-01-19,0
2008-01-20,0
2008-01-21,0
2008-01-22,0
2008-01-23,0
2008-01-24,0
2008-01-25,0
2008-01-26,0
2008-01-27,0
2008-01-28,0
2008-01-29,0
2008-01-30,0
2008-01-31,0
2008-02-01,0
2008-02-02,3
2008-02-03,6
2008-02-04,10
2008-02-05,13
2008-02-06,17
2008-02-07,20
2008-02-08,24
2008-02-09,27
2008-02-10,31
2008-02-11,34
2008-02-12,37
