Date,Springleaf
2013-02-09,43
2013-02-10,47
2013-02-11,51
2013-02-12,55
2013-02-13,59
2013-02-14,63
2013-02-15,67
2013-02-16,71
2013-02-17,66
2013-02-18,61
2013-02-19,56
2013-02-20,51
2013-02-21,46
2013-02-22,41
2013-02-23,37
2013-02-24,36
2013-02-25,36
2013-02-26,35
2013-02-27,35
2013-02-28,34
2013-03-01,34
2013-03-02,34
2013-03-03,37
2013-03-04,40
2013-03-05,43
2013-03-06,46
2013-03-07,49
2013-03-08,53
2013-03-09,56
2013-03-10,54
2013-03-11,53
2013-03-12,51
2013-03-13,49
2013-03-14,48
2013-03-15,46
2013-03-16,45
2013-03-17,45
2013-03-18,44
2013-03-19,44
2013-03-20,44
2013-03-21,44
2013-03-22,44
2013-03-23,44
2013-03-24,43
2013-03-25,42
2013-03-26,41
2013-03-27,40
2013-03-28,39
2013-03-29,38
2013-03-30,38
2013-03-31,39
2013-05-05,75
2013-05-06,70
2013-05-07,66
2013-05-08,61
2013-05-09,57
2013-05-10,52
2013-05-11,48
2013-05-12,49
2013-05-13,50
2013-05-14,51
2013-05-15,53
2013-05-16,54
2013-05-17,55
2013-05-18,57
2013-05-19,59
2013-05-20,62
2013-05-21,64
2013-05-22,66
2013-05-23,68
2013-05-24,71
2013-05-25,73
2013-05-26,68
2013-05-27,61
2013-05-28,55
2013-05-29,50
2013-05-30,44
2013-05-31,39
2013-06-01,34
2013-06-02,36
2013-06-03,39
2013-06-04,41
2013-06-05,44
2013-06-06,46
2013-06-07,49
2013-06-08,52
2013-06-09,58
2013-06-10,66
2013-06-11,73
2013-06-12,80
2013-06-13,87
2013-06-14,94
2013-06-15,101
2013-06-16,93
2013-06-17,84
2013-06-18,77
2013-06-19,69
2013-06-20,62
2013-06-21,54
2013-06-22,47
2013-06-23,46
2013-06-24,45
2013-06-25,44
2013-06-26,43
2013-06-27,42
2013-06-28,41
2013-06-29,40
2013-06-30,44
2013-07-01,49
2013-07-02,54
2013-07-03,59
2013-07-04,63
2013-07-05,68
2013-07-06,73
2013-07-07,72
2013-07-08,70
2013-07-09,69
2013-07-10,68
2013-07-11,67
2013-07-12,66
2013-07-13,65
2013-07-14,66
2013-07-15,67
2013-07-16,69
2013-07-17,70
2013-07-18,71
2013-07-19,73
2013-07-20,74
2013-07-21,71
2013-07-22,68
2013-07-23,65
2013-07-24,62
2013-07-25,59
2013-07-26,56
2013-07-27,54
2013-07-28,56
2013-08-04,66
2013-08-05,63
2013-08-06,60
2013-08-07,57
2013-08-08,54
2013-08-09,51
2013-08-10,48
2013-08-11,50
2013-08-12,52
2013-08-13,54
2013-08-14,56
2013-08-15,58
2013-08-16,60
2013-08-17,62
2013-08-18,61
2013-08-19,60
2013-08-20,59
2013-08-21,58
2013-08-22,57
2013-08-23,57
2013-08-24,56
2013-08-25,56
2013-08-26,57
2013-08-27,57
2013-08-28,58
2013-08-29,58
2013-08-30,59
2013-08-31,60
2013-09-01,60
2013-09-02,61
2013-09-03,62
2013-09-04,63
2013-09-05,64
2013-09-06,65
2013-09-07,66
2013-09-08,66
2013-09-09,67
2013-09-10,67
2013-09-11,68
2013-09-12,68
2013-09-13,69
2013-09-14,70
2013-09-15,67
2013-09-16,66
2013-09-17,64
2013-09-18,61
2013-09-19,59
2013-09-20,57
2013-09-21,55
2013-09-22,53
2013-09-23,50
2013-09-24,47
2013-09-25,45
2013-09-26,42
2013-09-27,40
2013-09-28,38
2013-09-29,41
2013-09-30,44
2013-10-01,48
2013-10-02,51
2013-10-03,55
2013-10-04,58
2013-10-05,62
2013-10-06,64
2013-10-07,67
2013-10-08,69
2013-10-09,72
2013-10-10,74
2013-10-11,77
2013-10-12,80
2013-10-13,80
2013-10-14,80
2013-10-15,80
2013-10-16,80
2013-10-17,80
2013-10-18,80
2013-10-19,80
2013-10-20,75
2013-10-21,69
2013-10-22,63
2013-10-23,58
2013-10-24,52
2013-10-25,47
2013-10-26,42
2013-10-27,44
2013-11-03,61
2013-11-04,62
2013-11-05,63
2013-11-06,64
2013-11-07,66
2013-11-08,67
2013-11-09,68
2013-11-10,63
2013-11-11,59
2013-11-12,54
2013-11-13,50
2013-11-14,45
2013-11-15,41
2013-11-16,37
2013-11-17,41
2013-11-18,45
2013-11-19,49
2013-11-20,53
2013-11-21,57
2013-11-22,61
2013-11-23,65
2013-11-24,63
2013-11-25,61
2013-11-26,59
2013-11-27,57
2013-11-28,55
2013-11-29,53
2013-11-30,51
2013-12-01,51
2013-12-02,51
2013-12-03,51
2013-12-04,51
2013-12-05,51
2013-12-06,51
2013-12-07,52
2013-12-08,55
2013-12-09,58
2013-12-10,61
2013-12-11,64
2013-12-12,67
2013-12-13,70
2013-12-14,73
2013-12-15,72
2013-12-16,70
2013-12-17,69
2013-12-18,68
2013-12-19,67
2013-12-20,66
2013-12-21,65
2013-12-22,63
2013-12-23,61
2013-12-24,59
2013-12-25,57
2013-12-26,55
2013-12-27,53
2013-12-28,51
2013-12-29,52
2013-12-30,54
2013-12-31,56
2014-01-01,57
2014-01-02,59
2014-01-03,61
2014-01-04,63
2014-01-05,66
2014-01-06,69
2014-01-07,73
2014-01-08,76
2014-01-09,79
2014-01-10,82
2014-01-11,85
2014-01-12,81
2014-01-13,77
2014-01-14,73
2014-01-15,69
2014-01-16,66
2014-01-17,62
2014-01-18,58
2014-01-19,57
2014-01-20,57
2014-01-21,57
2014-01-22,56
2014-01-23,56
2014-01-24,55
2014-01-25,55
2014-01-26,53
2014-02-02,45
2014-02-03,51
2014-02-04,57
2014-02-05,63
2014-02-06,69
2014-02-07,76
2014-02-08,82
2014-02-09,80
2014-02-10,79
2014-02-11,78
2014-02-12,76
2014-02-13,75
2014-02-14,74
2014-02-15,73
2014-02-16,69
2014-02-17,66
2014-02-18,63
2014-02-19,59
2014-02-20,56
2014-02-21,53
2014-02-22,50
2014-02-23,51
2014-02-24,53
2014-02-25,55
2014-02-26,56
2014-02-27,58
2014-02-28,60
2014-03-01,62
2014-03-02,63
2014-03-03,64
2014-03-04,65
2014-03-05,66
2014-03-06,67
2014-03-07,68
2014-03-08,69
2014-03-09,72
2014-03-10,77
2014-03-11,81
2014-03-12,85
2014-03-13,89
2014-03-14,93
2014-03-15,97
2014-03-16,91
2014-03-17,83
2014-03-18,77
