Date,Ameresco
2009-09-12,0
2009-09-13,4
2009-09-14,8
2009-09-15,12
2009-09-16,16
2009-09-17,20
2009-09-18,24
2009-09-19,28
2009-09-20,28
2009-09-21,29
2009-09-22,30
2009-09-23,31
2009-09-24,32
2009-09-25,32
2009-09-26,33
2009-09-27,33
2009-09-28,32
2009-09-29,31
2009-09-30,31
2009-10-01,30
2009-10-02,30
2009-10-03,30
2009-10-04,28
2009-10-05,27
2009-10-06,26
2009-10-07,24
2009-10-08,23
2009-10-09,22
2009-10-10,21
2009-10-11,21
2009-10-12,21
2009-10-13,21
2009-10-14,21
2009-10-15,21
2009-10-16,21
2009-10-17,22
2009-10-18,22
2009-10-19,22
2009-10-20,22
2009-10-21,22
2009-10-22,22
2009-10-23,22
2009-10-24,22
2009-10-25,22
2009-10-26,22
2009-10-27,22
2009-10-28,22
2009-10-29,22
2009-10-30,22
2009-10-31,22
2009-11-01,22
2009-11-02,22
2009-11-03,22
2009-11-04,22
2009-11-05,22
2009-11-06,22
2009-11-07,23
2009-11-08,24
2009-11-09,26
2009-11-10,28
2009-11-11,30
2009-11-12,32
2009-11-13,34
2009-11-14,37
2009-11-15,32
2009-11-16,30
2009-11-17,28
2009-11-18,26
2009-11-19,24
2009-11-20,22
2009-11-21,20
2009-11-22,17
2009-11-23,14
2009-11-24,11
2009-11-25,8
2009-11-26,5
2009-11-27,2
2009-11-28,0
2009-11-29,0
2009-12-06,0
2009-12-07,0
2009-12-08,0
2009-12-09,0
2009-12-10,0
2009-12-11,0
2009-12-12,0
2009-12-13,0
2009-12-14,0
2009-12-15,0
2009-12-16,0
2009-12-17,0
2009-12-18,0
2009-12-19,0
2009-12-20,0
2009-12-21,0
2009-12-22,0
2009-12-23,0
2009-12-24,0
2009-12-25,0
2009-12-26,0
2009-12-27,0
2009-12-28,0
2009-12-29,0
2009-12-30,0
2009-12-31,0
2010-01-01,0
2010-01-02,0
2010-01-03,4
2010-01-04,8
2010-01-05,12
2010-01-06,17
2010-01-07,21
2010-01-08,25
2010-01-09,30
2010-01-10,28
2010-01-11,27
2010-01-12,26
2010-01-13,24
2010-01-14,23
2010-01-15,22
2010-01-16,21
2010-01-17,21
2010-01-18,21
2010-01-19,21
2010-01-20,21
2010-01-21,21
2010-01-22,21
2010-01-23,21
2010-01-24,24
2010-01-25,27
2010-01-26,30
2010-01-27,33
2010-01-28,37
2010-01-29,40
2010-01-30,43
2010-01-31,41
2010-02-01,38
2010-02-02,36
2010-02-03,34
2010-02-04,32
2010-02-05,30
2010-02-06,28
2010-02-07,27
2010-02-08,26
2010-02-09,25
2010-02-10,25
2010-02-11,24
2010-02-12,23
2010-02-13,23
2010-02-14,23
2010-02-15,23
2010-02-16,23
2010-02-17,23
2010-02-18,24
2010-02-19,24
2010-02-20,25
2010-02-21,23
2010-02-22,23
2010-02-23,23
2010-02-24,23
2010-02-25,23
2010-02-26,23
2010-02-27,24
2010-02-28,24
2010-03-07,25
2010-03-08,25
2010-03-09,25
2010-03-10,25
2010-03-11,25
2010-03-12,25
2010-03-13,26
2010-03-14,26
2010-03-15,26
2010-03-16,26
2010-03-17,27
2010-03-18,27
2010-03-19,27
2010-03-20,28
2010-03-21,27
2010-03-22,26
2010-03-23,26
2010-03-24,25
2010-03-25,25
2010-03-26,24
2010-03-27,24
2010-03-28,25
2010-03-29,27
2010-03-30,28
2010-03-31,30
2010-04-01,32
2010-04-02,33
2010-04-03,35
2010-04-04,34
2010-04-05,33
2010-04-06,32
2010-04-07,31
2010-04-08,30
2010-04-09,29
2010-04-10,29
2010-04-11,29
2010-04-12,29
2010-04-13,30
2010-04-14,30
2010-04-15,30
2010-04-16,31
2010-04-17,31
2010-04-18,30
2010-04-19,29
2010-04-20,28
2010-04-21,27
2010-04-22,26
2010-04-23,25
2010-04-24,25
2010-04-25,25
2010-04-26,25
2010-04-27,25
2010-04-28,25
2010-04-29,25
2010-04-30,25
2010-05-01,26
2010-05-02,25
2010-05-03,24
2010-05-04,23
2010-05-05,23
2010-05-06,22
2010-05-07,21
2010-05-08,21
2010-05-09,21
2010-05-10,21
2010-05-11,21
2010-05-12,21
2010-05-13,21
2010-05-14,21
2010-05-15,21
2010-05-16,20
2010-05-17,20
2010-05-18,20
2010-05-19,19
2010-05-20,19
2010-05-21,19
2010-05-22,19
2010-05-23,19
2010-05-24,19
2010-05-25,19
2010-05-26,19
2010-05-27,19
2010-05-28,19
2010-05-29,20
2010-05-30,20
2010-06-06,21
2010-06-07,21
2010-06-08,21
2010-06-09,21
2010-06-10,21
2010-06-11,21
2010-06-12,21
2010-06-13,21
2010-06-14,27
2010-06-15,21
2010-06-16,21
2010-06-17,21
2010-06-18,21
2010-06-19,21
2010-06-20,21
2010-06-21,21
2010-06-22,21
2010-06-23,21
2010-06-24,21
2010-06-25,21
2010-06-26,21
2010-06-27,21
2010-06-28,21
2010-06-29,21
2010-06-30,21
2010-07-01,21
2010-07-02,21
2010-07-03,21
2010-07-04,21
2010-07-05,22
2010-07-06,23
2010-07-07,24
2010-07-08,25
2010-07-09,26
2010-07-10,27
2010-07-11,27
2010-07-12,27
2010-07-13,27
2010-07-14,28
2010-07-15,28
2010-07-16,28
2010-07-17,29
2010-07-18,39
2010-07-19,49
2010-07-20,60
2010-07-21,70
2010-07-22,81
2010-07-23,91
