Date,Limelight Networks
2007-07-13,24
2007-07-14,24
2007-07-15,24
2007-07-16,24
2007-07-17,24
2007-07-18,24
2007-07-19,24
2007-07-20,24
2007-07-21,24
2007-07-22,24
2007-07-23,24
2007-07-24,24
2007-07-25,24
2007-07-26,24
2007-07-27,24
2007-07-28,24
2007-07-29,24
2007-07-30,24
2007-07-31,24
2007-08-01,24
2007-08-02,24
2007-08-03,24
2007-08-04,24
2007-08-05,24
2007-08-06,24
2007-08-07,24
2007-08-08,24
2007-08-09,24
2007-08-10,24
2007-08-11,24
2007-08-12,24
2007-08-13,24
2007-08-14,24
2007-08-15,24
2007-08-16,24
2007-08-17,24
2007-08-18,24
2007-08-19,24
2007-08-20,24
2007-08-21,24
2007-08-22,24
2007-08-23,24
2007-08-24,24
2007-08-25,24
2007-08-26,24
2007-08-27,24
2007-08-28,24
2007-08-29,24
2007-08-30,24
2007-08-31,24
2007-09-01,25
2007-09-02,24
2007-09-03,24
2007-09-04,24
2007-09-05,24
2007-09-06,24
2007-09-07,24
2007-09-08,24
2007-09-09,24
2007-09-10,24
2007-09-11,24
2007-09-12,23
2007-09-13,23
2007-09-14,23
2007-09-15,23
2007-09-16,23
2007-09-17,23
2007-09-18,23
2007-09-19,23
2007-09-20,23
2007-09-21,23
2007-09-22,22
2007-09-23,22
2007-09-24,22
2007-09-25,22
2007-09-26,22
2007-09-27,22
2007-09-28,22
2007-09-29,22
2007-09-30,22
2007-10-01,22
2007-10-02,22
2007-10-03,22
2007-10-04,22
2007-10-05,22
2007-10-06,22
2007-10-07,22
2007-10-08,22
2007-10-09,22
2007-10-10,22
2007-10-11,22
2007-10-12,22
2007-10-13,22
2007-10-14,22
2007-10-15,22
2007-10-16,22
2007-10-17,22
2007-10-18,22
2007-10-19,22
2007-10-20,22
2007-10-21,22
2007-10-22,22
2007-10-23,22
2007-10-24,22
2007-10-25,22
2007-10-26,22
2007-10-27,22
2007-10-28,22
2007-10-29,22
2007-10-30,22
2007-10-31,22
2007-11-01,23
2007-11-02,22
2007-11-03,22
2007-11-04,22
2007-11-05,21
2007-11-06,21
2007-11-07,21
2007-11-08,20
2007-11-09,20
2007-11-10,20
2007-11-11,19
2007-11-12,19
2007-11-13,19
2007-11-14,18
2007-11-15,18
2007-11-16,18
2007-11-17,17
2007-11-18,17
2007-11-19,17
2007-11-20,16
2007-11-21,16
2007-11-22,16
2007-11-23,15
2007-11-24,15
2007-11-25,15
2007-11-26,14
2007-11-27,14
2007-11-28,14
2007-11-29,13
2007-11-30,13
2007-12-01,13
2007-12-02,13
2007-12-03,13
2007-12-04,13
2007-12-05,13
2007-12-06,13
2007-12-07,13
2007-12-08,13
2007-12-09,13
2007-12-10,13
2007-12-11,13
2007-12-12,13
2007-12-13,13
2007-12-14,13
2007-12-15,13
2007-12-16,13
2007-12-17,13
2007-12-18,13
2007-12-19,13
2007-12-20,13
2007-12-21,13
2007-12-22,13
2007-12-23,13
2007-12-24,13
2007-12-25,13
2007-12-26,13
2007-12-27,13
2007-12-28,13
2007-12-29,13
2007-12-30,13
2007-12-31,13
2008-01-01,13
2008-01-02,13
2008-01-03,13
2008-01-04,13
2008-01-05,13
2008-01-06,13
2008-01-07,13
2008-01-08,13
2008-01-09,13
2008-01-10,13
2008-01-11,13
2008-01-12,13
2008-01-13,13
2008-01-14,13
2008-01-15,13
2008-01-16,13
2008-01-17,13
2008-01-18,13
2008-01-19,13
2008-01-20,13
2008-01-21,13
2008-01-22,13
2008-01-23,13
2008-01-24,13
2008-01-25,13
2008-01-26,13
2008-01-27,13
2008-01-28,13
2008-01-29,13
2008-01-30,13
2008-01-31,13
2008-02-01,13
2008-02-02,13
2008-02-03,13
2008-02-04,13
2008-02-05,13
2008-02-06,13
2008-02-07,13
2008-02-08,13
2008-02-09,13
2008-02-10,13
2008-02-11,13
2008-02-12,13
2008-02-13,13
2008-02-14,13
2008-02-15,13
2008-02-16,13
2008-02-17,13
2008-02-18,13
2008-02-19,13
2008-02-20,13
2008-02-21,13
2008-02-22,13
2008-02-23,13
2008-02-24,13
2008-02-25,13
2008-02-26,13
2008-02-27,13
2008-02-28,13
2008-02-29,13
2008-03-01,13
2008-03-02,13
2008-03-03,13
2008-03-04,13
2008-03-05,13
2008-03-06,13
2008-03-07,13
2008-03-08,13
2008-03-09,13
2008-03-10,13
2008-03-11,13
2008-03-12,13
2008-03-13,13
2008-03-14,13
2008-03-15,13
2008-03-16,13
2008-03-17,13
2008-03-18,13
2008-03-19,13
2008-03-20,13
2008-03-21,13
2008-03-22,13
2008-03-23,13
2008-03-24,13
2008-03-25,13
2008-03-26,13
2008-03-27,13
2008-03-28,13
2008-03-29,13
2008-03-30,13
2008-03-31,13
2008-04-01,13
2008-04-02,12
2008-04-03,12
2008-04-04,12
2008-04-05,12
2008-04-06,12
2008-04-07,12
2008-04-08,12
2008-04-09,12
2008-04-10,12
2008-04-11,12
2008-04-12,12
2008-04-13,12
2008-04-14,12
2008-04-15,12
2008-04-16,12
2008-04-17,12
2008-04-18,12
2008-04-19,12
2008-04-20,12
2008-04-21,12
2008-04-22,12
2008-04-23,12
2008-04-24,12
2008-04-25,12
2008-04-26,12
2008-04-27,12
2008-04-28,12
2008-04-29,12
2008-04-30,12
2008-05-01,12
2008-05-02,12
2008-05-03,12
2008-05-04,12
2008-05-05,12
2008-05-06,12
2008-05-07,12
2008-05-08,12
2008-05-09,12
2008-05-10,12
2008-05-11,12
2008-05-12,12
2008-05-13,12
2008-05-14,12
2008-05-15,12
2008-05-16,12
2008-05-17,12
2008-05-18,12
2008-05-19,12
2008-05-20,12
2008-05-21,12
2008-05-22,12
2008-05-23,12
2008-05-24,12
2008-05-25,12
2008-05-26,12
2008-05-27,12
2008-05-28,12
2008-05-29,12
2008-05-30,12
2008-05-31,12
2008-06-01,12
2008-06-02,12
2008-06-03,12
2008-06-04,12
2008-06-05,12
2008-06-06,12
2008-06-07,12
2008-06-08,12
2008-06-09,12
2008-06-10,12
2008-06-11,12
2008-06-12,12
2008-06-13,12
2008-06-14,12
2008-06-15,12
2008-06-16,12
2008-06-17,12
2008-06-18,12
2008-06-19,12
2008-06-20,12
2008-06-21,12
2008-06-22,12
2008-06-23,12
2008-06-24,12
2008-06-25,12
2008-06-26,12
2008-06-27,12
2008-06-28,12
2008-06-29,12
2008-06-30,12
2008-07-01,12
2008-07-02,12
2008-07-03,12
2008-07-04,12
2008-07-05,12
2008-07-06,12
2008-07-07,12
2008-07-08,12
2008-07-09,12
2008-07-10,12
2008-07-11,12
2008-07-12,12
2008-07-13,12
2008-07-14,12
2008-07-15,12
2008-07-16,12
2008-07-17,12
2008-07-18,12
2008-07-19,12
2008-07-20,12
2008-07-21,12
2008-07-22,12
2008-07-23,12
2008-07-24,12
2008-07-25,12
2008-07-26,12
2008-07-27,12
2008-07-28,12
2008-07-29,12
2008-07-30,12
2008-07-31,12
2008-08-01,12
2008-08-02,12
2008-08-03,12
2008-08-04,12
2008-08-05,12
2008-08-06,12
2008-08-07,12
2008-08-08,12
2008-08-09,12
2008-08-10,12
2008-08-11,12
2008-08-12,12
2008-08-13,12
2008-08-14,12
2008-08-15,12
2008-08-16,12
2008-08-17,12
2008-08-18,12
2008-08-19,12
2008-08-20,12
2008-08-21,12
2008-08-22,12
2008-08-23,12
2008-08-24,12
2008-08-25,12
2008-08-26,12
2008-08-27,12
2008-08-28,12
2008-08-29,12
2008-08-30,12
2008-08-31,12
