Date,AVEO Pharmaceuticals
2010-05-30,0
2010-05-31,0
2010-06-01,0
2010-06-02,0
2010-06-03,0
2010-06-04,0
2010-06-05,0
2010-06-06,0
2010-06-07,0
2010-06-08,0
2010-06-09,0
2010-06-10,0
2010-06-11,0
2010-06-12,0
2010-06-13,0
2010-06-14,0
2010-06-15,0
2010-06-16,0
2010-06-17,0
2010-06-18,0
2010-06-19,0
2010-06-20,0
2010-06-21,0
2010-06-22,0
2010-06-23,0
2010-06-24,0
2010-06-25,0
2010-06-26,0
2010-06-27,0
2010-06-28,0
2010-06-29,0
2010-06-30,0
2010-07-01,0
2010-07-02,0
2010-07-03,0
2010-07-04,0
2010-07-05,0
2010-07-06,0
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,0
2010-07-11,0
2010-07-12,0
2010-07-13,0
2010-07-14,0
2010-07-15,0
2010-07-16,0
2010-07-17,0
2010-07-18,0
2010-07-19,0
2010-07-20,0
2010-07-21,0
2010-07-22,0
2010-07-23,0
2010-07-24,0
2010-07-25,0
2010-07-26,0
2010-07-27,0
2010-07-28,0
2010-07-29,0
2010-07-30,0
2010-07-31,0
2010-08-01,0
2010-08-02,0
2010-08-03,0
2010-08-04,0
2010-08-05,0
2010-08-06,0
2010-08-07,0
2010-08-08,0
2010-08-09,0
2010-08-10,0
2010-08-11,0
2010-08-12,0
2010-08-13,0
2010-08-14,0
2010-08-15,0
2010-08-16,0
2010-08-17,0
2010-08-18,0
2010-08-19,0
2010-08-20,0
2010-08-21,0
2010-08-22,0
2010-08-23,0
2010-08-24,0
2010-08-25,0
2010-08-26,0
2010-08-27,0
2010-08-28,0
2010-08-29,0
2010-08-30,0
2010-08-31,0
2010-09-01,0
2010-09-02,1
2010-09-03,3
2010-09-04,5
2010-09-05,7
2010-09-06,9
2010-09-07,11
2010-09-08,13
2010-09-09,15
2010-09-10,17
2010-09-11,19
2010-09-12,21
2010-09-13,23
2010-09-14,25
2010-09-15,27
2010-09-16,29
2010-09-17,30
2010-09-18,32
2010-09-19,34
2010-09-20,36
2010-09-21,38
2010-09-22,40
2010-09-23,42
2010-09-24,44
2010-09-25,46
2010-09-26,48
2010-09-27,50
2010-09-28,52
2010-09-29,54
2010-09-30,56
2010-10-01,58
2010-10-02,57
2010-10-03,57
2010-10-04,56
2010-10-05,56
2010-10-06,55
2010-10-07,55
2010-10-08,55
2010-10-09,54
2010-10-10,54
2010-10-11,53
2010-10-12,53
2010-10-13,52
2010-10-14,52
2010-10-15,52
2010-10-16,51
2010-10-17,51
2010-10-18,50
2010-10-19,50
2010-10-20,50
2010-10-21,49
2010-10-22,49
2010-10-23,48
2010-10-24,48
2010-10-25,47
2010-10-26,47
2010-10-27,47
2010-10-28,46
2010-10-29,46
2010-10-30,45
2010-10-31,45
2010-11-01,45
2010-11-02,44
2010-11-03,44
2010-11-04,44
2010-11-05,44
2010-11-06,44
2010-11-07,44
2010-11-08,44
2010-11-09,43
2010-11-10,43
2010-11-11,43
2010-11-12,43
2010-11-13,43
2010-11-14,43
2010-11-15,43
2010-11-16,43
2010-11-17,42
2010-11-18,42
2010-11-19,42
2010-11-20,42
2010-11-21,42
2010-11-22,42
2010-11-23,42
2010-11-24,41
2010-11-25,41
2010-11-26,41
2010-11-27,41
2010-11-28,41
2010-11-29,41
2010-11-30,41
2010-12-01,41
2010-12-02,41
2010-12-03,41
2010-12-04,41
2010-12-05,41
2010-12-06,41
2010-12-07,41
2010-12-08,41
2010-12-09,41
2010-12-10,41
2010-12-11,41
2010-12-12,41
2010-12-13,41
2010-12-14,41
2010-12-15,41
2010-12-16,41
2010-12-17,42
2010-12-18,42
2010-12-19,42
2010-12-20,42
2010-12-21,42
2010-12-22,42
2010-12-23,42
2010-12-24,42
2010-12-25,42
2010-12-26,42
2010-12-27,42
2010-12-28,42
2010-12-29,42
2010-12-30,42
2010-12-31,42
2011-01-01,43
2011-01-02,43
2011-01-03,43
2011-01-04,43
2011-01-05,43
2011-01-06,43
2011-01-07,43
2011-01-08,43
2011-01-09,43
2011-01-10,43
2011-01-11,43
2011-01-12,43
2011-01-13,43
2011-01-14,43
2011-01-15,43
2011-01-16,43
2011-01-17,44
2011-01-18,44
2011-01-19,44
2011-01-20,44
2011-01-21,44
2011-01-22,44
2011-01-23,44
2011-01-24,44
2011-01-25,44
2011-01-26,44
2011-01-27,44
2011-01-28,44
2011-01-29,44
2011-01-30,44
2011-01-31,44
2011-02-01,45
2011-02-02,45
2011-02-03,45
2011-02-04,45
2011-02-05,45
2011-02-06,45
2011-02-07,45
2011-02-08,45
2011-02-09,45
2011-02-10,45
2011-02-11,45
2011-02-12,45
2011-02-13,45
2011-02-14,45
2011-02-15,45
2011-02-16,45
2011-02-17,45
2011-02-18,45
2011-02-19,45
2011-02-20,45
2011-02-21,45
2011-02-22,45
2011-02-23,45
2011-02-24,45
2011-02-25,45
2011-02-26,45
2011-02-27,45
2011-02-28,45
2011-03-01,46
2011-03-02,46
2011-03-03,46
2011-03-04,46
2011-03-05,46
2011-03-06,46
2011-03-07,46
2011-03-08,46
2011-03-09,47
2011-03-10,47
2011-03-11,47
2011-03-12,47
2011-03-13,47
2011-03-14,47
2011-03-15,47
2011-03-16,47
2011-03-17,48
2011-03-18,48
2011-03-19,48
2011-03-20,48
2011-03-21,48
2011-03-22,48
2011-03-23,48
2011-03-24,48
2011-03-25,49
2011-03-26,49
2011-03-27,49
2011-03-28,49
2011-03-29,49
2011-03-30,49
2011-03-31,49
2011-04-01,50
2011-04-02,50
2011-04-03,50
2011-04-04,50
2011-04-05,50
2011-04-06,51
2011-04-07,51
2011-04-08,51
2011-04-09,51
2011-04-10,51
2011-04-11,52
2011-04-12,52
2011-04-13,52
2011-04-14,52
2011-04-15,52
2011-04-16,53
2011-04-17,53
2011-04-18,53
2011-04-19,53
2011-04-20,53
2011-04-21,54
2011-04-22,54
2011-04-23,54
2011-04-24,54
2011-04-25,54
2011-04-26,55
2011-04-27,55
2011-04-28,55
2011-04-29,55
2011-04-30,55
2011-05-01,56
2011-05-02,56
2011-05-03,56
2011-05-04,56
2011-05-05,56
2011-05-06,57
2011-05-07,57
2011-05-08,57
2011-05-09,57
2011-05-10,58
2011-05-11,58
2011-05-12,58
2011-05-13,58
2011-05-14,58
2011-05-15,59
2011-05-16,59
2011-05-17,59
2011-05-18,59
2011-05-19,60
2011-05-20,60
2011-05-21,60
2011-05-22,60
2011-05-23,60
2011-05-24,61
2011-05-25,61
2011-05-26,61
2011-05-27,61
2011-05-28,62
2011-05-29,62
2011-05-30,62
2011-05-31,62
