Date,WhiteWave Foods
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,0
2012-08-01,0
2012-08-02,0
2012-08-03,0
2012-08-04,0
2012-08-05,0
2012-08-06,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-11,0
2012-08-12,0
2012-08-13,0
2012-08-14,0
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,0
2012-08-30,0
2012-08-31,0
2012-09-01,0
2012-09-02,2
2012-09-03,5
2012-09-04,7
2012-09-05,10
2012-09-06,13
2012-09-07,15
2012-09-08,18
2012-09-09,20
2012-09-10,23
2012-09-11,26
2012-09-12,28
2012-09-13,31
2012-09-14,33
2012-09-15,36
2012-09-16,39
2012-09-17,41
2012-09-18,44
2012-09-19,46
2012-09-20,49
2012-09-21,52
2012-09-22,54
2012-09-23,57
2012-09-24,59
2012-09-25,62
2012-09-26,65
2012-09-27,67
2012-09-28,70
2012-09-29,72
2012-09-30,75
2012-10-01,78
2012-10-02,78
2012-10-03,79
2012-10-04,80
2012-10-05,80
2012-10-06,81
2012-10-07,82
2012-10-08,82
2012-10-09,83
2012-10-10,84
2012-10-11,85
2012-10-12,85
2012-10-13,86
2012-10-14,87
2012-10-15,87
2012-10-16,88
2012-10-17,89
2012-10-18,90
2012-10-19,90
2012-10-20,91
2012-10-21,92
2012-10-22,92
2012-10-23,93
2012-10-24,94
2012-10-25,95
2012-10-26,95
2012-10-27,96
2012-10-28,97
2012-10-29,97
2012-10-30,98
2012-10-31,99
2012-11-01,100
2012-11-02,99
2012-11-03,98
2012-11-04,97
2012-11-05,97
2012-11-06,96
2012-11-07,95
2012-11-08,95
2012-11-09,94
2012-11-10,93
2012-11-11,93
2012-11-12,92
2012-11-13,91
2012-11-14,90
2012-11-15,90
2012-11-16,89
2012-11-17,88
2012-11-18,88
2012-11-19,87
2012-11-20,86
2012-11-21,86
2012-11-22,85
2012-11-23,84
2012-11-24,83
2012-11-25,83
2012-11-26,82
2012-11-27,81
2012-11-28,81
2012-11-29,80
2012-11-30,79
2012-12-01,79
2012-12-02,79
2012-12-03,79
2012-12-04,79
2012-12-05,79
2012-12-06,79
2012-12-07,79
2012-12-08,79
2012-12-09,79
2012-12-10,79
2012-12-11,79
2012-12-12,79
2012-12-13,79
2012-12-14,79
2012-12-15,79
2012-12-16,79
2012-12-17,79
2012-12-18,79
2012-12-19,79
2012-12-20,79
2012-12-21,79
2012-12-22,79
2012-12-23,79
2012-12-24,79
2012-12-25,79
2012-12-26,79
2012-12-27,79
2012-12-28,79
2012-12-29,79
2012-12-30,79
2012-12-31,79
2013-01-01,79
2013-01-02,79
2013-01-03,79
2013-01-04,79
2013-01-05,79
2013-01-06,79
2013-01-07,79
2013-01-08,79
2013-01-09,79
2013-01-10,79
2013-01-11,79
2013-01-12,79
2013-01-13,79
2013-01-14,79
2013-01-15,79
2013-01-16,79
2013-01-17,79
2013-01-18,79
2013-01-19,79
2013-01-20,79
2013-01-21,79
2013-01-22,79
2013-01-23,79
2013-01-24,79
2013-01-25,79
2013-01-26,79
2013-01-27,79
2013-01-28,79
2013-01-29,79
2013-01-30,79
2013-01-31,79
2013-02-01,79
2013-02-02,78
2013-02-03,77
2013-02-04,77
2013-02-05,76
2013-02-06,76
2013-02-07,75
2013-02-08,75
2013-02-09,74
2013-02-10,74
2013-02-11,73
2013-02-12,73
2013-02-13,72
2013-02-14,72
2013-02-15,71
2013-02-16,70
2013-02-17,70
2013-02-18,69
2013-02-19,69
2013-02-20,68
2013-02-21,68
2013-02-22,67
2013-02-23,67
2013-02-24,66
2013-02-25,66
2013-02-26,65
2013-02-27,65
2013-02-28,64
2013-03-01,64
2013-03-02,64
2013-03-03,64
2013-03-04,64
2013-03-05,64
2013-03-06,64
2013-03-07,64
2013-03-08,64
2013-03-09,64
2013-03-10,64
2013-03-11,64
2013-03-12,64
2013-03-13,64
2013-03-14,64
2013-03-15,64
2013-03-16,64
2013-03-17,64
2013-03-18,64
2013-03-19,64
2013-03-20,64
2013-03-21,64
2013-03-22,64
2013-03-23,64
2013-03-24,64
2013-03-25,64
2013-03-26,64
2013-03-27,64
2013-03-28,64
2013-03-29,64
2013-03-30,64
2013-03-31,64
2013-04-01,64
2013-04-02,64
2013-04-03,64
2013-04-04,64
2013-04-05,64
2013-04-06,64
2013-04-07,64
2013-04-08,64
2013-04-09,64
2013-04-10,64
2013-04-11,64
2013-04-12,64
2013-04-13,64
2013-04-14,64
2013-04-15,64
2013-04-16,64
2013-04-17,64
2013-04-18,64
2013-04-19,64
2013-04-20,64
2013-04-21,64
2013-04-22,64
2013-04-23,64
2013-04-24,64
2013-04-25,64
2013-04-26,64
2013-04-27,64
2013-04-28,64
2013-04-29,64
2013-04-30,64
2013-05-01,64
2013-05-02,63
2013-05-03,63
2013-05-04,63
2013-05-05,63
2013-05-06,63
2013-05-07,63
2013-05-08,63
2013-05-09,63
2013-05-10,63
2013-05-11,63
2013-05-12,62
2013-05-13,62
2013-05-14,62
2013-05-15,62
2013-05-16,62
2013-05-17,62
2013-05-18,62
2013-05-19,62
2013-05-20,62
2013-05-21,62
2013-05-22,61
2013-05-23,61
2013-05-24,61
2013-05-25,61
2013-05-26,61
2013-05-27,61
2013-05-28,61
2013-05-29,61
2013-05-30,61
2013-05-31,61
2013-06-01,61
2013-06-02,61
2013-06-03,61
2013-06-04,61
2013-06-05,61
2013-06-06,61
2013-06-07,61
2013-06-08,61
2013-06-09,62
2013-06-10,62
2013-06-11,62
2013-06-12,62
2013-06-13,62
2013-06-14,62
2013-06-15,62
2013-06-16,63
2013-06-17,63
2013-06-18,63
2013-06-19,63
2013-06-20,63
2013-06-21,63
2013-06-22,63
2013-06-23,63
2013-06-24,64
2013-06-25,64
2013-06-26,64
2013-06-27,64
2013-06-28,64
2013-06-29,64
2013-06-30,64
2013-07-01,65
2013-07-02,65
2013-07-03,65
2013-07-04,65
2013-07-05,65
2013-07-06,65
2013-07-07,65
2013-07-08,66
2013-07-09,66
2013-07-10,66
2013-07-11,66
2013-07-12,66
2013-07-13,66
2013-07-14,67
2013-07-15,67
2013-07-16,67
2013-07-17,67
2013-07-18,67
2013-07-19,67
2013-07-20,68
2013-07-21,68
2013-07-22,68
2013-07-23,68
2013-07-24,68
2013-07-25,68
2013-07-26,69
2013-07-27,69
2013-07-28,69
2013-07-29,69
2013-07-30,69
2013-07-31,69
2013-08-01,70
2013-08-02,70
2013-08-03,70
2013-08-04,70
2013-08-05,70
2013-08-06,70
2013-08-07,70
2013-08-08,70
2013-08-09,70
2013-08-10,70
2013-08-11,70
2013-08-12,70
2013-08-13,70
2013-08-14,70
2013-08-15,70
2013-08-16,70
2013-08-17,70
2013-08-18,70
2013-08-19,70
2013-08-20,70
2013-08-21,70
2013-08-22,70
2013-08-23,70
2013-08-24,70
2013-08-25,70
2013-08-26,70
2013-08-27,70
2013-08-28,70
2013-08-29,70
2013-08-30,70
2013-08-31,70
2013-09-01,70
2013-09-02,70
2013-09-03,70
2013-09-04,70
2013-09-05,70
2013-09-06,70
2013-09-07,70
2013-09-08,70
2013-09-09,70
2013-09-10,70
2013-09-11,70
2013-09-12,70
2013-09-13,70
2013-09-14,70
2013-09-15,70
2013-09-16,70
2013-09-17,70
2013-09-18,70
2013-09-19,70
2013-09-20,70
2013-09-21,70
2013-09-22,70
2013-09-23,70
2013-09-24,70
2013-09-25,70
2013-09-26,70
2013-09-27,70
2013-09-28,70
2013-09-29,70
2013-09-30,70
2013-10-01,71
2013-10-02,71
2013-10-03,71
2013-10-04,71
2013-10-05,71
2013-10-06,71
2013-10-07,71
2013-10-08,71
2013-10-09,71
2013-10-10,71
2013-10-11,71
2013-10-12,71
2013-10-13,71
2013-10-14,71
2013-10-15,71
2013-10-16,71
2013-10-17,71
2013-10-18,71
2013-10-19,71
2013-10-20,71
2013-10-21,71
2013-10-22,71
2013-10-23,71
2013-10-24,71
2013-10-25,71
2013-10-26,71
2013-10-27,71
2013-10-28,71
2013-10-29,71
2013-10-30,71
2013-10-31,71
2013-11-01,71
2013-11-02,71
2013-11-03,71
2013-11-04,71
2013-11-05,71
2013-11-06,71
2013-11-07,71
2013-11-08,71
2013-11-09,71
2013-11-10,71
2013-11-11,71
2013-11-12,71
2013-11-13,71
2013-11-14,71
2013-11-15,71
2013-11-16,71
2013-11-17,71
2013-11-18,71
2013-11-19,71
2013-11-20,71
2013-11-21,71
2013-11-22,71
2013-11-23,71
2013-11-24,71
2013-11-25,71
2013-11-26,71
2013-11-27,71
2013-11-28,71
2013-11-29,71
2013-11-30,71
2013-12-01,71
2013-12-02,70
2013-12-03,69
2013-12-04,69
2013-12-05,68
2013-12-06,67
2013-12-07,67
2013-12-08,66
2013-12-09,66
2013-12-10,65
2013-12-11,64
2013-12-12,64
2013-12-13,63
2013-12-14,63
2013-12-15,62
2013-12-16,61
2013-12-17,61
2013-12-18,60
2013-12-19,59
2013-12-20,59
2013-12-21,58
2013-12-22,58
2013-12-23,57
2013-12-24,56
2013-12-25,56
2013-12-26,55
2013-12-27,55
2013-12-28,54
2013-12-29,53
2013-12-30,53
2013-12-31,52
2014-01-01,52
