Date,SunCoke Energy
2010-09-01,31
2010-09-02,30
2010-09-03,30
2010-09-04,30
2010-09-05,30
2010-09-06,30
2010-09-07,29
2010-09-08,29
2010-09-09,29
2010-09-10,29
2010-09-11,29
2010-09-12,28
2010-09-13,28
2010-09-14,28
2010-09-15,28
2010-09-16,28
2010-09-17,27
2010-09-18,27
2010-09-19,27
2010-09-20,27
2010-09-21,27
2010-09-22,26
2010-09-23,26
2010-09-24,26
2010-09-25,26
2010-09-26,26
2010-09-27,25
2010-09-28,25
2010-09-29,25
2010-09-30,25
2010-10-01,25
2010-10-02,24
2010-10-03,24
2010-10-04,24
2010-10-05,24
2010-10-06,24
2010-10-07,24
2010-10-08,24
2010-10-09,24
2010-10-10,24
2010-10-11,24
2010-10-12,24
2010-10-13,24
2010-10-14,24
2010-10-15,24
2010-10-16,24
2010-10-17,24
2010-10-18,24
2010-10-19,24
2010-10-20,24
2010-10-21,24
2010-10-22,24
2010-10-23,24
2010-10-24,24
2010-10-25,24
2010-10-26,24
2010-10-27,24
2010-10-28,24
2010-10-29,24
2010-10-30,24
2010-10-31,24
2010-11-01,24
2010-11-02,24
2010-11-03,24
2010-11-04,24
2010-11-05,24
2010-11-06,24
2010-11-07,24
2010-11-08,24
2010-11-09,24
2010-11-10,24
2010-11-11,24
2010-11-12,24
2010-11-13,24
2010-11-14,24
2010-11-15,24
2010-11-16,24
2010-11-17,24
2010-11-18,24
2010-11-19,24
2010-11-20,24
2010-11-21,24
2010-11-22,24
2010-11-23,24
2010-11-24,24
2010-11-25,24
2010-11-26,24
2010-11-27,24
2010-11-28,24
2010-11-29,24
2010-11-30,24
2010-12-01,24
2010-12-02,24
2010-12-03,24
2010-12-04,25
2010-12-05,25
2010-12-06,25
2010-12-07,26
2010-12-08,26
2010-12-09,27
2010-12-10,27
2010-12-11,27
2010-12-12,28
2010-12-13,28
2010-12-14,29
2010-12-15,29
2010-12-16,29
2010-12-17,30
2010-12-18,30
2010-12-19,30
2010-12-20,31
2010-12-21,31
2010-12-22,32
2010-12-23,32
2010-12-24,32
2010-12-25,33
2010-12-26,33
2010-12-27,34
2010-12-28,34
2010-12-29,34
2010-12-30,35
2010-12-31,35
2011-01-01,36
2011-01-02,35
2011-01-03,35
2011-01-04,35
2011-01-05,34
2011-01-06,34
2011-01-07,34
2011-01-08,33
2011-01-09,33
2011-01-10,33
2011-01-11,32
2011-01-12,32
2011-01-13,32
2011-01-14,31
2011-01-15,31
2011-01-16,31
2011-01-17,30
2011-01-18,30
2011-01-19,30
2011-01-20,29
2011-01-21,29
2011-01-22,29
2011-01-23,28
2011-01-24,28
2011-01-25,28
2011-01-26,27
2011-01-27,27
2011-01-28,27
2011-01-29,26
2011-01-30,26
2011-01-31,26
2011-02-01,26
2011-02-02,26
2011-02-03,26
2011-02-04,26
2011-02-05,26
2011-02-06,26
2011-02-07,26
2011-02-08,26
2011-02-09,26
2011-02-10,26
2011-02-11,26
2011-02-12,26
2011-02-13,26
2011-02-14,26
2011-02-15,26
2011-02-16,26
2011-02-17,26
2011-02-18,26
2011-02-19,26
2011-02-20,26
2011-02-21,26
2011-02-22,26
2011-02-23,26
2011-02-24,26
2011-02-25,26
2011-02-26,26
2011-02-27,26
2011-02-28,26
2011-03-01,27
2011-03-02,27
2011-03-03,27
2011-03-04,27
2011-03-05,27
2011-03-06,27
2011-03-07,27
2011-03-08,27
2011-03-09,27
2011-03-10,27
2011-03-11,27
2011-03-12,27
2011-03-13,27
2011-03-14,27
2011-03-15,27
2011-03-16,27
2011-03-17,27
2011-03-18,27
2011-03-19,27
2011-03-20,27
2011-03-21,27
2011-03-22,27
2011-03-23,27
2011-03-24,27
2011-03-25,27
2011-03-26,27
2011-03-27,27
2011-03-28,27
2011-03-29,27
2011-03-30,27
2011-03-31,27
2011-04-01,27
2011-04-02,27
2011-04-03,28
2011-04-04,28
2011-04-05,29
2011-04-06,29
2011-04-07,30
2011-04-08,30
2011-04-09,31
2011-04-10,31
2011-04-11,32
2011-04-12,32
2011-04-13,33
2011-04-14,33
2011-04-15,34
2011-04-16,35
2011-04-17,35
2011-04-18,36
2011-04-19,36
2011-04-20,37
2011-04-21,37
2011-04-22,38
2011-04-23,38
2011-04-24,39
2011-04-25,39
2011-04-26,40
2011-04-27,40
2011-04-28,41
2011-04-29,41
2011-04-30,42
2011-05-01,43
2011-05-02,43
2011-05-03,43
2011-05-04,43
2011-05-05,44
2011-05-06,44
2011-05-07,44
2011-05-08,45
2011-05-09,45
2011-05-10,45
2011-05-11,45
2011-05-12,46
2011-05-13,46
2011-05-14,46
2011-05-15,47
2011-05-16,47
2011-05-17,47
2011-05-18,47
2011-05-19,48
2011-05-20,48
2011-05-21,48
2011-05-22,49
2011-05-23,49
2011-05-24,49
2011-05-25,49
2011-05-26,50
2011-05-27,50
2011-05-28,50
2011-05-29,51
2011-05-30,51
2011-05-31,51
2011-06-01,52
2011-06-02,53
2011-06-03,55
2011-06-04,56
2011-06-05,58
2011-06-06,60
2011-06-07,61
2011-06-08,63
2011-06-09,64
2011-06-10,66
2011-06-11,68
2011-06-12,69
2011-06-13,71
2011-06-14,72
2011-06-15,74
2011-06-16,76
2011-06-17,77
2011-06-18,79
