Date,Supernus
2010-06-01,0
2010-06-02,0
2010-06-03,0
2010-06-04,0
2010-06-05,0
2010-06-06,0
2010-06-07,0
2010-06-08,0
2010-06-09,0
2010-06-10,0
2010-06-11,0
2010-06-12,0
2010-06-13,0
2010-06-14,0
2010-06-15,0
2010-06-16,0
2010-06-17,0
2010-06-18,0
2010-06-19,0
2010-06-20,0
2010-06-21,0
2010-06-22,0
2010-06-23,0
2010-06-24,0
2010-06-25,0
2010-06-26,0
2010-06-27,0
2010-06-28,0
2010-06-29,0
2010-06-30,0
2010-07-01,0
2010-07-02,0
2010-07-03,0
2010-07-04,0
2010-07-05,0
2010-07-06,0
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,0
2010-07-11,0
2010-07-12,0
2010-07-13,0
2010-07-14,0
2010-07-15,0
2010-07-16,0
2010-07-17,0
2010-07-18,0
2010-07-19,0
2010-07-20,0
2010-07-21,0
2010-07-22,0
2010-07-23,0
2010-07-24,0
2010-07-25,0
2010-07-26,0
2010-07-27,0
2010-07-28,0
2010-07-29,0
2010-07-30,0
2010-07-31,0
2010-08-01,0
2010-08-02,0
2010-08-03,0
2010-08-04,0
2010-08-05,0
2010-08-06,0
2010-08-07,0
2010-08-08,0
2010-08-09,0
2010-08-10,0
2010-08-11,0
2010-08-12,0
2010-08-13,0
2010-08-14,0
2010-08-15,0
2010-08-16,0
2010-08-17,0
2010-08-18,0
2010-08-19,0
2010-08-20,0
2010-08-21,0
2010-08-22,0
2010-08-23,0
2010-08-24,0
2010-08-25,0
2010-08-26,0
2010-08-27,0
2010-08-28,0
2010-08-29,0
2010-08-30,0
2010-08-31,0
2010-09-01,0
2010-09-02,0
2010-09-03,1
2010-09-04,2
2010-09-05,3
2010-09-06,3
2010-09-07,4
2010-09-08,5
2010-09-09,6
2010-09-10,6
2010-09-11,7
2010-09-12,8
2010-09-13,9
2010-09-14,9
2010-09-15,10
2010-09-16,11
2010-09-17,12
2010-09-18,13
2010-09-19,13
2010-09-20,14
2010-09-21,15
2010-09-22,16
2010-09-23,16
2010-09-24,17
2010-09-25,18
2010-09-26,19
2010-09-27,19
2010-09-28,20
2010-09-29,21
2010-09-30,22
2010-10-01,23
2010-10-02,23
2010-10-03,23
2010-10-04,23
2010-10-05,23
2010-10-06,23
2010-10-07,23
2010-10-08,23
2010-10-09,23
2010-10-10,23
2010-10-11,23
2010-10-12,23
2010-10-13,23
2010-10-14,23
2010-10-15,23
2010-10-16,23
2010-10-17,24
2010-10-18,24
2010-10-19,24
2010-10-20,24
2010-10-21,24
2010-10-22,24
2010-10-23,24
2010-10-24,24
2010-10-25,24
2010-10-26,24
2010-10-27,24
2010-10-28,24
2010-10-29,24
2010-10-30,24
2010-10-31,24
2010-11-01,25
2010-11-02,25
2010-11-03,25
2010-11-04,26
2010-11-05,26
2010-11-06,27
2010-11-07,27
2010-11-08,27
2010-11-09,28
2010-11-10,28
2010-11-11,29
2010-11-12,29
2010-11-13,29
