Date,Imperial
2010-02-01,91
2010-02-02,95
2010-02-03,93
2010-02-04,94
2010-02-05,101
2010-02-06,98
2010-02-07,97
2010-02-08,95
2010-02-09,94
2010-02-10,94
2010-02-11,93
2010-02-12,98
2010-02-13,95
2010-02-14,92
2010-02-15,93
2010-02-16,93
2010-02-17,94
2010-02-18,94
2010-02-19,98
2010-02-20,102
2010-02-21,100
2010-02-22,97
2010-02-23,97
2010-02-24,102
2010-02-25,100
2010-02-26,99
2010-02-27,105
2010-02-28,102
2010-03-01,98
2010-03-02,100
2010-03-03,97
2010-03-04,96
2010-03-05,96
2010-03-06,101
2010-03-07,100
2010-03-08,95
2010-03-09,95
2010-03-10,96
2010-03-11,96
2010-03-12,99
2010-03-13,106
2010-03-14,102
2010-03-15,97
2010-03-16,99
2010-03-17,97
2010-03-18,100
2010-03-19,97
2010-03-20,102
2010-03-21,103
2010-03-22,98
2010-03-23,101
2010-03-24,98
2010-03-25,98
2010-03-26,98
2010-03-27,106
2010-03-28,97
2010-03-29,96
2010-03-30,95
2010-03-31,97
2010-05-01,88
2010-05-02,94
2010-05-03,89
2010-05-04,89
2010-05-05,91
2010-05-06,91
2010-05-07,91
2010-05-08,99
2010-05-09,92
2010-05-10,92
2010-05-11,93
2010-05-12,92
2010-05-13,92
2010-05-14,93
2010-05-15,97
2010-05-16,92
2010-05-17,93
2010-05-18,93
2010-05-19,94
2010-05-20,95
2010-05-21,95
2010-05-22,108
2010-05-23,95
2010-05-24,95
2010-05-25,95
2010-05-26,95
2010-05-27,95
2010-05-28,97
2010-05-29,99
2010-05-30,94
2010-05-31,92
2010-06-01,90
2010-06-02,91
2010-06-03,91
2010-06-04,86
2010-06-05,95
2010-06-06,85
2010-06-07,86
2010-06-08,86
2010-06-09,90
2010-06-10,87
2010-06-11,88
2010-06-12,99
2010-06-13,91
2010-06-14,90
2010-06-15,95
2010-06-16,92
2010-06-17,96
2010-06-18,95
2010-06-19,95
2010-06-20,104
2010-06-21,92
2010-06-22,91
2010-06-23,89
2010-06-24,88
2010-06-25,94
2010-06-26,88
2010-06-27,89
2010-06-28,84
2010-06-29,83
2010-06-30,83
2010-07-01,83
2010-07-02,82
2010-07-03,87
2010-07-04,82
2010-07-05,83
2010-07-06,84
2010-07-07,85
2010-07-08,89
2010-07-09,87
2010-07-10,101
2010-07-11,88
2010-07-12,88
2010-07-13,88
2010-07-14,88
2010-07-15,88
2010-07-16,89
2010-07-17,94
2010-07-18,87
2010-07-19,87
2010-07-20,87
2010-07-21,88
2010-07-22,86
2010-07-23,88
2010-07-24,88
2010-07-25,86
2010-07-26,84
2010-07-27,83
2010-07-28,87
2010-07-29,82
2010-07-30,81
2010-07-31,85
2010-08-01,82
2010-08-02,83
2010-08-03,85
2010-08-04,89
2010-08-05,88
2010-08-06,90
2010-08-07,93
2010-08-08,91
2010-08-09,91
2010-08-10,92
2010-08-11,91
2010-08-12,91
2010-08-13,94
2010-08-14,95
2010-08-15,90
2010-08-16,89
2010-08-17,89
2010-08-18,91
2010-08-19,88
2010-08-20,88
2010-08-21,94
2010-08-22,86
2010-08-23,86
2010-08-24,85
2010-08-25,89
2010-08-26,85
2010-08-27,84
2010-08-28,89
2010-08-29,83
2010-08-30,83
2010-08-31,83
2010-09-01,83
2010-09-02,87
2010-09-03,82
2010-09-04,88
2010-09-05,82
2010-09-06,82
2010-09-07,84
2010-09-08,83
2010-09-09,84
2010-09-10,86
2010-09-11,86
2010-09-12,88
2010-09-13,85
2010-09-14,88
2010-09-15,89
2010-09-16,87
2010-09-17,88
2010-09-18,96
2010-09-19,88
2010-09-20,88
2010-09-21,88
2010-09-22,91
2010-09-23,90
2010-09-24,89
2010-09-25,96
2010-09-26,89
2010-09-27,88
2010-09-28,88
2010-09-29,90
2010-09-30,87
2010-10-01,90
2010-10-02,90
2010-10-03,86
2010-10-04,87
2010-10-05,88
2010-10-06,88
2010-10-07,91
2010-10-08,94
2010-10-09,92
2010-10-10,90
2010-10-11,88
2010-10-12,88
2010-10-13,86
2010-10-14,85
2010-10-15,85
2010-10-16,86
2010-10-17,86
2010-10-18,83
2010-10-19,84
2010-10-20,84
2010-10-21,89
2010-10-22,86
2010-10-23,89
2010-10-24,88
2010-10-25,82
2010-10-26,81
2010-10-27,80
2010-10-28,78
2010-10-29,77
2010-10-30,75
2010-10-31,82
2010-11-01,79
2010-11-02,81
2010-11-03,85
2010-11-04,85
2010-11-05,89
2010-11-06,89
2010-11-07,91
2010-11-08,87
2010-11-09,87
2010-11-10,87
2010-11-11,89
2010-11-12,85
2010-11-13,92
2010-11-14,84
2010-11-15,84
2010-11-16,83
2010-11-17,84
2010-11-18,82
2010-11-19,86
2010-11-20,83
2010-11-21,83
2010-11-22,80
2010-11-23,81
2010-11-24,78
2010-11-25,77
2010-11-26,77
2010-11-27,78
2010-11-28,75
2010-11-29,76
2010-11-30,79
2010-12-01,77
2010-12-02,78
2010-12-03,81
2010-12-04,85
2010-12-05,79
2010-12-06,79
2010-12-07,80
2010-12-08,79
2010-12-09,80
2010-12-10,79
2010-12-11,81
2010-12-12,81
2010-12-13,77
2010-12-14,77
2010-12-15,78
2010-12-16,78
2010-12-17,74
2010-12-18,79
2010-12-19,73
2010-12-20,72
2010-12-21,72
2010-12-22,73
2010-12-23,73
2010-12-24,69
2010-12-25,68
2010-12-26,67
2010-12-27,66
2010-12-28,66
2010-12-29,64
2010-12-30,63
2010-12-31,64
2011-01-01,64
2011-01-02,65
2011-01-03,69
2011-01-04,72
2011-01-05,77
2011-01-06,80
2011-01-07,83
2011-01-08,92
2011-01-09,92
2011-01-10,85
2011-01-11,84
2011-01-12,86
2011-01-13,83
2011-01-14,85
2011-01-15,84
2011-01-16,86
2011-01-17,84
2011-01-18,85
2011-01-19,88
2011-01-20,87
2011-01-21,92
2011-01-22,94
2011-01-23,89
2011-01-24,88
2011-01-25,87
2011-01-26,86
2011-01-27,85
2011-01-28,84
2011-01-29,87
2011-01-30,83
2011-01-31,83
2011-02-01,84
2011-02-02,88
2011-02-03,85
2011-02-04,85
2011-02-05,91
2011-02-06,86
2011-02-07,86
2011-02-08,88
2011-02-09,87
2011-02-10,86
2011-02-11,86
2011-02-12,93
2011-02-13,86
2011-02-14,86
2011-02-15,86
2011-02-16,86
2011-02-17,87
2011-02-18,86
2011-02-19,91
2011-02-20,85
2011-02-21,85
2011-02-22,84
2011-02-23,84
2011-02-24,88
2011-02-25,83
2011-02-26,89
2011-02-27,82
2011-02-28,82
2011-03-01,83
2011-03-02,83
2011-03-03,82
2011-03-04,83
2011-03-05,86
2011-03-06,83
2011-03-07,81
2011-03-08,81
2011-03-09,80
2011-03-10,86
2011-03-11,80
2011-03-12,85
2011-03-13,82
2011-03-14,82
2011-03-15,83
2011-03-16,84
2011-03-17,85
2011-03-18,86
2011-03-19,93
2011-03-20,88
2011-03-21,86
2011-03-22,86
2011-03-23,87
2011-03-24,86
2011-03-25,88
2011-03-26,92
2011-03-27,85
2011-03-28,84
2011-03-29,85
2011-03-30,83
2011-03-31,83
2011-05-01,76
2011-05-02,76
2011-05-03,75
2011-05-04,77
2011-05-05,74
2011-05-06,75
2011-05-07,77
2011-05-08,75
2011-05-09,77
2011-05-10,80
2011-05-11,80
2011-05-12,82
2011-05-13,87
2011-05-14,93
2011-05-15,85
2011-05-16,85
2011-05-17,85
2011-05-18,84
2011-05-19,84
2011-05-20,86
2011-05-21,88
2011-05-22,85
2011-05-23,82
2011-05-24,81
2011-05-25,84
2011-05-26,80
2011-05-27,79
2011-05-28,85
2011-05-29,79
2011-05-30,79
2011-05-31,80
2011-06-01,80
2011-06-02,83
2011-06-03,81
2011-06-04,86
2011-06-05,84
2011-06-06,81
2011-06-07,81
2011-06-08,85
2011-06-09,79
2011-06-10,79
2011-06-11,86
2011-06-12,84
2011-06-13,80
2011-06-14,80
2011-06-15,84
2011-06-16,81
2011-06-17,86
2011-06-18,85
2011-06-19,85
2011-06-20,81
2011-06-21,80
2011-06-22,80
2011-06-23,79
2011-06-24,80
2011-06-25,82
2011-06-26,80
2011-06-27,79
2011-06-28,80
2011-06-29,82
2011-06-30,81
2011-07-01,85
2011-07-02,85
2011-07-03,86
2011-07-04,80
2011-07-05,79
2011-07-06,77
2011-07-07,77
2011-07-08,75
2011-07-09,75
2011-07-10,75
2011-07-11,76
2011-07-12,78
2011-07-13,80
2011-07-14,83
2011-07-15,82
2011-07-16,94
2011-07-17,83
2011-07-18,82
2011-07-19,83
2011-07-20,81
2011-07-21,81
2011-07-22,84
2011-07-23,84
2011-07-24,80
2011-07-25,80
2011-07-26,83
2011-07-27,81
2011-07-28,81
2011-07-29,82
2011-07-30,89
2011-07-31,87
2011-08-01,84
2011-08-02,85
2011-08-03,86
2011-08-04,87
2011-08-05,88
2011-08-06,97
2011-08-07,89
2011-08-08,87
2011-08-09,86
2011-08-10,85
2011-08-11,86
2011-08-12,83
2011-08-13,93
2011-08-14,81
2011-08-15,81
2011-08-16,80
2011-08-17,80
2011-08-18,79
2011-08-19,81
2011-08-20,85
2011-08-21,79
2011-08-22,79
2011-08-23,79
2011-08-24,79
2011-08-25,83
2011-08-26,79
2011-08-27,84
2011-08-28,79
2011-08-29,79
2011-08-30,79
2011-08-31,81
2011-09-01,80
2011-09-02,85
2011-09-03,83
2011-09-04,81
2011-09-05,82
2011-09-06,82
2011-09-07,83
2011-09-08,83
2011-09-09,85
2011-09-10,93
2011-09-11,86
2011-09-12,85
