Date,Synacor
2011-12-23,0
2011-12-24,0
2011-12-25,0
2011-12-26,0
2011-12-27,0
2011-12-28,0
2011-12-29,0
2011-12-30,0
2011-12-31,0
2012-01-01,0
2012-01-02,3
2012-01-03,6
2012-01-04,9
2012-01-05,12
2012-01-06,16
2012-01-07,19
2012-01-08,22
2012-01-09,25
2012-01-10,29
2012-01-11,32
2012-01-12,35
2012-01-13,38
2012-01-14,41
2012-01-15,45
2012-01-16,48
2012-01-17,51
2012-01-18,54
2012-01-19,58
2012-01-20,61
2012-01-21,64
2012-01-22,67
2012-01-23,70
2012-01-24,74
2012-01-25,77
2012-01-26,80
2012-01-27,83
2012-01-28,87
2012-01-29,90
2012-01-30,93
2012-01-31,96
2012-02-01,100
2012-02-02,99
2012-02-03,99
2012-02-04,99
2012-02-05,99
2012-02-06,99
2012-02-07,99
2012-02-08,99
2012-02-09,99
2012-02-10,99
2012-02-11,99
2012-02-12,99
2012-02-13,99
2012-02-14,99
2012-02-15,99
2012-02-16,99
2012-02-17,99
2012-02-18,99
2012-02-19,99
2012-02-20,99
2012-02-21,99
2012-02-22,99
2012-02-23,99
2012-02-24,99
2012-02-25,99
2012-02-26,99
2012-02-27,99
2012-02-28,99
2012-02-29,99
2012-03-01,99
2012-03-02,99
2012-03-03,99
2012-03-04,99
2012-03-05,99
2012-03-06,99
2012-03-07,99
2012-03-08,99
2012-03-09,99
2012-03-10,99
2012-03-11,99
2012-03-12,99
2012-03-13,99
2012-03-14,99
2012-03-15,99
2012-03-16,99
2012-03-17,99
2012-03-18,99
2012-03-19,99
2012-03-20,99
2012-03-21,99
2012-03-22,99
2012-03-23,99
2012-03-24,99
2012-03-25,99
2012-03-26,99
2012-03-27,99
2012-03-28,99
2012-03-29,99
2012-03-30,99
2012-03-31,99
2012-04-01,99
2012-04-02,99
2012-04-03,99
2012-04-04,99
2012-04-05,99
2012-04-06,99
2012-04-07,99
2012-04-08,99
2012-04-09,99
2012-04-10,99
2012-04-11,99
2012-04-12,99
2012-04-13,99
2012-04-14,99
2012-04-15,99
2012-04-16,99
2012-04-17,99
2012-04-18,99
2012-04-19,99
2012-04-20,99
2012-04-21,99
2012-04-22,99
2012-04-23,99
2012-04-24,99
2012-04-25,99
2012-04-26,99
2012-04-27,99
2012-04-28,99
2012-04-29,99
2012-04-30,99
2012-05-01,99
2012-05-02,99
2012-05-03,99
2012-05-04,99
2012-05-05,99
2012-05-06,99
2012-05-07,99
2012-05-08,99
2012-05-09,99
2012-05-10,99
2012-05-11,99
2012-05-12,99
2012-05-13,99
2012-05-14,99
2012-05-15,99
2012-05-16,99
2012-05-17,99
2012-05-18,99
2012-05-19,99
2012-05-20,99
2012-05-21,99
2012-05-22,99
2012-05-23,99
2012-05-24,99
2012-05-25,99
2012-05-26,99
2012-05-27,99
2012-05-28,99
2012-05-29,99
2012-05-30,99
2012-05-31,99
2012-06-01,99
2012-06-02,99
2012-06-03,99
2012-06-04,99
2012-06-05,99
2012-06-06,99
2012-06-07,99
2012-06-08,99
2012-06-09,99
2012-06-10,99
2012-06-11,99
2012-06-12,99
2012-06-13,99
2012-06-14,99
2012-06-15,99
2012-06-16,99
2012-06-17,99
2012-06-18,99
2012-06-19,99
2012-06-20,99
2012-06-21,99
2012-06-22,99
2012-06-23,99
2012-06-24,99
2012-06-25,99
2012-06-26,99
2012-06-27,99
2012-06-28,99
2012-06-29,99
2012-06-30,99
2012-07-01,99
2012-07-02,97
2012-07-03,96
2012-07-04,95
2012-07-05,94
2012-07-06,93
2012-07-07,91
2012-07-08,90
2012-07-09,89
2012-07-10,88
2012-07-11,87
2012-07-12,85
2012-07-13,84
2012-07-14,83
2012-07-15,82
2012-07-16,81
2012-07-17,79
2012-07-18,78
2012-07-19,77
2012-07-20,76
2012-07-21,75
2012-07-22,73
2012-07-23,72
2012-07-24,71
2012-07-25,70
2012-07-26,69
2012-07-27,67
2012-07-28,66
2012-07-29,65
2012-07-30,64
2012-07-31,63
2012-08-01,62
2012-08-02,60
2012-08-03,58
2012-08-04,56
2012-08-05,54
2012-08-06,52
2012-08-07,50
2012-08-08,48
2012-08-09,46
2012-08-10,44
2012-08-11,42
2012-08-12,40
2012-08-13,38
2012-08-14,36
2012-08-15,34
2012-08-16,32
2012-08-17,30
2012-08-18,28
2012-08-19,26
2012-08-20,24
2012-08-21,22
2012-08-22,20
2012-08-23,18
2012-08-24,16
2012-08-25,14
2012-08-26,12
2012-08-27,10
2012-08-28,8
2012-08-29,6
2012-08-30,4
2012-08-31,2
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,0
2012-09-08,0
2012-09-09,0
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,0
2012-09-16,0
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-06,0
2012-10-07,0
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,0
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,0
2012-10-17,0
2012-10-18,0
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,0
2013-01-08,0
2013-01-09,0
2013-01-10,0
2013-01-11,0
2013-01-12,0
2013-01-13,0
2013-01-14,0
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,0
2013-01-19,0
2013-01-20,0
2013-01-21,0
2013-01-22,0
2013-01-23,0
2013-01-24,0
2013-01-25,0
2013-01-26,0
2013-01-27,0
2013-01-28,0
2013-01-29,0
2013-01-30,0
2013-01-31,0
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,0
2013-02-05,0
2013-02-06,0
2013-02-07,0
2013-02-08,0
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,0
2013-02-13,0
2013-02-14,0
2013-02-15,0
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-02,0
2013-03-03,0
2013-03-04,0
2013-03-05,0
2013-03-06,0
2013-03-07,0
2013-03-08,0
2013-03-09,0
2013-03-10,0
2013-03-11,0
2013-03-12,0
2013-03-13,0
2013-03-14,0
2013-03-15,0
2013-03-16,0
2013-03-17,0
2013-03-18,0
2013-03-19,0
2013-03-20,0
2013-03-21,0
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,0
2013-03-26,0
2013-03-27,0
2013-03-28,0
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,0
2013-04-02,0
2013-04-03,0
2013-04-04,0
2013-04-05,0
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,0
2013-04-11,0
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,0
2013-04-16,0
2013-04-17,0
2013-04-18,0
2013-04-19,0
2013-04-20,0
2013-04-21,0
2013-04-22,0
2013-04-23,0
2013-04-24,0
2013-04-25,0
2013-04-26,0
2013-04-27,0
2013-04-28,0
2013-04-29,0
2013-04-30,0
