Date,Triple-S Management
2007-10-02,0
2007-10-03,0
2007-10-04,0
2007-10-05,0
2007-10-06,0
2007-10-07,0
2007-10-08,0
2007-10-09,0
2007-10-10,0
2007-10-11,0
2007-10-12,0
2007-10-13,0
2007-10-14,0
2007-10-15,0
2007-10-16,0
2007-10-17,0
2007-10-18,0
2007-10-19,0
2007-10-20,0
2007-10-21,0
2007-10-22,0
2007-10-23,0
2007-10-24,0
2007-10-25,0
2007-10-26,0
2007-10-27,0
2007-10-28,0
2007-10-29,0
2007-10-30,0
2007-10-31,0
2007-11-01,0
2007-11-02,2
2007-11-03,5
2007-11-04,8
2007-11-05,11
2007-11-06,14
2007-11-07,17
2007-11-08,20
2007-11-09,23
2007-11-10,26
2007-11-11,29
2007-11-12,32
2007-11-13,35
2007-11-14,38
2007-11-15,41
2007-11-16,44
2007-11-17,47
2007-11-18,50
2007-11-19,53
2007-11-20,56
2007-11-21,59
2007-11-22,62
2007-11-23,65
2007-11-24,68
2007-11-25,71
2007-11-26,74
2007-11-27,77
2007-11-28,80
2007-11-29,83
2007-11-30,86
2007-12-01,89
2007-12-02,89
2007-12-03,89
2007-12-04,89
2007-12-05,89
2007-12-06,89
2007-12-07,89
2007-12-08,89
2007-12-09,90
2007-12-10,90
2007-12-11,90
2007-12-12,90
2007-12-13,90
2007-12-14,90
2007-12-15,90
2007-12-16,90
2007-12-17,91
2007-12-18,91
2007-12-19,91
2007-12-20,91
2007-12-21,91
2007-12-22,91
2007-12-23,91
2007-12-24,91
2007-12-25,92
2007-12-26,92
2007-12-27,92
2007-12-28,92
2007-12-29,92
2007-12-30,92
2007-12-31,92
2008-01-01,93
2008-01-02,93
2008-01-03,93
2008-01-04,93
2008-01-05,93
2008-01-06,93
2008-01-07,93
2008-01-08,93
2008-01-09,93
2008-01-10,93
2008-01-11,93
2008-01-12,94
2008-01-13,94
2008-01-14,94
2008-01-15,94
2008-01-16,94
2008-01-17,94
2008-01-18,94
2008-01-19,94
2008-01-20,94
2008-01-21,94
2008-01-22,95
2008-01-23,95
2008-01-24,95
2008-01-25,95
2008-01-26,95
2008-01-27,95
2008-01-28,95
2008-01-29,95
2008-01-30,95
2008-01-31,95
2008-02-01,96
2008-02-02,96
2008-02-03,96
2008-02-04,96
2008-02-05,96
2008-02-06,96
2008-02-07,96
2008-02-08,96
2008-02-09,97
2008-02-10,97
2008-02-11,97
2008-02-12,97
2008-02-13,97
2008-02-14,97
2008-02-15,97
2008-02-16,98
2008-02-17,98
2008-02-18,98
2008-02-19,98
2008-02-20,98
2008-02-21,98
2008-02-22,98
2008-02-23,99
2008-02-24,99
2008-02-25,99
2008-02-26,99
2008-02-27,99
2008-02-28,99
2008-02-29,99
2008-03-01,100
2008-03-02,98
2008-03-03,97
2008-03-04,96
2008-03-05,95
2008-03-06,93
2008-03-07,92
2008-03-08,91
2008-03-09,90
2008-03-10,88
2008-03-11,87
2008-03-12,86
2008-03-13,85
2008-03-14,84
2008-03-15,82
2008-03-16,81
2008-03-17,80
2008-03-18,79
2008-03-19,77
2008-03-20,76
2008-03-21,75
2008-03-22,74
2008-03-23,73
2008-03-24,71
2008-03-25,70
2008-03-26,69
2008-03-27,68
2008-03-28,66
2008-03-29,65
2008-03-30,64
2008-03-31,63
2008-04-01,62
2008-04-02,62
2008-04-03,63
2008-04-04,63
2008-04-05,64
2008-04-06,64
2008-04-07,65
2008-04-08,65
2008-04-09,66
2008-04-10,67
2008-04-11,67
2008-04-12,68
2008-04-13,68
2008-04-14,69
2008-04-15,69
2008-04-16,70
2008-04-17,71
2008-04-18,71
2008-04-19,72
2008-04-20,72
2008-04-21,73
2008-04-22,73
2008-04-23,74
2008-04-24,75
2008-04-25,75
2008-04-26,76
2008-04-27,76
2008-04-28,77
2008-04-29,77
2008-04-30,78
2008-05-01,79
2008-05-02,78
2008-05-03,77
2008-05-04,76
2008-05-05,75
2008-05-06,74
2008-05-07,73
2008-05-08,72
2008-05-09,71
2008-05-10,70
2008-05-11,69
2008-05-12,69
2008-05-13,68
2008-05-14,67
2008-05-15,66
2008-05-16,65
2008-05-17,64
2008-05-18,63
2008-05-19,62
2008-05-20,61
2008-05-21,60
2008-05-22,60
2008-05-23,59
2008-05-24,58
2008-05-25,57
2008-05-26,56
2008-05-27,55
2008-05-28,54
2008-05-29,53
2008-05-30,52
2008-05-31,51
2008-06-01,51
2008-06-02,51
2008-06-03,51
2008-06-04,51
2008-06-05,51
2008-06-06,51
2008-06-07,51
2008-06-08,51
2008-06-09,51
2008-06-10,51
2008-06-11,51
2008-06-12,51
2008-06-13,51
2008-06-14,51
2008-06-15,51
2008-06-16,51
2008-06-17,51
2008-06-18,51
2008-06-19,51
2008-06-20,51
2008-06-21,51
2008-06-22,51
2008-06-23,51
2008-06-24,51
2008-06-25,51
2008-06-26,51
2008-06-27,51
2008-06-28,51
2008-06-29,51
2008-06-30,51
2008-07-01,51
2008-07-02,51
2008-07-03,51
2008-07-04,51
2008-07-05,51
2008-07-06,51
2008-07-07,51
2008-07-08,51
2008-07-09,51
2008-07-10,51
2008-07-11,51
2008-07-12,51
2008-07-13,51
2008-07-14,51
2008-07-15,51
2008-07-16,51
2008-07-17,51
2008-07-18,51
2008-07-19,51
2008-07-20,51
2008-07-21,51
2008-07-22,51
2008-07-23,51
2008-07-24,51
2008-07-25,51
2008-07-26,51
2008-07-27,51
2008-07-28,51
2008-07-29,51
2008-07-30,51
2008-07-31,51
2008-08-01,51
2008-08-02,51
2008-08-03,51
2008-08-04,51
2008-08-05,51
2008-08-06,51
2008-08-07,51
2008-08-08,51
2008-08-09,51
2008-08-10,51
2008-08-11,51
2008-08-12,51
2008-08-13,51
2008-08-14,51
2008-08-15,51
2008-08-16,51
2008-08-17,51
2008-08-18,51
2008-08-19,51
2008-08-20,51
2008-08-21,51
2008-08-22,51
2008-08-23,51
2008-08-24,51
2008-08-25,51
2008-08-26,51
2008-08-27,51
2008-08-28,51
2008-08-29,51
2008-08-30,51
2008-08-31,51
2008-09-01,51
2008-09-02,51
2008-09-03,51
2008-09-04,51
2008-09-05,51
2008-09-06,51
2008-09-07,51
2008-09-08,51
2008-09-09,51
2008-09-10,51
2008-09-11,51
2008-09-12,51
2008-09-13,51
2008-09-14,51
2008-09-15,51
2008-09-16,51
2008-09-17,51
2008-09-18,51
2008-09-19,51
2008-09-20,51
2008-09-21,51
2008-09-22,51
2008-09-23,51
2008-09-24,51
2008-09-25,51
2008-09-26,51
2008-09-27,51
2008-09-28,51
2008-09-29,51
2008-09-30,51
