Date,Intrepid Potash
2008-01-16,3
2008-01-17,3
2008-01-18,3
2008-01-19,3
2008-01-20,3
2008-01-21,3
2008-01-22,3
2008-01-23,3
2008-01-24,3
2008-01-25,3
2008-01-26,3
2008-01-27,3
2008-01-28,3
2008-01-29,3
2008-01-30,3
2008-01-31,3
2008-02-01,3
2008-02-02,3
2008-02-03,3
2008-02-04,3
2008-02-05,3
2008-02-06,3
2008-02-07,3
2008-02-08,3
2008-02-09,3
2008-02-10,3
2008-02-11,3
2008-02-12,3
2008-02-13,3
2008-02-14,3
2008-02-15,3
2008-02-16,3
2008-02-17,3
2008-02-18,3
2008-02-19,3
2008-02-20,3
2008-02-21,3
2008-02-22,3
2008-02-23,3
2008-02-24,3
2008-02-25,3
2008-02-26,3
2008-02-27,3
2008-02-28,3
2008-02-29,3
2008-03-02,6
2008-03-03,9
2008-03-04,12
2008-03-05,15
2008-03-06,18
2008-03-07,21
2008-03-08,24
2008-03-09,28
2008-03-10,31
2008-03-11,34
2008-03-12,37
2008-03-13,40
2008-03-14,43
2008-03-15,46
2008-03-16,49
2008-03-17,53
2008-03-18,56
2008-03-19,59
2008-03-20,62
2008-03-21,65
2008-03-22,68
2008-03-23,71
2008-03-24,74
2008-03-25,78
2008-03-26,81
2008-03-27,84
2008-03-28,87
2008-03-29,90
2008-03-30,93
2008-03-31,122
2008-04-01,100
2008-04-02,97
2008-04-03,94
2008-04-04,91
2008-04-05,88
2008-04-06,85
2008-04-07,83
2008-04-08,80
2008-04-09,77
2008-04-10,74
2008-04-11,71
2008-04-12,68
2008-04-13,66
2008-04-14,63
2008-04-15,60
2008-04-16,57
2008-04-17,54
2008-04-18,51
2008-04-19,49
2008-04-20,46
2008-04-21,44
2008-04-22,41
2008-04-23,38
2008-04-24,36
2008-04-25,33
2008-04-26,31
2008-04-27,29
2008-04-28,23
2008-04-29,20
2008-04-30,18
2008-05-01,15
2008-05-02,15
2008-05-03,15
2008-05-04,16
2008-05-05,15
2008-05-06,16
2008-05-07,16
2008-05-08,16
2008-05-09,16
2008-05-10,17
2008-05-11,17
2008-05-12,17
2008-05-13,17
2008-05-14,17
2008-05-15,18
2008-05-16,18
2008-05-17,18
2008-05-18,18
2008-05-19,19
2008-05-20,19
2008-05-21,19
2008-05-22,19
2008-05-23,19
2008-05-24,20
2008-05-25,20
2008-06-01,22
2008-06-02,26
2008-06-03,21
2008-06-04,21
2008-06-05,20
2008-06-06,20
2008-06-07,20
2008-06-08,20
2008-06-09,19
2008-06-10,19
2008-06-11,19
2008-06-12,19
2008-06-13,18
2008-06-14,18
2008-06-15,18
2008-06-16,18
2008-06-17,17
2008-06-18,17
2008-06-19,17
2008-06-20,16
2008-06-21,16
2008-06-22,16
2008-06-23,16
2008-06-24,16
2008-06-25,15
2008-06-26,15
2008-06-27,15
2008-06-28,15
2008-06-29,14
2008-06-30,14
2008-07-01,14
2008-07-02,13
2008-07-03,13
2008-07-04,13
2008-07-05,13
2008-07-06,13
2008-07-07,13
2008-07-08,13
2008-07-09,13
2008-07-10,13
2008-07-11,13
2008-07-12,13
2008-07-13,13
2008-07-14,13
2008-07-15,13
2008-07-16,13
2008-07-17,13
2008-07-18,13
2008-07-19,13
2008-07-20,13
2008-07-21,13
2008-07-22,13
2008-07-23,13
2008-07-24,13
2008-07-25,13
2008-07-26,13
2008-07-27,13
2008-07-28,13
2008-07-29,13
2008-07-30,13
2008-07-31,13
2008-08-01,13
2008-08-02,12
2008-08-03,12
2008-08-04,12
2008-08-05,12
2008-08-06,12
2008-08-07,12
2008-08-08,11
2008-08-09,11
2008-08-10,11
2008-08-11,11
2008-08-12,11
2008-08-13,11
2008-08-14,11
2008-08-15,11
2008-08-16,11
2008-08-17,10
2008-08-18,10
2008-08-19,10
2008-08-20,9
2008-08-21,9
2008-08-22,9
2008-08-23,9
2008-08-24,9
2008-08-25,9
2008-08-26,8
2008-08-27,8
2008-08-28,8
2008-08-29,8
2008-08-30,8
2008-08-31,8
2008-09-01,8
2008-09-02,7
2008-09-03,7
2008-09-04,7
2008-09-05,7
2008-09-06,7
2008-09-07,7
2008-09-08,7
2008-09-09,7
2008-09-10,7
2008-09-11,7
2008-09-12,7
2008-09-13,7
2008-09-14,7
2008-09-15,7
2008-09-16,7
2008-09-17,7
2008-09-18,7
2008-09-19,7
2008-09-20,7
2008-09-21,7
2008-09-22,7
2008-09-23,7
2008-09-24,7
2008-09-25,7
2008-09-26,7
2008-09-27,7
2008-09-28,7
2008-09-29,7
2008-09-30,7
2008-10-01,7
2008-10-02,6
2008-10-03,6
2008-10-04,6
2008-10-05,6
2008-10-06,6
2008-10-07,6
2008-10-08,6
2008-10-09,6
2008-10-10,6
2008-10-11,6
2008-10-12,6
2008-10-13,6
2008-10-14,6
2008-10-15,6
2008-10-16,6
2008-10-17,5
2008-10-18,5
2008-10-19,5
2008-10-20,5
2008-10-21,5
2008-10-22,5
2008-10-23,5
2008-10-24,5
2008-10-25,5
2008-10-26,5
2008-10-27,5
2008-10-28,5
2008-10-29,5
2008-10-30,5
2008-10-31,5
2008-11-01,5
2008-11-02,5
2008-11-03,5
2008-11-04,5
2008-11-05,5
2008-11-06,5
2008-11-07,5
2008-11-08,5
2008-11-09,5
2008-11-10,5
2008-11-11,5
2008-11-12,5
2008-11-13,5
2008-11-14,5
2008-11-15,5
2008-11-16,5
2008-11-17,5
2008-11-18,5
2008-11-19,5
2008-11-20,5
2008-11-21,5
2008-11-22,5
2008-11-23,5
2008-11-24,5
2008-11-25,5
2008-11-26,5
2008-11-27,5
2008-11-28,5
2008-11-29,5
2008-11-30,5
2008-12-01,6
2008-12-02,6
2008-12-03,6
2008-12-04,6
2008-12-05,6
2008-12-06,6
2008-12-07,6
2008-12-08,6
2008-12-09,6
2008-12-10,6
2008-12-11,6
2008-12-12,6
2008-12-13,6
2008-12-14,6
2008-12-15,6
2008-12-16,6
2008-12-17,6
2008-12-18,6
2008-12-19,6
2008-12-20,6
2008-12-21,6
2008-12-22,6
2008-12-23,6
2008-12-24,6
2008-12-25,6
2008-12-26,6
2008-12-27,6
2008-12-28,6
2008-12-29,6
2008-12-30,6
2008-12-31,6
2009-01-01,7
2009-01-02,7
2009-01-03,7
2009-01-04,7
2009-01-05,7
2009-01-06,7
2009-01-07,7
2009-01-08,7
2009-01-09,7
2009-01-10,7
2009-01-11,7
2009-01-12,7
2009-01-13,7
2009-01-14,7
2009-01-15,7
2009-01-16,7
2009-01-17,8
2009-01-18,8
2009-01-19,8
2009-01-20,8
2009-01-21,8
2009-01-22,8
2009-01-23,8
2009-01-24,8
2009-01-25,8
2009-01-26,8
2009-01-27,8
2009-01-28,8
2009-01-29,8
2009-01-30,8
2009-01-31,8
2009-02-01,9
2009-02-02,8
2009-02-03,8
2009-02-04,8
2009-02-05,8
2009-02-06,8
2009-02-07,8
2009-02-08,8
2009-02-09,8
2009-02-10,8
2009-02-11,7
2009-02-12,7
2009-02-13,7
2009-02-14,7
2009-02-15,7
2009-02-16,7
2009-02-17,7
2009-02-18,7
2009-02-19,7
2009-02-20,6
2009-02-21,6
2009-02-22,6
2009-02-23,6
2009-02-24,6
2009-02-25,6
2009-02-26,6
2009-02-27,6
2009-02-28,6
2009-03-01,6
2009-03-02,5
2009-03-03,5
2009-03-04,5
2009-03-05,5
2009-03-06,5
2009-03-07,5
2009-03-08,5
2009-03-09,5
2009-03-10,5
2009-03-11,5
2009-03-12,5
2009-03-13,5
2009-03-14,5
2009-03-15,5
2009-03-16,5
2009-03-17,5
2009-03-18,5
2009-03-19,5
2009-03-20,5
2009-03-21,5
2009-03-22,5
2009-03-23,5
2009-03-24,5
2009-03-25,5
2009-03-26,5
2009-03-27,5
2009-03-28,5
2009-03-29,5
2009-03-30,5
2009-03-31,5
2009-04-01,5
2009-04-02,5
2009-04-03,5
2009-04-04,5
2009-04-05,5
2009-04-06,5
2009-04-07,5
2009-04-08,5
2009-04-09,5
2009-04-10,5
2009-04-11,5
2009-04-12,5
2009-04-13,5
2009-04-14,5
2009-04-15,5
2009-04-16,5
2009-04-17,5
2009-04-18,5
2009-04-19,5
2009-04-20,5
2009-04-21,5
2009-04-22,5
2009-04-23,5
2009-04-24,5
2009-04-25,5
2009-04-26,5
2009-04-27,5
2009-04-28,5
2009-04-29,5
2009-04-30,5
2009-05-01,5
2009-05-02,4
2009-05-03,4
2009-05-04,4
2009-05-05,4
2009-05-06,4
2009-05-07,4
2009-05-08,4
2009-05-09,4
2009-05-10,4
2009-05-11,4
2009-05-12,4
2009-05-13,4
2009-05-14,4
2009-05-15,4
2009-05-16,4
2009-05-17,3
2009-05-18,3
2009-05-19,3
2009-05-20,3
2009-05-21,3
2009-05-22,3
2009-05-23,3
2009-05-24,3
2009-05-25,3
2009-05-26,3
2009-05-27,3
2009-05-28,3
2009-05-29,3
2009-05-30,3
2009-05-31,3
