Date,Fortress Investment
2006-08-22,0
2006-08-23,0
2006-08-24,0
2006-08-25,0
2006-08-26,0
2006-08-27,0
2006-08-28,0
2006-08-29,0
2006-08-30,0
2006-08-31,0
2006-09-01,0
2006-09-02,0
2006-09-03,0
2006-09-04,0
2006-09-05,0
2006-09-06,0
2006-09-07,0
2006-09-08,0
2006-09-09,0
2006-09-10,0
2006-09-11,0
2006-09-12,0
2006-09-13,0
2006-09-14,0
2006-09-15,0
2006-09-16,0
2006-09-17,0
2006-09-18,0
2006-09-19,0
2006-09-20,0
2006-09-21,0
2006-09-22,0
2006-09-23,0
2006-09-24,0
2006-09-25,0
2006-09-26,0
2006-09-27,0
2006-09-28,0
2006-09-29,0
2006-09-30,0
2006-10-01,0
2006-10-02,1
2006-10-03,3
2006-10-04,5
2006-10-05,7
2006-10-06,9
2006-10-07,11
2006-10-08,12
2006-10-09,14
2006-10-10,16
2006-10-11,18
2006-10-12,20
2006-10-13,22
2006-10-14,23
2006-10-15,25
2006-10-16,27
2006-10-17,29
2006-10-18,31
2006-10-19,33
2006-10-20,34
2006-10-21,36
2006-10-22,38
2006-10-23,40
2006-10-24,42
2006-10-25,44
2006-10-26,45
2006-10-27,47
2006-10-28,49
2006-10-29,51
2006-10-30,53
2006-10-31,55
2006-11-01,57
2006-11-02,56
2006-11-03,55
2006-11-04,55
2006-11-05,54
2006-11-06,54
2006-11-07,53
2006-11-08,53
2006-11-09,52
2006-11-10,51
2006-11-11,51
2006-11-12,50
2006-11-13,50
2006-11-14,49
2006-11-15,49
2006-11-16,48
2006-11-17,47
2006-11-18,47
2006-11-19,46
2006-11-20,46
2006-11-21,45
2006-11-22,45
2006-11-23,44
2006-11-24,43
2006-11-25,43
2006-11-26,42
2006-11-27,42
2006-11-28,41
2006-11-29,41
2006-11-30,40
2006-12-01,40
2006-12-02,40
2006-12-03,40
2006-12-04,40
2006-12-05,41
2006-12-06,41
2006-12-07,41
2006-12-08,41
2006-12-09,42
2006-12-10,42
2006-12-11,42
2006-12-12,42
2006-12-13,43
2006-12-14,43
2006-12-15,43
2006-12-16,43
2006-12-17,44
2006-12-18,44
2006-12-19,44
2006-12-20,44
2006-12-21,45
2006-12-22,45
2006-12-23,45
2006-12-24,45
2006-12-25,46
2006-12-26,46
2006-12-27,46
2006-12-28,46
2006-12-29,47
2006-12-30,47
2006-12-31,47
2007-01-01,48
2007-01-02,49
2007-01-03,51
2007-01-04,53
2007-01-05,54
2007-01-06,56
2007-01-07,58
2007-01-08,59
2007-01-09,61
2007-01-10,63
2007-01-11,64
2007-01-12,66
2007-01-13,68
2007-01-14,69
2007-01-15,71
2007-01-16,73
2007-01-17,74
2007-01-18,76
2007-01-19,78
2007-01-20,79
2007-01-21,81
2007-01-22,83
2007-01-23,84
2007-01-24,86
2007-01-25,88
2007-01-26,89
2007-01-27,91
2007-01-28,93
2007-01-29,94
2007-01-30,96
2007-01-31,98
2007-02-01,100
2007-02-02,97
2007-02-03,95
2007-02-04,93
2007-02-05,91
2007-02-06,89
2007-02-07,87
2007-02-08,85
2007-02-09,83
2007-02-10,81
2007-02-11,79
2007-02-12,77
2007-02-13,75
2007-02-14,73
2007-02-15,71
2007-02-16,68
2007-02-17,66
2007-02-18,64
2007-02-19,62
2007-02-20,60
2007-02-21,58
2007-02-22,56
2007-02-23,54
2007-02-24,52
2007-02-25,50
2007-02-26,48
2007-02-27,46
2007-02-28,44
2007-03-01,42
2007-03-02,41
2007-03-03,41
2007-03-04,41
2007-03-05,41
2007-03-06,41
2007-03-07,41
2007-03-08,41
2007-03-09,40
2007-03-10,40
2007-03-11,40
2007-03-12,40
2007-03-13,40
2007-03-14,40
2007-03-15,40
2007-03-16,40
2007-03-17,39
2007-03-18,39
2007-03-19,39
2007-03-20,39
2007-03-21,39
2007-03-22,39
2007-03-23,39
2007-03-24,39
2007-03-25,38
2007-03-26,38
2007-03-27,38
2007-03-28,38
2007-03-29,38
2007-03-30,38
2007-03-31,38
2007-04-01,38
2007-04-02,38
2007-04-03,38
2007-04-04,38
2007-04-05,39
2007-04-06,39
2007-04-07,39
2007-04-08,40
2007-04-09,40
2007-04-10,40
2007-04-11,41
2007-04-12,41
2007-04-13,41
2007-04-14,41
2007-04-15,42
2007-04-16,42
2007-04-17,42
2007-04-18,43
2007-04-19,43
2007-04-20,43
2007-04-21,44
2007-04-22,44
2007-04-23,44
2007-04-24,44
2007-04-25,45
2007-04-26,45
2007-04-27,45
2007-04-28,46
2007-04-29,46
2007-04-30,46
2007-05-01,47
2007-05-02,47
2007-05-03,48
2007-05-04,48
2007-05-05,49
2007-05-06,49
2007-05-07,50
2007-05-08,51
2007-05-09,51
2007-05-10,52
2007-05-11,52
2007-05-12,53
2007-05-13,53
2007-05-14,54
2007-05-15,55
2007-05-16,55
2007-05-17,56
2007-05-18,56
2007-05-19,57
2007-05-20,58
2007-05-21,58
2007-05-22,59
2007-05-23,59
2007-05-24,60
2007-05-25,60
2007-05-26,61
2007-05-27,62
2007-05-28,62
2007-05-29,63
2007-05-30,63
2007-05-31,64
2007-06-01,65
2007-06-02,64
2007-06-03,64
2007-06-04,63
2007-06-05,63
2007-06-06,62
2007-06-07,62
2007-06-08,61
2007-06-09,61
2007-06-10,60
2007-06-11,60
2007-06-12,59
2007-06-13,59
2007-06-14,58
2007-06-15,58
2007-06-16,57
2007-06-17,57
2007-06-18,56
2007-06-19,56
2007-06-20,55
2007-06-21,55
2007-06-22,54
2007-06-23,54
2007-06-24,53
2007-06-25,53
2007-06-26,52
2007-06-27,52
2007-06-28,51
2007-06-29,51
2007-06-30,50
2007-07-01,50
2007-07-02,50
2007-07-03,50
2007-07-04,51
2007-07-05,51
2007-07-06,51
2007-07-07,52
2007-07-08,52
2007-07-09,53
2007-07-10,53
2007-07-11,53
2007-07-12,54
2007-07-13,54
2007-07-14,55
2007-07-15,55
2007-07-16,55
2007-07-17,56
2007-07-18,56
2007-07-19,56
2007-07-20,57
2007-07-21,57
2007-07-22,58
2007-07-23,58
2007-07-24,58
2007-07-25,59
2007-07-26,59
2007-07-27,60
2007-07-28,60
2007-07-29,60
2007-07-30,61
2007-07-31,61
2007-08-01,62
2007-08-02,60
2007-08-03,59
2007-08-04,58
2007-08-05,56
2007-08-06,55
2007-08-07,54
2007-08-08,52
2007-08-09,51
2007-08-10,50
2007-08-11,49
2007-08-12,47
2007-08-13,46
2007-08-14,45
2007-08-15,43
2007-08-16,42
2007-08-17,41
2007-08-18,40
2007-08-19,38
2007-08-20,37
2007-08-21,36
2007-08-22,34
2007-08-23,33
2007-08-24,32
2007-08-25,31
2007-08-26,29
2007-08-27,28
2007-08-28,27
2007-08-29,25
2007-08-30,24
2007-08-31,23
2007-09-01,22
2007-09-02,22
2007-09-03,22
2007-09-04,22
2007-09-05,22
2007-09-06,22
2007-09-07,22
2007-09-08,22
2007-09-09,22
2007-09-10,22
2007-09-11,22
2007-09-12,22
2007-09-13,22
2007-09-14,22
2007-09-15,22
2007-09-16,22
2007-09-17,22
2007-09-18,22
2007-09-19,22
2007-09-20,22
2007-09-21,22
2007-09-22,22
2007-09-23,22
2007-09-24,22
2007-09-25,22
2007-09-26,22
2007-09-27,22
2007-09-28,22
2007-09-29,22
2007-09-30,22
2007-10-01,22
2007-10-02,22
2007-10-03,22
2007-10-04,23
2007-10-05,23
2007-10-06,24
2007-10-07,24
2007-10-08,24
2007-10-09,25
2007-10-10,25
2007-10-11,26
2007-10-12,26
2007-10-13,27
2007-10-14,27
2007-10-15,27
2007-10-16,28
2007-10-17,28
2007-10-18,29
2007-10-19,29
2007-10-20,29
2007-10-21,30
2007-10-22,30
2007-10-23,31
2007-10-24,31
2007-10-25,32
2007-10-26,32
2007-10-27,32
2007-10-28,33
2007-10-29,33
2007-10-30,34
2007-10-31,34
2007-11-01,35
2007-11-02,34
2007-11-03,34
2007-11-04,34
2007-11-05,33
2007-11-06,33
2007-11-07,33
2007-11-08,33
2007-11-09,32
2007-11-10,32
2007-11-11,32
2007-11-12,32
2007-11-13,31
2007-11-14,31
2007-11-15,31
2007-11-16,31
2007-11-17,30
2007-11-18,30
2007-11-19,30
2007-11-20,29
2007-11-21,29
2007-11-22,29
2007-11-23,29
2007-11-24,28
2007-11-25,28
2007-11-26,28
2007-11-27,28
2007-11-28,27
2007-11-29,27
2007-11-30,27
2007-12-01,27
2007-12-02,26
2007-12-03,26
2007-12-04,26
2007-12-05,26
2007-12-06,26
2007-12-07,26
2007-12-08,26
2007-12-09,26
2007-12-10,26
2007-12-11,26
2007-12-12,26
2007-12-13,26
2007-12-14,26
2007-12-15,26
2007-12-16,26
2007-12-17,26
2007-12-18,26
2007-12-19,26
2007-12-20,26
2007-12-21,26
2007-12-22,26
2007-12-23,26
2007-12-24,26
2007-12-25,26
2007-12-26,26
2007-12-27,26
2007-12-28,26
2007-12-29,26
2007-12-30,26
2007-12-31,26
2008-01-01,26
2008-01-02,25
2008-01-03,25
2008-01-04,25
2008-01-05,25
2008-01-06,25
2008-01-07,25
2008-01-08,25
2008-01-09,25
2008-01-10,25
2008-01-11,25
2008-01-12,24
2008-01-13,24
2008-01-14,24
2008-01-15,24
2008-01-16,24
2008-01-17,24
2008-01-18,24
2008-01-19,24
2008-01-20,24
2008-01-21,24
2008-01-22,23
2008-01-23,23
2008-01-24,23
2008-01-25,23
2008-01-26,23
2008-01-27,23
2008-01-28,23
2008-01-29,23
2008-01-30,23
2008-01-31,23
2008-02-01,23
2008-02-02,23
2008-02-03,23
2008-02-04,23
2008-02-05,23
2008-02-06,23
2008-02-07,23
2008-02-08,23
2008-02-09,23
2008-02-10,23
2008-02-11,24
2008-02-12,24
2008-02-13,24
2008-02-14,24
2008-02-15,24
2008-02-16,24
2008-02-17,24
2008-02-18,24
2008-02-19,24
2008-02-20,24
2008-02-21,25
2008-02-22,25
2008-02-23,25
2008-02-24,25
2008-02-25,25
2008-02-26,25
2008-02-27,25
2008-02-28,25
2008-02-29,25
2008-03-01,26
2008-03-02,26
2008-03-03,26
2008-03-04,27
2008-03-05,27
2008-03-06,28
2008-03-07,28
2008-03-08,29
2008-03-09,29
2008-03-10,30
2008-03-11,30
2008-03-12,30
2008-03-13,31
2008-03-14,31
2008-03-15,32
2008-03-16,32
2008-03-17,33
2008-03-18,33
2008-03-19,34
2008-03-20,34
2008-03-21,35
2008-03-22,35
2008-03-23,35
2008-03-24,36
2008-03-25,36
2008-03-26,37
2008-03-27,37
2008-03-28,38
2008-03-29,38
2008-03-30,39
2008-03-31,39
2008-04-01,40
